step,src_node,type,deg,edge,dst_node,type,deg,importance,tactic
1,malware,proc,23,read,uname,other,1,0,discovery
10,malware,proc,23,read,uname,other,1,0
13,malware,proc,23,readlink,/proc/self/exe,file,1,0,discovery
14,malware,proc,23,getcwd,/prober,file,7,0
43,sh,proc,138,stat,/prober,file,7,0
44,sh,proc,138,stat,.,file,6,0
47,sh,proc,138,stat,/usr/local/sbin/sed,file,6,0
48,sh,proc,138,stat,/usr/local/bin/sed,file,6,0
49,sh,proc,138,stat,/usr/sbin/sed,file,6,0
50,sh,proc,138,stat,/usr/bin/sed,file,6,0
51,sh,proc,138,stat,/sbin/sed,file,6,0
52,sh,proc,138,stat,/bin/sed,file,6,0
74,sed,proc,107,statfs,/sys/fs/selinux,file,6,0
75,sed,proc,107,statfs,/selinux,file,6,0,discovery
78,sed,proc,107,access,/etc/selinux/config,file,6,0
80,sed,proc,107,open,/etc/rc.local,file,6,1
84,sed,proc,107,fcntl,/etc/sedQUGLbs,file,6,1
85,sed,proc,107,fstat,/etc/sedQUGLbs,file,6,0
86,sed,proc,107,write,/etc/sedQUGLbs,file,6,1
87,sed,proc,107,write,/etc/sedQUGLbs,file,6,1
88,sed,proc,107,write,/etc/sedQUGLbs,file,6,1
89,sed,proc,107,write,/etc/sedQUGLbs,file,6,1
90,sed,proc,107,write,/etc/sedQUGLbs,file,6,1
91,sed,proc,107,write,/etc/sedQUGLbs,file,6,1
92,sed,proc,107,write,/etc/sedQUGLbs,file,6,1
93,sed,proc,107,write,/etc/sedQUGLbs,file,6,1
94,sed,proc,107,fchown,/etc/sedQUGLbs,file,6,1
95,sed,proc,107,fchmod,/etc/sedQUGLbs,file,6,1
96,/etc/sedQUGLbs,file,6,rename,/etc/rc.local,file,6,1,persistence
112,sh,proc,138,stat,/prober,file,7,0
113,sh,proc,138,stat,.,file,6,0
116,sh,proc,138,stat,/usr/local/sbin/sed,file,6,0
117,sh,proc,138,stat,/usr/local/bin/sed,file,6,0
118,sh,proc,138,stat,/usr/sbin/sed,file,6,0
119,sh,proc,138,stat,/usr/bin/sed,file,6,0
120,sh,proc,138,stat,/sbin/sed,file,6,0
121,sh,proc,138,stat,/bin/sed,file,6,0
143,sed,proc,107,statfs,/sys/fs/selinux,file,6,0
144,sed,proc,107,statfs,/selinux,file,6,0
147,sed,proc,107,access,/etc/selinux/config,file,6,0
164,sh,proc,138,stat,/prober,file,7,0
165,sh,proc,138,stat,.,file,6,0
168,sh,proc,138,stat,/usr/local/sbin/sed,file,6,0
169,sh,proc,138,stat,/usr/local/bin/sed,file,6,0
170,sh,proc,138,stat,/usr/sbin/sed,file,6,0
171,sh,proc,138,stat,/usr/bin/sed,file,6,0
172,sh,proc,138,stat,/sbin/sed,file,6,0
173,sh,proc,138,stat,/bin/sed,file,6,0
195,sed,proc,107,statfs,/sys/fs/selinux,file,6,0
196,sed,proc,107,statfs,/selinux,file,6,0
199,sed,proc,107,access,/etc/selinux/config,file,6,0
201,sed,proc,107,open,/etc/rc.local,file,6,1
205,sed,proc,107,fcntl,/etc/sedQhw17q,file,6,1
206,sed,proc,107,fstat,/etc/sedQhw17q,file,6,0
207,sed,proc,107,write,/etc/sedQhw17q,file,6,1
208,sed,proc,107,write,/etc/sedQhw17q,file,6,1
209,sed,proc,107,write,/etc/sedQhw17q,file,6,1
210,sed,proc,107,write,/etc/sedQhw17q,file,6,1
211,sed,proc,107,write,/etc/sedQhw17q,file,6,1
212,sed,proc,107,write,/etc/sedQhw17q,file,6,1
213,sed,proc,107,write,/etc/sedQhw17q,file,6,1
214,sed,proc,107,write,/etc/sedQhw17q,file,6,1
215,sed,proc,107,fchown,/etc/sedQhw17q,file,6,1
216,sed,proc,107,fchmod,/etc/sedQhw17q,file,6,1
217,/etc/sedQhw17q,file,6,rename,/etc/rc.local,file,6,1
233,sh,proc,138,stat,/prober,file,7,0
234,sh,proc,138,stat,.,file,6,0
237,sh,proc,138,stat,/usr/local/sbin/sed,file,6,0
238,sh,proc,138,stat,/usr/local/bin/sed,file,6,0
239,sh,proc,138,stat,/usr/sbin/sed,file,6,0
240,sh,proc,138,stat,/usr/bin/sed,file,6,0
241,sh,proc,138,stat,/sbin/sed,file,6,0
242,sh,proc,138,stat,/bin/sed,file,6,0
264,sed,proc,107,statfs,/sys/fs/selinux,file,6,0
265,sed,proc,107,statfs,/selinux,file,6,0
268,sed,proc,107,access,/etc/selinux/config,file,6,0
270,sed,proc,107,open,/etc/rc.local,file,6,1
274,sed,proc,107,fcntl,/etc/sedvTqQwq,file,6,1
275,sed,proc,107,fstat,/etc/sedvTqQwq,file,6,0
276,sed,proc,107,write,/etc/sedvTqQwq,file,6,1
277,sed,proc,107,write,/etc/sedvTqQwq,file,6,1
278,sed,proc,107,write,/etc/sedvTqQwq,file,6,1
