Number,Content
Sentence 1,"Here’s a Simple Script to Detect the Stealthy Nation-State BPFDoor
Harshal Tupsamudre
Harshal Tupsamudre
August 1, 2022 - 9 min read
24
Last updated on: December 22, 2022
Table of Contents
Technical Analysis of BPFDoor
BPFDoor Detection using Qualys Custom Assessment & Remediation
BPFDoor Detection using Qualys Multi-Vector EDR
Conclusion
MITRE ATT&CK Techniques
IoC (Indicators of Compromise)
Contributors:
In this blog, the Qualys Research Team explains the mechanics of a Linux malware variant named BPFdoor."
Sentence 2,"We then demonstrate the efficacy of Qualys Custom Assessment and Remediation to detect it, and Qualys Multi-Vector EDR to protect against it."
Sentence 3,BPFDoor is a Linux/Unix backdoor that allows threat actors to remotely connect to a Linux shell to gain complete access to a compromised device.
Sentence 4,"It supports multiple protocols for communicating with a command & control server (C2) including TCP, UDP, and ICMP."
Sentence 5,It notably utilizes Berkeley Packet Filters (BPF) along with several other techniques to achieve these goals.
Sentence 6,"BPF is a hooking function that allows a user-space program to attach a network filter onto any socket, and then allows or disallows certain types of data to come through that socket."
Sentence 7,"BPFDoor has been attributed to a Chinese threat actor group named Red Menshen (aka DecisiveArchitect), where the attackers have used it to gain stealthy remote access to compromised devices starting back in 2018 to the present day."
Sentence 8,"Systems have been compromised across the US, South Korea, Hong Kong, Turkey, India, Vietnam, and Myanmar."
Sentence 9,"Targets have included telecommunications, government, education, and logistics organizations."
Sentence 10,The group has been seen sending commands to BPFDoor victims via Virtual Private Servers (VPS) hosted at a well-known provider.
Sentence 11,"In turn, these VPSs are administered via compromised routers based in Taiwan that the threat actor uses as VPN tunnels."
Sentence 12,"Target Geographies: Middle East, Asia
Target Sectors: Logistics, Education, Government
Malware Tools: Mangzamel, Gh0st, Gh0st, Metasploit, BPFDoor
Technical Analysis of BPFDoor
Execution
The threat actor leverages a custom implant tracked by the name “JustForFun”."
Sentence 13,"When executed, the implant overwrites the process command line within the process environment by randomly selecting a new binary name from one of ten hard-coded options (shown in Figure 1)."
Sentence 14,This masquerading technique is used to evade security solutions.
Sentence 15,"Figure 1: List of process names for Masquerading
The attacker interacts with the implant through the bash process to establish an interactive shell on a system."
Sentence 16,The command indicates the usage of Postfix queue manager (shown in Fig.
Sentence 17,2).
Sentence 18,"qmgr -l -t fifo -u
Figure 2: Encoded shell and qmgr commands
Masquerading (Rename the process)
Figure 3: Code uses prctl to rename the malware process
The malware will rename itself using the prctl function with the argument PR_SET_NAME, and a random legitimate-looking name (Fig."
Sentence 19,3).
Sentence 20,These names are hardcoded in the binary and vary between the samples.
Sentence 21,"Timestomping
Figure 4: Code for Timestomping
The implant sets a fake time to timestomp the binary before deletion."
Sentence 22,A function dubbed set_time was called to alter the access and modification timestamp of the binary using the utimes function (Fig.
Sentence 23,4).
Sentence 24,"The timestamp used was always set to Thursday, October 30, 2008 7:17:16 PM (GMT)."
Sentence 25,"
PID File
The implant creates a zero-byte PID file at /var/run/haldrund.pid (Fig."
Sentence 26,5).
Sentence 27,"The file has two conditions:
This file is deleted if the implant terminates normally,
The file is not deleted, if there is a problem like hard shutdown or crash."
