Number,Content
Sentence 1,"BPFDoor - An Evasive Linux Backdoor Technical Analysis
Malware Linux Forensics
DateMay 11, 2022AuthorThe Sandfly Security Team
Recently Kevin Beaumont revealed a new evasive backdoor targeting Linux associated with the Chinese Red Menshen threat actors."
Sentence 2,In his article he reveals that this backdoor has been operating globally for many years with potentially thousands of instances already deployed.
Sentence 3,The backdoor has also been noted by investigators at PricewaterhouseCoopers in their latest Cyber Threat Intelligence Retrospect Report (pg.
Sentence 4,36).
Sentence 5,The source for this backdoor was posted by anonymously and Sandfly researchers are able to provide the following in-depth technical analysis.
Sentence 6,"At a high level, it does the following:
Goes memory resident and deploys anti-forensics and evasion to hide."
Sentence 7,Loads a Berkeley Packet Filter (BPF) sniffer allowing it to efficiently watch traffic and work in front of any locally running firewalls to see packets (hence BPFDoor).
Sentence 8,"Upon receiving a special packet, it will modify the local firewall to allow the attacker IP address to access resources such as a spawned shell or connect back bindshell."
Sentence 9,Operations are hidden with process masquerading to avoid detection.
Sentence 10,"While the malware takes steps to evade casual observation, it is easily seen if you know where and how to look."
Sentence 11,We'll review the above and provide detection tips.
Sentence 12,"Source Build Size and Compatibility
The BPFDoor source is small, focused and well written."
Sentence 13,"While the sample we reviewed was Linux specific, with some small changes it could easily be ported to other platforms (a Solaris binary reportedly exists)."
Sentence 14,BPF is widely available across operating systems and the core shell functions would likely work across platforms with little modification.
Sentence 15,"The dynamically linked binary is small at about 35K on Ubuntu:
-rwxr-xr-x  1 root root   34952 May 11 00:03 bpfdoor
Statically linked it would grow to about 1MB, but the dynamically linked version would likely work on most modern Linux distributions."
Sentence 16,Cross compiling for various CPUs is also possible so this implant would likely work on embedded Linux devices as well.
Sentence 17,"Implant Operation Steps
The binary itself just needs to be downloaded onto the victim and run."
Sentence 18,It doesn't matter how or where it gets to the host as it takes care of moving itself to a suitable area once run to remain resident.
Sentence 19,"However, the binary does need root permissions to run."
Sentence 20,"When run, the binary has an initialization sequence as follows:
1) Copy binary to the /dev/shm directory (Linux ramdisk)."
Sentence 21,2) Rename and run itself as /dev/shm/kdmtmpflush.
Sentence 22,3) Fork itself and run fork with --init flag which tells itself to execute secondary clean-up operations and go resident.
Sentence 23,4) The forked version timestomps the binary file /dev/shm/kdmtmpflush and initiates packet capture loop.
Sentence 24,5) The forked version creates a dropper at /var/run/haldrund.pid to mark it is resident and prevent multiple starts.
Sentence 25,6) The original execution process deletes the timestomped /dev/shm/kdmtmpflush and exits.
Sentence 26,7) The forked version remains resident and monitors traffic for magic packet to initiate attacker operations such as a bindshell.
Sentence 27,"Persistence
The implant itself has no persistence mechanisms as it is highly focused on a single task."
Sentence 28,Persistence would need to be initiated by the attacker in some other way such as rc or init scripts or scheduled tasks such as with crontab.
Sentence 29,The initial report referenced above indicates that persistence scripts have been found.
Sentence 30,The implant uses /dev/shm on Linux.
Sentence 31,This is a ramdisk and is cleared out on every reboot.
Sentence 32,"For persistence reasons, the implant will need to be somewhere else on the host to survive reboots or be inserted again remotely."
Sentence 33,Incident response teams that find this implant operating should assume the real binary is somewhere else on the file system.
Sentence 34,Check all system boot scripts for unusual references to binaries or paths.
Sentence 35,"Timestomping
The binary copies itself to /dev/shm/kdmtmpflush which is only in RAM and clears out every reboot."
Sentence 36,The interesting part of the implant is that it sets a bogus time to timestomp the binary before deletion.
