Number,Content
Sentence 1,"CRIMEWARE
Hypervisor Ransomware | Multiple Threat Actor Groups Hop on Leaked Babuk Code to Build ESXi Lockers
 ALEX DELAMOTTE /  MAY 11, 2023
"
Sentence 2,"
Executive Summary
SentinelLabs identified 10 ransomware families using VMware ESXi lockers based on the 2021 Babuk source code leaks."
Sentence 3,"These variants emerged through H2 2022 and H1 2023, which shows an increasing trend of Babuk source code adoption."
Sentence 4,Leaked source code enables actors to target Linux systems when they may otherwise lack expertise to build a working program.
Sentence 5,"Source code leaks further complicate attribution, as more actors will adopt the tools."
Sentence 6,"Background
Throughout early 2023, SentinelLabs observed an increase in VMware ESXi ransomware based on Babuk (aka Babak, Babyk)."
Sentence 7,The Babuk leaks in September 2021 provided unprecedented insight into the development operations of an organized ransomware group.
Sentence 8,"Due to the prevalence of ESXi in on-prem and hybrid enterprise networks, these hypervisors are valuable targets for ransomware."
Sentence 9,"Over the past two years, organized ransomware groups adopted Linux lockers, including ALPHV, Black Basta, Conti, Lockbit, and REvil."
Sentence 10,"These groups focus on ESXi before other Linux variants, leveraging built-in tools for the ESXi hypervisor to kill guest machines, then encrypt crucial hypervisor files."
Sentence 11,"We identified overlap between the leaked Babuk source code and ESXi lockers attributed to Conti and REvil, with iterations of the latter sharply resembling one another."
Sentence 12,"We also compared them to the leaked Conti Windows locker source code, finding shared, bespoke function names and features."
Sentence 13,"In addition to these notorious groups, we also found smaller ransomware operations using the Babuk source code to generate more recognizable ESXi lockers."
Sentence 14,Ransom House’s Mario and a previously undocumented ESXi version of Play Ransomware comprise a small handful of the growing Babuk-descended ESXi locker landscape.
Sentence 15,"
Babuk Background
Babuk was one of the early players in the ESXi ransomware space."
Sentence 16,"The group’s longevity was crippled in 2021 when a Babuk developer leaked the builder source code for Babuk’s C++-based Linux Executable & Linkable Format (ELF) ESXi, Golang-based Network Attached Storage (NAS), and C++-based Windows ransomware tooling."
Sentence 17,"Through early 2022, there were few indications that actors had adapted the leaked Babuk source code, aside from a short-lived ‘Babuk 2.0’ variant and the occasional new Windows ransomware du jour."
Sentence 18,"As cybercrime research is often laser-focused on Windows, Linux trends can develop under the radar."
Sentence 19,SentinelLabs identified Babuk-descended ransomware through the string Doesn’t encrypted files: %d\n in the source code’s /бабак/esxi/enc/main.cpp.
Sentence 20,"Unique strings in Babuk source code main.cpp
"
Sentence 21,"
The Babuk builder specifies a file name for the newly generated binary, e_esxi.out."
Sentence 22,"Several samples we identified share a similar naming convention:
Ransomware Family	File Name
Mario	emario.out
Play	e_esxi.out
Babuk 2023 aka XVGV	RansomWare-e_esxi-XVGV2.out
"
Sentence 23,"
For encryption, ESXi Babuk uses an implementation of the Sosemanuk stream cipher to encrypt targeted files, in contrast with Babuk for Windows, which uses the HC-128 cipher."
Sentence 24,Both ESXi and Windows Babuk use Curve25519-Donna to generate the encryption key.
Sentence 25,"
Generations of Babuk
Comparison Methodology
SentinelLabs compiled an unstripped Babuk binary to establish a baseline of how Babuk looks and behaves, referred to henceforth as ‘Baseline Babuk.’ To understand whether the variants we identified are related to Babuk, we compared each variant to this Baseline Babuk sample and highlighted notable similarities and differences."
