Number,Content
Sentence 1,"Conti Group Targets ESXi Hypervisors With its Linux Variant
By Marc Elias, Jambul Tologonov and Alexandre Mundo · Apr 20, 2022

Despite the leak of the conversations of the Conti members that happened in March 2022, which we analyzed and published recently, the group seems to continue its operations normally and is adding new victims to their blog on a regular basis."
Sentence 2,"In a previous blog, we already discussed the new shift we have observed in the ransomware landscape where different groups developed new versions of their encrypting code to target ESXi hypervisor servers to increase the damage to the organizations they attack

On the 4th of April 2022, we detected a sample uploaded, which triggered our threat-hunting rules."
Sentence 3,"Upon further investigation, we determined the file is a Conti variant compiled for the Linux operating system targeting ESXi servers."
Sentence 4,"Although, the ESXi version of Conti is not new and has been already discussed, this is the first public sample we have seen in the wild."
Sentence 5,In this blog we investigated the 2021 Conti leaked playbook and the 2022 leaked Conti chat messages with an attempt to understand when Conti began developing a Linux variant of their locker targeting ESXi servers as well as who their potential victims were.
Sentence 6,"We also provide a technical analysis of the recently detected Linux variant of Conti ransomware, explaining its operation and capabilities."
Sentence 7,"ESXi Linux variant in Conti leaks & playbook
The first mention of a Conti locker for Linux dates to the beginning of May 2021."
Sentence 8,"In the below conversation, the actors’ monikers are marked in bold."
Sentence 9,"Reshaev reports to Stern, he successfully tested the locker and the decryptor against several million files and he is currently applying the final touches to it."
Sentence 10,"“What is left is that I need to check it on one OS, ESXi, and that should be it” said Reshaev, adding that Tramp is already interested to start working with the Linux variant of the ransomware:



Figure 1."
Sentence 11,"Reshaev to Stern on development of Conti Linux variant

Later in mid-June 2021, Reshaev advised Pin the Linux build of the locker is not ready yet and preferably they should test it on a real case but not a large company."
Sentence 12,"Pin replied to him a large casino hack is almost finalized and suggested giving Reshaev’s Linux locker a try:



Figure 2."
Sentence 13,"Pin to Reshaev suggesting trying the Linux variant for the 1st time on a casino case

Moreover, Reshaev said the Linux locker does not launch on ESXi hypervisors with the version lower than 6.7 and for older ESXi versions, they need to re-build the locker with old libraries."
Sentence 14,"This message in the Conti leaks of March 2022 is in line with the Conti playbook leak of August 2021 where one of the manuals highlighted in cyan that the Linux variant of the locker might not launch on certain OS versions:



Figure 3."
Sentence 15,"Parameters of launching Conti Linux locker

It appears that Conti Linux version had a bug around November 2021."
Sentence 16,"“Throw away the builder I gave you for boby, it [expletive] does not work properly” advised Reshaev to Paranoik."
Sentence 17,"When an error was discovered, Cybergangster said he will fix it by the next day and ordered an ESXi version 5.5 to test and adjust the locker for it."
Sentence 18,"It seems that a fix was still required for the Conti Linux variant up until the beginning of February 2022 and Conti gang kept adjusting it for various ESXi versions including the latest version 7.0 and higher:



Figure 4."
Sentence 19,"Reshaev on Linux variant not working properly



Figure 5."
Sentence 20,"Cybergangster found a bug in the Linux variant of Conti



Figure 6."
Sentence 21,"Cybergangster asking to order ESXi v7 and higher

On the 22nd of November 2021 Cybergangster asked Bio to help to translate the Conti Linux variant decryptor instructions which look as follow:



Figure 7."
Sentence 22,"Cybergangster asking Bio to help to translate decryptor instructions

Conti Linux variant decryptor had some issues too."
Sentence 23,"In July-August 2021, Pin reported to Reshaev the provided decryptor did not remove the ransomware extension from the victim’s files."
Sentence 24,"Reshaev first advised the decryptor unlocked the files and the victim just needs to manually change the extension of the files, however due to a large volume of files to process, Pin asked him to rebuild the decryptor so that it automatically removes the extension from the decrypted files:



Figure 8."
Sentence 25,"Pin asking Reshaev to rebuild the Conti Linux decryptor

The Linux decryptor still had problems in December 2021 where either the victims who paid the ransom were complaining it did not work properly or Conti members themselves could not decrypt the files received from the victims."
Sentence 26,"Although the Linux variant’s first use on a potential victim (a large casino) dated as early as July 2021, we observed the ESXi variant becoming actively used only as of November 2021."
Sentence 27,"By examining the Conti leaks we have identified some of the potential victims of Conti Linux variant across various industries including business, law, automobile, logistics, retail and financial services."
Sentence 28,"Below is an excerpt from a hack case with the Linux variant, where initially Conti set a ransom at $20 million but settled at $1 million, mainly because something went wrong with the Linux variant lock and instead of 800 ESXi servers they managed to encrypt only 260 servers."
Sentence 29,"Furthermore, it seems that the victim did not want Conti’s decryptor and Conti suspected they somehow managed to recover and restore their systems:



Figure 9."
Sentence 30,"Tramp and Pumba’ discussion around a hack with the Linux variant

The latest potential victim of Conti Linux locker we have identified dates as late as 26th of January 2022."
