Number,Content
Sentence 1,"RansomEXX — Analysis of the Ransomware Used in the STJ Attack
Gustavo Palazolo

8 min read
Nov 16, 2020

Thewe believe that the vast majority of Brazilians learned of a cyber attack that unfortunately occurred in the Supreme Court of Justice recently."
Sentence 2,"According to the official note:

The Superior Court of Justice (STJ) communicates that the court's information technology network suffered a hacker attack on Tuesday (3), during the afternoon, when the trial sessions of the collegiates of the six classes took place."
Sentence 3,The presidency of the court has already activated the Federal Police for the investigation of the cyber attack.
Sentence 4,"In addition to the official note, the Department of Information Security (DSI), published two notes with technical information about the attack, including the hash (MD5/SHA1) of two files:

(notepad.exe) — 9df15f471083698b818575c381e49c914dee69de
(svc-new/svc-new) — 3bf79cc3ed82edd6bfe1950b7612a20853e28b09

Despite the technical details of the note, little is known about the attack and the workings of the above artifacts."
Sentence 5,"The first of them (notepad.exe) is a loader known as Vatet, which we will leave out of the article, because it is being analyzed in the Binary Chat channel, check it out!"
Sentence 6,"Still on the note, the incident had critical proportions, the IT area of the STJ recommended to users – ministers, servers, interns and outsourced – not to use computers, even personal ones, which are connected with any of the Court's computerized systems, until the security of the procedure is guaranteed."
Sentence 7,"With this in mind, I and two other friends, Ialle Teixeira and Felipe Duarte, made an analysis of the second file and decided to publish it here, with the sole purpose of showing the reverse engineering of the malware and perhaps helping people understand its operation and somehow contribute more useful information to the organs of interest."
Sentence 8,"RansomEXX
The file belongs to a family of ransomware known as RansomEXX, or Defray777."
Sentence 9,"Throughout the year 2020, this ransomware became known due to major attacks, such as the one that occurred at the Texas Department of Transportation (TxDOT)."
Sentence 10,"As of early November 2020, only Windows versions of RansomEXX had been detected, however, a Linux variant was recently discovered and published by Kaspersky."
Sentence 11,DIE tool showing details about the file.
Sentence 12,"The file published by DSI is precisely a version of RansomEXX for Linux, being a 64-bit ELF binary compiled with GCC, as indicated in the image above."
Sentence 13,The first thing to note is that the malware has no anti-parsing techniques and no obfuscation in the code or strings.
Sentence 14,Part of the RansomEXX strings.
Sentence 15,"Another point is that the file was compiled with the debug information, that is, through reverse engineering, we can get interesting details such as variable names and methods used by the attacker."
Sentence 16,"In the following sections, we will show you the details of the main functions of RansomEXX."
Sentence 17,"main()
The malware's main function is responsible for:

Call the GeneratePreData function, which creates the encryption context;
Create a thread that performs the same function every 0.18 seconds, generating new encryption keys;
Encrypt the files of a particular path, which was passed via argument on the execution command line."
