Number,Content
"""Sentence 1","[part 1] - analysing the new linux/aes.ddos iot malware
nov 19, 2017

as the title suggests this is a bot which is spread by brute forcing ssh daemons and exploiting iot devices using an array of exploits — this malware is mainly distributed by a chinese actor who is familiar with c++ and c constructs, however the knowledge of c++ by this threat actor only extends to using the std::string class in c++."
"""Sentence 2","this bot was being distributed a few years ago just for x86_64 targets, this has changed along with some key fundementals of the bot."
"""Sentence 3","it's started to target embedded systems, which is why i thought i would cover it again."
"""Sentence 4","linux/aes.ddos is programmed in c++, we can see this due to the fact that all of the symbols are exported and c++ constructs are used."
"""Sentence 5","we are going to be using:

gdb-peda: https://github.com/longld/peda
binaryninja: https://binary.ninja/
ltrace: https://linux.die.net/man/1/ltrace
radare2: http://rada.re/r/

a look at the file..
if we run ‘file’ on the executable we get:

elf 32-bit lsb executable, arm, eabi5 version 1 (sysv), statically linked, for gnu/linux 2.6.14, not stripped."
"""Sentence 6","so, we’re working with an elf (which is the coff for unix systems) and it’s 32 bit."
"""Sentence 7",it’s architecture is of type arm and all of the libraries its using are statically linked — this is normal behaviour of an iot bot to have its libc linked as many systems will have incomplete or sometimes even broken libraries.
"""Sentence 8","so, instead of dynamically linking the executable, they are statically linked."
"""Sentence 9","since its not stripped, this means that the analysis will be a lot easier as we have meaningful names in relation to objects in the executable."
"""Sentence 10","for some strange reason, the executable was compiled on a 12 year old version of the linux kernel — this could indicate to us that the malware was compiled on an iot device or just has an extremely old computer."
"""Sentence 11","md5: 125679536fd4dd82106482ea1b4c1726

sha1: 6caf6a6cf1bc03a038e878431db54c2127bfc2c1

a quick rundown on arm
arm is 32 bit by design, so all of our registers are 32 bit wide."
"""Sentence 12","in arm, the standard calling convention is to place the arguments into r0-r3."
"""Sentence 13","that's only four registers though, if there are more than three arguments then we place the rest of the arguments on the stack."
"""Sentence 14","we have 15 registers to play with though, they all serve a special purpose."
"""Sentence 15","r0, r1, r2, r3 are used for passing arguments, r0 usually also holds the return value of routines."
"""Sentence 16","r4, r5, r6, r7, r8, r9 are used internally within routines to store variables."
"""Sentence 17",r10 holds the limit for the current stack.
"""Sentence 18",r11 holds the stack frame pointer.
"""Sentence 19","r12 can also be used as a variable within routines, however there is no guarantee that this register will remain unchanged by the caller."
"""Sentence 20",r13 holds the stack pointer (sp).
"""Sentence 21","r14 is the link register, which points back to the caller."
"""Sentence 22",r15 holds the program counter.
"""Sentence 23","nice, so now you're an arm expert we can continue.. ;)

dive into main(..)..
as soon as the malware boots from the original entry-point main which is at 0x13dec."
"""Sentence 24",we use rabin2 to find the original entry point by doing rabin2 -s kfts | grep type=func name=main.
"""Sentence 25","which gives us the following output:

vaddr=0x00013dec paddr=0x0000bdec ord=5366 fwd=none sz=688 bind=global type=func name=main
nice!"
"""Sentence 26",the executable isn't packed.
"""Sentence 27",the main method then branches to function named get_executable_name which reads the symlink /proc/self/exe via readlink(..).
"""Sentence 28",when reading this symlink internally from our process it will return the location from that our executable is running from.
"""Sentence 29",we can see from the disassembly that we create a type of std::string and copy from the char array containing the path of the current executable.
"""Sentence 30",this is then used and passed into the function used for persistence.
"""Sentence 31","image-title-here{:class=img-responsive}

we then either check if we’re running or add to startup."
"""Sentence 32",in the check_running procedure we do a call to ps -e then sleep for two seconds; we then get the output from the command and check to see if the current executable name exists in the output.
"""Sentence 33","if it does, we continue to branch to exit with an exit code of 0 (which is placed into r0) which will effectively shut-down the process."
"""Sentence 34","if not, we then go onto persistence."
"""Sentence 35","so, if we're already running, we effectively exit the process."
"""Sentence 36","image-title-here{:class=img-responsive}

persistence
persistence is achieved by the malware by adding to /etc/rc.local and the /etc/init.d/boot.local files (in the auto_boot function); however before it overwrites this file it first checks to see if it has already done so."
"""Sentence 37",the /etc/rc.local will execute certain commands after all of the systems' services have started.
"""Sentence 38",the way that this is achieved is somewhat amateur as the malware constructs a shell command and then uses the system function to execute them (which in theory just calls the exec and hangs for a return code from the callee).
"""Sentence 39","a string is formatted and the sed program is called which writes to the file in question (there are several string operations, such as sed -i -e '2 i%s/%s' /etc/rc.local is formatted for example)."
"""Sentence 40","this is then passed to system, as described above."
"""Sentence 41",the buffer used in all of these formatting operations is at the virtual address 0x9f48 and has a size of 300 bytes.
"""Sentence 42","technically, since the input is un-sanitized we could manipulate the path that the malware resides in and utilise a format string exploit."
"""Sentence 43","we could therefore manipulate the stack; read local variables, overwrite addresses etc."
"""Sentence 44",this is the only persistence method used by the bot.
"""Sentence 45","image-title-here{:class=img-responsive}

information harvesting
the process then forks itself and breaks away from its parent by calling setsid(..)."
"""Sentence 46",all of the file descriptors are also closed which are inherited from the parent (0-3).
"""Sentence 47",a thread is then created to call the sendinfo function which collects information such as the number of cpus in the system; the network speed; the amount of load on the system cpus; the local address of the network adapter.
"""Sentence 48",this routine then calls the subroutine get_occupy.
"""Sentence 49",we can see that we calculate the load average by iterating over all the cpus in the system.
