Number,Content
Sentence 1,"FontOnLake: Previously unknown malware family targeting Linux
ESET researchers discover a malware family with tools that show signs they’re used in targeted attacks
Vladislav Hrčka
7 Oct 2021 - 11:30AM
ESET researchers have discovered a previously unknown malware family that utilizes custom and well-designed modules, targeting systems running Linux."
Sentence 2,"Modules used by this malware family, which we dubbed FontOnLake, are constantly under development and provide remote access to the operators, collect credentials, and serve as a proxy server."
Sentence 3,"In this blogpost, we summarize the findings published in full in our white paper."
Sentence 4,"To collect data (for instance ssh credentials) or conduct other malicious activity, this malware family uses modified legitimate binaries that are adjusted to load further components."
Sentence 5,"In fact, to conceal its existence, FontOnLake’s presence is always accompanied by a rootkit."
Sentence 6,"These binaries such as cat, kill or sshd are commonly used on Linux systems and can additionally serve as a persistence mechanism."
Sentence 7,The sneaky nature of FontOnLake’s tools in combination with advanced design and low prevalence suggest that they are used in targeted attacks.
Sentence 8,"FontOnLake: Previously unknown malware family targeting Linux
Read full paper
The first known file of this malware family appeared on VirusTotal last May and other samples were uploaded throughout the year."
Sentence 9,The location of the C&C server and the countries from which the samples were uploaded to VirusTotal might indicate that its targets include Southeast Asia.
Sentence 10,We believe that FontOnLake’s operators are particularly cautious since almost all samples seen use unique C&C servers with varying non-standard ports.
Sentence 11,"The authors use mostly C/C++ and various third-party libraries such as Boost, Poco, or Protobuf."
Sentence 12,None of the C&C servers used in samples uploaded to VirusTotal were active at the time of writing – which indicates that they could have been disabled due to the upload.
Sentence 13,"Known components of FontOnLake
FontOnLake’s currently known components can be divided into three following groups that interact with each other:
Trojanized applications – modified legitimate binaries that are adjusted to load further components, collect data, or conduct other malicious activities."
Sentence 14,Backdoors – user mode components serving as the main point of communication for its operators.
Sentence 15,"Rootkits – kernel mode components that mostly hide and disguise their presence, assist with updates, or provide fallback backdoors."
Sentence 16,"Trojanized applications
We discovered multiple trojanized applications; they are used mostly to load custom backdoor or rootkit modules."
Sentence 17,"Aside from that, they can also collect sensitive data."
Sentence 18,"Patches of the applications are most likely applied on the source code level, which indicates that the applications must have been compiled and replaced the original ones."
Sentence 19,All the trojanized files are standard Linux utilities and each serves as a persistence method because they are commonly executed on system start-up.
Sentence 20,The initial way in which these trojanized applications get to their victims is not known.
Sentence 21,"Communication of a trojanized application with its rootkit runs through a virtual file, which is created and managed by the rootkit."
Sentence 22,"As illustrated in Figure 1, data can be read/written from/to the virtual file and exported with its backdoor component upon the operator’s request."
Sentence 23,Figure 1.
Sentence 24,"Interaction of FontOnLake’s components
Backdoors
The three different backdoors we discovered are written in C++ and all use, albeit in slightly different ways, the same Asio library from Boost for asynchronous network and low-level I/O."
Sentence 25,"Poco, Protobuf, and features from STL such as smart pointers are used as well."
Sentence 26,What is rare for malware is the fact that these backdoors also feature a number of software design patterns.
Sentence 27,The functionality that they all have in common is that each exfiltrates collected credentials and its bash command history to its C&C.
Sentence 28,"Considering some of the overlapping functionality, most likely these different backdoors are not used together on one compromised system."
Sentence 29,All the backdoors additionally use custom heartbeat commands sent and received periodically to keep the connection alive.
