Number,Content
Sentence 1,Could Threat Actors Be Downgrading Their Malware to Evade Detection?
Sentence 2,"by Nozomi Networks Labs
Nov 2, 2022
Share This
 
 
Threat actors are known to modify their malware to evade detection and make additional profits."
Sentence 3,"They do this by changing the file name and IP address, along with other features."
Sentence 4,"This gives them an advantage, as it makes detection more difficult and helps them stay under the radar."
Sentence 5,"The modifications are so common that we noticed not only upgraded but also downgraded versions of the same malware, which could be part of a broader threat actor strategy."
Sentence 6,"These upgraded/downgraded versions may suggest the existence of modular malware capabilities, with customers who pay extra getting access to additional and/or unique features."
Sentence 7,This may also suggest that threat actors are tailoring payloads for each campaign to avoid revealing all of a malware’s functionality to researchers at once.
Sentence 8,"After analyzing several malware types, we decided to focus on the Gafgyt malware family, which is known to target IoT devices, such as routers, to launch Denial of Service (DoS) attacks."
Sentence 9,It requires a certain effort for security researchers stay on top of the latest botnet developments and their changes.
Sentence 10,"That’s why Nozomi Networks focuses on detecting malicious servers across the internet, in order to better understand malware behavior and enhance the protection of our customers."
Sentence 11,"In this blog, we introduce the first and second stage of the Gafgyt malware, its variants/modifications, and provide Indicators of Compromise (IoC)s for detecting malicious activity."
Sentence 12,"Downgrading Malware to Evade Detection BLOG
The number of botnet-related malware families has increased significantly."
Sentence 13,"
First Stage – Initial Access
One of the most prevalent initial access techniques that Nozomi Networks Labs researchers track is the misuse of valid accounts."
Sentence 14,Malware attempts to perform credential access by brute forcing SSH and telnet credentials.
Sentence 15,"If successful, the attacker can achieve code execution and deploy the first stage of malware to the vulnerable devices."
Sentence 16,"Our chain of honeypots was able to capture the top credentials misused by attackers in the last week of September 2022 (Figure 1):

Fig 1 Top misused credentials
Figure 1."
Sentence 17,"Top credentials misused by attackers within the last week of September 2022
"
Sentence 18,"
Most of these entries (e.g."
Sentence 19,"admin:admin, root:root, admin:1234, etc.)"
Sentence 20,are the default usernames and passwords used to access various Internet of Things (IoT) devices.
Sentence 21,These credentials are used by multiple botnets; some are even accessible in the publicly available source code of Mirai malware.
Sentence 22,"The top entries change over time, so the results may vary from month to month."
Sentence 23,You can find a chart of top credentials our honeypots captured in the first half of 2022 in our OT/IoT Security Report.
Sentence 24,"Once the malicious actors have gained access to the device, they then execute a bash script that allows them to deliver and execute the second-stage payload."
Sentence 25,The classic approach involves iteratively downloading several Executable and Linkable Format (ELF) payloads tailored to different architectures (usually using standard tools like curl or wget).
Sentence 26,"The most common computer architectures are x86, ARM, MIPS/MIPSEL, PowerPC, SH-4, SPARC and m68k, so it will vary depending on the device."
Sentence 27,The threat actor will then attempt to execute each of them on the victim’s device.
Sentence 28,"Fig 2 First stage bash script
Figure 2."
Sentence 29,"An example of the first stage bash script
Now, let’s focus on the binary payloads delivered in the second stage and the type of information that can be used to aid researchers in attribution and clusterization."
Sentence 30,"
Second Stage Payload
Traditionally, the first stage of a brute force attack is initiated by other compromised devices, while malicious Command-and-Control (C2) servers are used to deliver second stage payloads and issue commands to bots."
Sentence 31,"To further complicate this attack, a different filename is usually associated with each C2 server."
Sentence 32,"Due to the large number of different IPs used to carry out these attacks, the detection rate for malicious IPs on Virus Total is quite low."
Sentence 33,"In the following example (Figure 3), Nozomi Networks is one of only eight vendors, out of a total of 94, that can detect malicious indicators that have been modified."
Sentence 34,"Fig 3 Malicious C2 detections
Figure 3."
Sentence 35,"Low number of malicious C2 detections
"
Sentence 36,"
There are several types of second-stage payloads:

not packed samples
samples packed with public versions of Ultimate Packer for Executables (UPX)
samples packed with unreleased versions of UPX
samples packed with any version of UPX and corrupted afterwards
"
Sentence 37,"
If you are interested in the exact distribution of packers used, you can learn more in one of our previous blogs dedicated to anti-reverse engineering techniques."
Sentence 38,"Regarding the UPX corruption, Nozomi Networks Labs recently released an open-source tool that automatically restores these modifications."
Sentence 39,"
Gafgyt (aka Qbot) Malware Samples
Now let’s dissect the Gafgyt malware and its variants."
