Number,Content
Sentence 1,"Overview

Gafgyt malware, also known as Bashlite, is a Trojan horse that attacks *nix systems, targeting IoT devices such as routers and open backdoors into compromised systems, steals information, and enlists infected devices into botnets that provide Distributed Denial of Service (DDoS)."
Sentence 2,"The Gafgyt malware was first introduced in 2014, when it exploited unknown vulnerabilities in small home and small office routers to launch Distributed Denial of Service (DDoS) attacks, similar to the well-know Mirai botnet."
Sentence 3,"There have been numerous variants of Gafgyt that have appeared since 2014, also referred to by the names of BASHLITE, Lizkebab, Torlus, and Qbot)."
Sentence 4,This new variant of Gafgyt malware includes Mirai malware modules and added new modules to launch DDoS attacks against victims.
Sentence 5,"
Infection Flow

Gafgyt malware infect most of systems or IoT devices through the bash script which can download the main payload of the malware, Once the Gafgyt malware has been downloaded and the permission for the payload has been changed to executable, this script will run the payload and after the payload has been run, it will delete it from the system."
Sentence 6,"After infecting the system, it will open the backdoor for the command and control of the malware, through this backdoor attacker can use infected system as a botnet and launch various types of DDoS attacks using infected system resources."
Sentence 7,"
Fig 1: Gafgyt Infection Flow
"
Sentence 8,"

Technical Analysis

This script downloads the Gafgyt malware payload and execute the malware on system."
Sentence 9,"To infect Linux-based IoT devices, this script downloads payloads for various Linux architectures."
Sentence 10,"
Fig 2: Gafgyt downloader Bash Script."
Sentence 11,"
Gafgyt malware get the time of the infected system and Process ID (pid) of itself and checks for the machine IP, MAC address, and system routing table using getOurIP function in the malware."
Sentence 12,"
Fig 3: Malware checking machine time, IP and pid of itself."
Sentence 13,"
From above image (Figure 4) malware checks for the internet connection, get IP of the machine and open the system routing table (/proc/net/route) to get the list of active network interfaces with their relative configuration."
Sentence 14,When malware runs with the strace tool to trace system calls and signals then we can see how the malware checks the system information.
Sentence 15,"
Fig 5: strace output for malware."
Sentence 16,Gafgyt malware checks if any debugger is attached to it and if it finds the debugger then it terminates its process.
Sentence 17,This anti-debug check uses fork call and creates a child process where the malware tries to attach a debugger to the parent process.
Sentence 18,"If this syscall fails, it probably means a debugger is already attached to the parent process."
Sentence 19,"To notify the parent process, the developer relies on the exit code."
Sentence 20,"It's 1 if a debugger is attached, 0 otherwise."
Sentence 21,"On the parent side, it retrieves the exit code with the macro WEXITSTATUS."
Sentence 22,"
Fig 6: Anti-debugging technique."
Sentence 23,Fig 7: strace out of Anti-debug Technique.
Sentence 24,"
Now malware initiates the connection with command-and-control."
Sentence 25,If malware is able to initiate the connection with C&C then it will send “Device Connected: | Port: | Arch: ” message to C&C.
Sentence 26,"This message contains infected machine IP, Port, and Architecture to command-and-control."
Sentence 27,If malware not able to initiate connection with command-and-control then it will sleep for 5 second and try again.
Sentence 28,"
Fig 8: Successful connection with C&C."
Sentence 29,Fig 9: Unsuccessful connection with C&C.
Sentence 30,"
The command-and-control IP is hard coded inside this malware."
Sentence 31,Malware receives the command from this IP on TCP port 606.
Sentence 32,"
Fig 10: Hardcoded IP of C&C."
Sentence 33,"After initiating the connection, the malware checks for the following files on the device."
Sentence 34,"The getPortz function returns a “22” string if the following four files are found; otherwise, it returns with an “Unknown Port” string."
Sentence 35,"
Fig 11: getPortz Function of malware."
Sentence 36,"Malware collect the IP of the device using getOurIP function, Port (check specific files on device) using the getPortz function and architecture using getArch function and send that information to the command and control."
Sentence 37,"
Fig 12: System Information Collection."
Sentence 38,Malware receive the command from the recvLine function from the command and control.
Sentence 39,Fig 13: Receive command function.
Sentence 40,"
After receiving command from C&C, malware trims the command to perform the action accordingly."
Sentence 41,Fig 14: Trim command function.
Sentence 42,"
Here is the example how malware receive attack command from C&C and how it performs the attack on victim."
Sentence 43,Malware receives the “!
Sentence 44,STD 176.32.37.93 7777 50\n” command from the C&C.
Sentence 45,From the received command there are multiple options present in the command to understand each action malware needs to trim the command received from C&C.
Sentence 46,"
Fig 15: Receive DDoS attack command from C&C."
Sentence 47,"To trim the received command from C&C, malware first copies the command string then starts to trim the command."
Sentence 48,"
Fig 16: Copy the command from C&C."
