Number,Content
Sentence 1,"Multi-exploit IoT/Linux Botnets Mirai and Gafgyt Target Apache Struts, SonicWall

By Ruchna Nigam
September 9, 2018 at 6:27 PM
Category: Unit 42
Tags: Apache Struts, BlackNurse, botnet, CVE-2017-5638, CVE-2018-9866, exploits, Gafgyt, IoT, Linux, Mirai, SonicWall RCE

This post is also available in: 日本語 (Japanese)
"
Sentence 2,"
Executive Summary:

Unit 42 has uncovered new variants of the well-known IoT botnets Mirai and Gafgyt."
Sentence 3,These are the IoT botnets associated with unprecedented Distributed Denial of Service attacks in November 2016 and since.
Sentence 4,"
These variants are notable for two reasons:
The new Mirai version targets the same Apache Struts vulnerability associated with the Equifax data breach in 2017."
Sentence 5,"The new Gafgyt version targets a newly disclosed vulnerability affecting older, unsupported versions of SonicWall’s Global Management System (GMS)."
Sentence 6,These developments suggest these IOT botnets are increasingly targeting enterprise devices with outdated versions.
Sentence 7,"All organizations should ensure they keep not only their systems up-to-date and patched, but also their IoT devices."
Sentence 8,"For Palo Alto Networks customers, WidlFire detects all related samples with malicious verdicts."
Sentence 9,Additional protections are noted in the conclusion below.
Sentence 10,"
Research:

On September 7, 2018, Unit 42 found samples of a Mirai variant that incorporates exploits targeting 16 separate vulnerabilities."
Sentence 11,"While the use of multiple exploits within a single sample of Mirai has been observed in the past, this is the first known instance of Mirai targeting a vulnerability in Apache Struts."
Sentence 12,"In addition, Unit 42 found the domain that is currently hosting these Mirai samples previously resolved to a different IP address during the month of August."
Sentence 13,During that time this IP was intermittently hosting samples of Gafgyt that incorporated an exploit against CVE-2018-9866 a SonicWall vulnerability affecting older versions of SonicWall Global Management System (GMS).
Sentence 14,SonciWall has been notified of this development.
Sentence 15,The incorporation of exploits targeting Apache Struts and SonicWall by these IoT/Linux botnets could indicate a larger movement from consumer device targets to enterprise targets.
Sentence 16,"
Apache Struts exploit in multi-exploit Mirai variant

The exploit targeting Apache Struts in the new variant we found targets CVE-2017-5638, an arbitrary command execution vulnerability via crafted Content-Type, Content-Disposition, or Content-Length HTTP headers."
Sentence 17,"Its format can be seen in Figure 1, with the payload highlighted."
Sentence 18,"Figure 1 CVE-2017-5638 exploit format

The other 15 exploits incorporated in this Mirai variant are detailed in Table 2 in the Appendix below."
Sentence 19,"While these samples are variants of Mirai, they don’t include the bruteforce functionality generally used by Mirai."
Sentence 20,"They use l.ocalhost.host:47883 as C2, and the same encryption scheme as Mirai with the key 0xdeadf00d."
Sentence 21,"
SonicWall GMS exploit in Gafgyt variant

The domain l.ocalhost.host used for C2 and to serve payloads in the Mirai variant discussed above, has also been found associated with other Mirai activity in the past as far back as November 2016."
Sentence 22,"For part of the month of August 2018, that same domain resolved to a different IP address 185.10.68.127."
Sentence 23,"At that time we found that IP hosting samples of Gafgyt containing an exploit for a recently disclosed SonicWall vulnerability (CVE-2018-9866) affecting older, unsupported versions of SonicWall Global Management System (GMS) (8.1 and older) that is not present in currently supported versions."
