Number,Content
Sentence 1,"Exposed Docker Server Abused to Drop Cryptominer, DDoS Bot
Malicious actors continue to target environments running Docker containers."
Sentence 2,We recently encountered an attack that drops both a malicious cryptocurrency miner and a DDoS bot on a Docker container built using Alpine Linux as its base image.
Sentence 3,"By: Augusto Remillano II
September 08, 2020
Read time: 4 min (988 words)
"
Sentence 4,"
Malicious actors continue to target environments running Docker containers."
Sentence 5,We recently encountered an attack that drops both a malicious cryptocurrency miner and a distributed denial-of-service (DDoS) bot on a Docker container built using Alpine Linux as its base image.
Sentence 6,"A similar attack was also reported by Trend Micro in May; in that previous attack, threat actors created a malicious Alpine Linux container to also host a malicious cryptocurrency miner and a DDoS bot."
Sentence 7,"Infection chain analysis

In this recent attack, the infection starts with threat actors connecting to an exposed Docker server and then creating and running a Docker container."
Sentence 8,"On the Docker container, the command shown in Figure 1 is executed."
Sentence 9,"A code snippet of the command that is executed on the Docker container
Figure 1."
Sentence 10,"A code snippet of the command that is executed on the Docker container
The XMI download file (detected by Trend Micro as Trojan.Linux.MALXMR.USNELH820) is a Bash script, shown in Figure 2, that moves laterally to other hosts in the same container network using information from /.ssh/known_hosts."
Sentence 11,"A code snippet of the Bash script used in the attack
Figure 2."
Sentence 12,"A code snippet of the Bash script used in the attack
The commands shown in Figure 3 download and execute the XMI Bash script and a Python script named “d.py” (Trojan.Python.MALXMR.D)."
Sentence 13,"A code snippet of the commands sent to targets
Figure 3."
Sentence 14,"A code snippet of the commands sent to targets
The XMI shell script extensively uses Base64 encoding to avoid detection."
Sentence 15,"Decoding the encoded string shown in Figure 3 yields the command shown in Figure 4, which downloads and executes d.py."
Sentence 16,"A code snippet of the decoded command that downloads and executes the component named “d.py”
Figure 4."
Sentence 17,"A code snippet of the decoded command that downloads and executes the component named “d.py”
It is also worth noting that the shell script contains commented-out code, shown in Figure 5, that seems to be used for propagating the malware via SSH brute-forcing."
Sentence 18,It is likely that the actors behind this attack used to target or are also targeting SSH servers.
Sentence 19,"A code snippet of the commented-out code found in the XMI Bash script
Figure 5."
Sentence 20,"A code snippet of the commented-out code found in the XMI Bash script
The attack uses multiple techniques to establish persistence."
Sentence 21,"Aside from setting up cron jobs, as shown in Figure 6, it also creates its own service for automatic payload execution."
Sentence 22,"A code snippet of the attack setting up persistence using cron jobs
Figure 6."
Sentence 23,"A code snippet of the attack setting up persistence using cron jobs
The portion that creates the service is also Base64-encoded."
Sentence 24,"Its decoded form, shown in Figure 7, is placed in the the /etc/init.d directory."
Sentence 25,"A code snippet of the decoded form of the script, which is placed in the /etc/init.d directory
Figure 7."
Sentence 26,"A code snippet of the decoded form of the script, which is placed in the /etc/init.d directory
We detect the cryptocurrency-mining payload, whose download script is shown in Figure 8, as Coinminer.Linux.MALXMR.UWELD."
Sentence 27,"Interestingly, the cryptocurrency wallet used by the threat actors is the same one used in campaigns that exploited vulnerabilities such as CVE-2019-3396, a Confluence vulnerability, and CVE-2017-5638, an Apache Struts vulnerability."
Sentence 28,"According to a report by Tencent Security, the 8220 mining group, a criminal gang based in China, is behind the campaign that exploited CVE-2017-5638."
Sentence 29,"A code snippet of the cryptocurrency-mining payload download 
Figure 8."
Sentence 30,"A code snippet of the cryptocurrency-mining payload download
To check whether the payload has been successfully dropped, the malware uses md5sum, a program that calculates and verifies 128-bit MD5 hashes."
Sentence 31,"This verification method is similar to the one used by the Kinsing malware, which was used by the H2Miner cryptocurrency-mining botnet that targeted cloud servers in China."
