Number,Content
Sentence 1,"Lightning Framework: New Undetected “Swiss Army Knife” Linux Malware
Written by Ryan Robinson - 21 July 2022
Lightning Framework is a new undetected Swiss Army Knife-like Linux malware that has modular plugins and the ability to install rootkits."
Sentence 2,Year after year Linux environments increasingly become the target of malware due to continued threat actor interest in the space.
Sentence 3,"Malware targeting Linux environments surged in 2021, with a large amount of innovation resulting in new malicious code, especially in ransomwares, trojans, and botnets."
Sentence 4,"With the rise in use of the cloud, it is no wonder that malware innovation is still accelerating at breakneck speed in this realm."
Sentence 5,This is a technical analysis of a previously undocumented and undetected Linux threat called the Lightning Framework.
Sentence 6,It is rare to see such an intricate framework developed for targeting Linux systems.
Sentence 7,"Lightning is a modular framework we discovered that has a plethora of capabilities, and the ability to install multiple types of rootkit, as well as the capability to run plugins."
Sentence 8,"The framework has both passive and active capabilities for communication with the threat actor, including opening up SSH on an infected machine, and a polymorphic malleable command and control configuration."
Sentence 9,We are releasing this blog for informational purposes.
Sentence 10,"We do not have all the files that are referenced in the framework, but hope that this release will help others if they possess other pieces of the jigsaw puzzle."
Sentence 11,We have not observed this malware being used in attacks in the wild.
Sentence 12,"
Technical Analysis of Lightning Framework
"
Sentence 13,"
The framework consists of a downloader and core module, with a number of plugins."
Sentence 14,Some of the plugins used by the malware are open-source tools.
Sentence 15,"Below is a figure of the framework layout:
Lightning framework new linux threat
"
Sentence 16,"
Overview of the Modules
Name	Name on Disk	Description
Lightning.Downloader	kbioset	The persistent module that downloads the core module and its plugins
Lightning.Core	kkdmflush	The main module of the Lightning Framework
Linux.Plugin.Lightning.SsHijacker	soss	There is a reference to this module but no sample found in the wild yet."
Sentence 17,"Linux.Plugin.Lightning.Sshd	sshod	OpenSSH with hardcoded private and host keys
Linux.Plugin.Lightning.Nethogs	nethoogs	There is a reference to this module but no sample found in the wild yet."
Sentence 18,"Presumably the software Nethogs
Linux.Plugin.Lightning.iftop	iftoop	There is a reference to this module but no sample found in the wild yet."
Sentence 19,"Presumably the software iftop
Linux.Plugin.Lightning.iptraf	iptraof	There is a reference to this module but no sample found in the wild yet."
Sentence 20,"Presumably the software IPTraf
Linux.Plugin.RootkieHide	libsystemd.so.2	There is a reference to this module but no sample found in the wild yet."
Sentence 21,"LD_PRELOAD Rootkit
Linux.Plugin.Kernel	elastisearch.ko	There is a reference to this module but no sample found in the wild yet."
Sentence 22,"LKM Rootkit
"
Sentence 23,"
Lightning.Downloader
The main function of the downloader module is to fetch the other components and execute the core module."
Sentence 24,"Lightning framework downloader result in Intezer Analyze
Lightning Downloader result in Intezer Analyze
The downloader module starts by checking if it is located in the working directory /usr/lib64/seahorses/ under the name kbioset."
Sentence 25,The framework makes heavy use of typosquatting and masquerading in order to remain undetected.
Sentence 26,The reference to seahorses masquerades the password and key manager software seahorse.
Sentence 27,If not it will relocate itself to that working directory and execute that copy.
Sentence 28,"The downloader will fingerprint the host name and network adapters to generate a GUID, which will be sent to the command and control (C2) server."
