Number,Content
Sentence 1,"mirai's new variant mukashi attacks network-attached devices
product/version includes:apex one 2019, officescan xg, deep discovery email inspector 5.0, view more
update date: 2020/12/17
article number: 000283375
category: remove a malware / virus
rating: 0

summary
mirai is a malware that turns networked devices running linux into remotely controlled bots that can be used as part of a botnet in large-scale network attacks."
Sentence 2,it primarily targets online consumer devices such as ip cameras and home routers.
Sentence 3,"the mirai botnet was first found in august 2016 by malwaremustdie, a whitehat malware research group, and has been used in some of the largest and most disruptive distributed denial of service (ddos)."
Sentence 4,mirai was named after the 2011 tv anime series mirai nikki.
Sentence 5,the source code for mirai was published on hack forums as open-source.
Sentence 6,"since the source code was published, the techniques have been adapted in other malware projects."
Sentence 7,the new mirai variant named mukashi is attacking network-attached storage (nas) devices.
Sentence 8,"mukashi takes advantage of a vulnerability, cve-2020-9054, found in zyxel nas devices which allows remote attackers to execute malicious codes into the affected system."
Sentence 9,it uses brute force attacks through default credentials to log into zyxel nas products.
Sentence 10,"when logged in successfully, the attackers can now take control of the devices and add them to a botnet that can be used to perform distributed denial of service (ddos) attacks."
Sentence 11,mukashi retains the ability of communicating to a command-and-control server.
Sentence 12,"this backdoor gathers the following information and sends it to its servers:

user/device information (ip address, port, username, password)
behaviour

brute force
communicates to a command-and-control server
capabilities

exploits
information theft
backdoor commands
impact

exploits - takes advantage of a software vulnerability or security flaw and can be used to remotely access a network and gain elevated privileges or move deeper into the network
compromise system security - with backdoor capabilities that can execute malicious commands
violation of user privacy - gathers user credentials and steals user information
additional threat reference information

threat encyclopedia: backdoor.linux.mirai.vwisg
threat encyclopedia: iot.linux.mirai.vwisf
infection chain



mitre att&ck matrix

behavior	tactic	technique
it takes advantage of vulnerability cve-2020-9054	initial access	t1190 exploit public-facing application
brute force attack through the use of default credentials	persistence, privilege escalation, initial access	t1078 valid accounts
report/send vulnerability result of victim’s device (ip address, port, login credential)	exfiltration	t1041 exfiltration over command and control channel
loads malware and components on zyxel nas device running firmware version 5.21	command and control, lateral movement	t1105 remote file copy
execute script to download and run payload	defense evasion, execution	t1064 scripting
scan tcp port of random ip address or host	discovery	t1046 network service scanning
identify iot devices	discovery	t1049 system network connections discovery
adversaries may perform ddos attack	impact	t1498 network denial of service
available solutions

solution modules	solution available	pattern branch	release date	detection/policy/rules
email protection	n/a	-	-	-
url protection	yes	in the cloud	-	-
advanced threat scan engine (atse)	yes	15.793.00	april 9, 2020	detection similar to vsapi
predictive machine learning	n/a	-	-	-
file detection (vsapi)	yes	ent opr 15.791.00	april 8, 2020	backdoor.linux.mirai.vwisf
backdoor.linux.mirai.vwisg
backdoor.linux.mirai.vwisk
backdoor.linux.mirai.vwise
backdoor.linux.mirai.vwism
backdoor.linux.mirai.vwisn
backdoor.linux.mirai.vwish
backdoor.linux.mirai.vwisi
backdoor.linux.mirai.vwisl
iot.linux.mirai.vwisf
trojan.sh.mirai.boe
network pattern	yes	rule 4362	ncip 1.14087.00
nccp 1.14013.00	march 10, 2020	rule 4362	cve-2020-9054 - zyxel nas - http (request)
rule 2839	ncip 1.13651.00
nccp 1.13611.00	rule 2839	zte f460 f660 - remote code execution - http (request)
rule 2544	ncip 1.14043.00
nccp 1.13069.00	rule 2544	jaws remote code execution exploit - http (request)
behavioral monitoring (aegis)	yes	tmtd opr 2105
tmdt opr 2107	april 9, 2020"
