Number,Content
Sentence 1,"Exposing the EGO MARKET: the cybercrime performed by the Linux/Moose botnet
by Masarah Paquet-Clouston | Nov 2, 2016

Cybercrime is an evolving phenomenon and offenders are continuously adapting to find new techniques to monetize their illicit activities."
Sentence 2,"Our research paper and upcoming BlackHat Europe presentation – EGO MARKET: When People’s Greed for Fame Benefits Large-Scale Botnets – is about Linux/Moose, a botnet that conducts social media fraud."
Sentence 3,This blog post is a summary of our paper.
Sentence 4,"Through our technical/social investigation, we found that the botnet is involved in a clever scheme that combines a stealthy infrastructure, constant technological adaptation, the inconspicuous activity of social media fraud with no direct victims, the ability to hide in plain sight and a large potential for profitability."
Sentence 5,"Social media fraud is:

The process of creating false endorsements of social networks accounts in order to enhance a user’s popularity and visibility."
Sentence 6,This can be achieved by liking posts (or any similar endorsement) or following a user.
Sentence 7,"The clever scheme of Linux/Moose:

Stealthy
Linux/Moose only targets IoT devices."
Sentence 8,The lack of antivirus and security software available for these devices allows the botnet to spread undetected.
Sentence 9,"Moreover, the botnet is an embedded system threat with no x86 architecture variant; it can only run on embedded Linux systems of the MIPS and ARM architectures."
Sentence 10,This focus on embedded systems is rare as even the well-known embedded threats like LizardStresser (Linux/Gafgyt) and the recently discovered Mirai have x86 variants.
Sentence 11,"Since our industry’s best tools are built to detect and clean x86 threats, we can only deduce that the botnet operators aimed to proactively stay under the radar."
Sentence 12,"Constantly Adapting
The Linux/Moose botnet was first discovered by the ESET research team in 2015 and their analysis of the botnet was published in a technical report."
Sentence 13,"The botnet’s infrastructure changed following the report, illustrating how offenders can adapt once their activities are exposed."
Sentence 14,"Linux/Moose Adaptations
1st change	The IP address of the C&C server is now XORed with a static value and passed as an argument into the executables instead of hard-coded in binary files."
Sentence 15,This means that out-of-context hunting by gathering files from Virus Total (VT) is no longer a viable means to track the botnet.
Sentence 16,2nd change	The SOCKSv4 TCP port used by the botnet operators to proxy their traffic was updated from 10073 to 20012.
Sentence 17,3rd change	Bot enrollment process changed and a correlation check was integrated between the infecting party and the victim in the C&C server.
Sentence 18,Simply mimicking an infected device and contacting the C&C is no longer sufficient to be considered as a bot by the botnet.
Sentence 19,4th change	The network protocol with the C&C server was updated.
Sentence 20,The new protocol now mimics HTTP traffic on port 80 and the server displays a very common “It works!” page.
Sentence 21,These changes are further described in a blog post released by ESET.
Sentence 22,"Man-in-the-Middle Attack on Linux/Moose
To further study the real effect of this botnet on social networks, we needed to see the traffic proxied by Linux/Moose’s infected devices."
Sentence 23,"To do so, we built a custom honeypot, deployed it worldwide and conducted an HTTPS man-in-the-middle attack on the proxied traffic."
Sentence 24,The complete description of the honeypot’s architecture and the TLS attacks conducted are presented in the report.
Sentence 25,"The attack gave us invaluable information on the botnet’s activities, such as which social media sites were targeted, as well as detailed information about all the requests made on each site."
Sentence 26,"No Direct Victims
Botnets are commonly known for distributed denial-of-service attacks (DDoS), sending spam or contributing to ad click fraud."
Sentence 27,We found that the Linux/Moose botnet operators are branching out to new and less risky activities.
Sentence 28,All of Linux/Moose’s traffic aims at social media fraud.
Sentence 29,"This was achieved by sending requests to log in on the social networks, create fake accounts and endorse other accounts."
Sentence 30,The most common fraud conducted by Linux/Moose is following a user on Instagram.
Sentence 31,"Distribution of Linux/Moose traffic on different social media websites

As opposed to Ransomware, Social media fraud does not generate victims in need of defending."
Sentence 32,Thus it is not an attractive target for law enforcement or for the international security industry.
Sentence 33,"The indirect victims of social media fraud are the entities or people that use the number of followers and likes as a measure of the worth of a profile to hire a person, buy products from the profile or pay for advertisements."
Sentence 34,"Instead of requiring law enforcement intervention, these victims are more likely to be more cautious in future transactions, thereby giving a free pass to the botnet operators."
Sentence 35,"Hiding in Plain Sight
The Linux/Moose botnet operators can advertise on the clear Web, reaching large exposure."
Sentence 36,"Indeed, most sales of social media fraud go through websites and freelancer platforms available through an easy search on Google."
Sentence 37,"The price on Instagram is, on average, US $112.67 for 10,000 follows."
Sentence 38,This is expensive considering that fake follows from Linux/Moose do not last.
Sentence 39,The fake accounts are often quickly flagged as spam by Instagram.
Sentence 40,The nature of the demand shows how the fraud is driven by an EGO Market.
Sentence 41,"Not only are the Linux/Moose operators selling their illegal activity in plain sight, they reach a pool of customers that are not criminalized."
Sentence 42,"The buyers of social media fraud found in Linux/Moose traffic are mostly small businesses, aspiring celebrities, and common people."
Sentence 43,"Businesses centered around individuals, such as the adjacent profile showing a corporate account focused on the owner, were often found."
Sentence 44,"Large Potential Profitability
With a large botnet and all follows monetized, the operators of Linux/Moose are sitting on a gold mine, as shown in the graph below."
Sentence 45,"Indeed, if all follows conducted by Linux/Moose on Instagram are monetized, the value generated by a single bot can go up to, on average, 13.05$ per month."
Sentence 46,"However, to what extent the fraud is profitable for the botnet operators remains unclear."
Sentence 47,"It depends on several factors such as the number of follows monetized, the size of the botnet and the number of actors sharing the money."
Sentence 48,"Regardless of the botnet’s overall profitability, the Linux/Moose botnet evolves in an inconspicuous EGO market collecting money from normal people using regular credit cards."
Sentence 49,"Further, it advertises its services on the clear Web and does not attract the attention of law enforcement."
Sentence 50,"No connection to the criminal underworld is needed and there are no direct victims, yet the money is generated through illicit activities."
Sentence 51,"In the end, the Linux/Moose botnet participates in a clever scheme: it falls into an interstice that allows the botnet operators to continuously commit a cybercrime and profit from it in total impunity."
Sentence 52,Indicators of Compromise (IoCs) are available in the appendix section of the report and from the ESET IoC repository.
