Number,Content
Sentence 1,"MALWARE TECHNICAL INSIGHT
TURLA “Penquin_x64”
Last update: May 29th 2020
"
Sentence 2,"
EXECUTIVE SUMMARY
The APT group known as Turla (aka Snake, Venomous Bear, Group 88, Uroburos, Waterbug and others) is a well-established collective that has been operational since at least 2004."
Sentence 3,Turla is one of the most advanced APTs in the world; it is famous for developing new and very advanced techniques to avoid detection and to ensure the persistence on the targeted network.
Sentence 4,"This adversary is known for targeting, among the others, government, defense and education sectors all around the globe."
Sentence 5,"In December 2014, Kaspersky reported on a tool attributed to the Turla intrusion set used to target the Linux Operating System: they named it “Penquin” Turla."
Sentence 6,"In 2017, more information about this threat was discovered1."
Sentence 7,"Since then, almost three years have passed with no new information being discovered about this specific threat, until now."
Sentence 8,"In this technical report we analyse new samples of the toolkit spotted in April 2020, and dubbed “Penquin_x64”."
Sentence 9,"We describe in depth the capabilities of this stealth backdoor, comparing it to the older known versions, and we also investigate the possible build dates of these samples."
Sentence 10,The threat actor put in place a considerable amount of effort to avoid the improper activation of the backdoor.
Sentence 11,"In this report we shed light on the communication protocol, providing a tool to efficiently detect a “Penquin_x64” infection in enterprise networks."
Sentence 12,The discovery of this Turla module still raises the same question of the 2014 Kaspersky’s report about how many other unknown Turla variants exist.
Sentence 13,"Figure 1 – Evaluation of “Penquin_x64” tactics and techniques
"
Sentence 14,"
1."
Sentence 15,"SCENARIO
In April 2020, a few other samples similar to those detected in 2014 have been uploaded to a multi-scanner service."
Sentence 16,They let us discover the existence of an additional version of Turla “Penquin” that has not been analysed yet: we named it “Penquin_x64”.
Sentence 17,"“Penquin_x64” is a stealth backdoor that, in addition, tries to hide itself from the eyes of the system administrators mimicking the “cron” binary, that is a system utility used to create pre-scheduled and periodic background jobs on Linux servers and clients."
Sentence 18,The analysis we performed allowed us to fully understand all the malware capabilities and the network protocol used to activate the backdoor.
Sentence 19,"Consequently, we built a python code that can be used by system administrators to check the presence of “Penquin_x64” on their networks."
Sentence 20,“Penquin_x64” is a brand new piece of the Turla puzzle that remained uncovered for years.
Sentence 21,It is not possible to identify the exact date of build for this version.
Sentence 22,"However, the analysis performed allowed us to estimate with high confidence that the most recent sample we discovered has been built between 2016 and 2017."
Sentence 23,"We cannot state that this component is still in use by Turla, but there is the possibility that additional versions that target the Linux OS have not been discovered yet."
Sentence 24,"Even though we do not have concrete data to support this statement, we can confirm that the most recent samples we found are still able to run on the current stable version of Ubuntu."
Sentence 25,"Considering that Turla is one of the most complex APTs in the world, and since it is highly likely that this malware has been used more often than what we currently know, we recommend to verify its presence on Linux OS servers and clients by using the tool we have built and the indicators of compromise attached to the end of this report."
Sentence 26,"Based on our analysis, we have a high degree of confidence that this malware has been used as a post compromise tool on Virtual Private Servers that successively played a role in the Turla network infrastructure (Figure 3)."
Sentence 27,"
The behavior of this implant suggests that it starts to operate at the “Installation” phase of the Cyber Kill Chain®, and, successively, once the stealth backdoor is activated by the attacker, it operates at the “Command and Control” phase also (Figure 4)."
Sentence 28,"At the same time, we do not exclude that the “Actions on Objectives” phase could be up and running on the compromised infrastructure or on other infrastructures that are reachable from the infected one."
Sentence 29,"However, since we did not have the chance to investigate an actual incident involving this implant, it is not possible to be confident about this last statement."
Sentence 30,"
2."
Sentence 31,"EVOLUTION OF THE “PENQUIN”
The birth of the “Penquin” toolkit goes back years, at the dawn of Nation-State digital espionage."
Sentence 32,"Two important reports of extremely high quality about this threat have been published by Kaspersky GReAT, in 2014 and in 2017 respectively: “The Penquin Turla” [1] and “Penquins Moonlit Maze” [2]."
Sentence 33,"While the former is a technical analysis of a set of samples found in the wild, the latter gives a very broad but specific context about Turla intrusion set, and how it evolved since the early 2000s."
Sentence 34,A third important report that mentioned features of the “Penquin” family has been published by the Swiss CERT in 2016 detailing a prolonged campaign against the defence contractor Ruag [3].
Sentence 35,"In April 2020, we detected three new “Penquin” samples."
Sentence 36,"With respect to those already known, these new samples target 64 bits architectures."
Sentence 37,"We analysed them, and we compared them with the old ones."
Sentence 38,In the rest of this document we will report the result of this deep technical analysis that allowed us to understand much more about this specific threat.
Sentence 39,In the following section we will describe the three different versions of “Penquin” we have been able to identify.
Sentence 40,"We will provide an estimation of the build date of the new samples in Section 2, while in Section 3 we will report on the capabilities of this malware, also providing a discussion about differences and commonalities of the different versions."
Sentence 41,"
2.1 “Penquin” versions
Having at our disposal new and old samples, we have been able to categorise them in three different sets that have many commonalities, but also a few important differences."
Sentence 42,"The first set, that we will call “Penquin”, is the one firstly analysed by Kaspersky in 2014."
Sentence 43,"One of its peculiar features is the sniffing technique initially attributed to the cd00r project (http://www.phenoelit.org/stuff/cd00r.c) [1], and successively to LOKI2 [2]."
Sentence 44,"This feature allows the samples belonging to this set to become stealth backdoors that are difficult to detect, and that can be potentially used as post-compromise tools."
Sentence 45,"Indeed, the sample will connect back to a C2 only after a sniffed packet matches a series of predefined mathematical conditions."
Sentence 46,"Note that the IP address of the C2 is encoded in the activation packet, and therefore it is not possible to foresee it in advance."
Sentence 47,We named the second set of samples “Penquin_2.0”.
Sentence 48,"One sample belonging to this set has been detected by Kaspersky after the first publication of their 2014 report, which has been updated to include it."
Sentence 49,"The other three samples we know about have been first seen in the wild in 2014, 2016 and 2017 respectively."
Sentence 50,All of them have been included among the indicators of compromise reported in [2].
Sentence 51,"“Penquin_2.0” shares most of the capabilities with his ancestor, but there is a fundamental difference: it doesn’t use the network sniffing technique anymore."
Sentence 52,"On the contrary, it includes a hardcoded Command and Control server, specified by IP address and port, that is immediately contacted."
Sentence 53,This IP address belonged to LunaSat ISP.
Sentence 54,"In 2015, it already came out that several other IP addresses belonging to the same Lebanese satellite Internet Service Provider have been leveraged by Turla."
Sentence 55,"The third set of samples is the most interesting one, as a matter of fact it has not been publicly disclosed yet: we named it “Penquin_x64”."
Sentence 56,Two samples belonging to this set have been submitted to VirusTotal service in April 2020 from the Czech Republic and Italy respectively.
Sentence 57,We have reason to believe that the sample submitted from Italy is related to an incident investigation that could reveal more details about Turla TTPs.
Sentence 58,"We are not aware of the identity of who submitted it, even though we are based in the same Country."
Sentence 59,The two samples submitted in 2020 let us discover a third one that has been submitted to the Virus Total service in December 2017.
Sentence 60,All “Penquin_x64” samples are compiled to work on 64 bits architectures and they embed a legitimate linux binary trying to mimic: “cron”.
Sentence 61,"Furthermore, they implement the same sort of port knocking technique2 of the first “Penquin” version, using a different filter to activate the backdoor."
Sentence 62,"In Table 1, we provide a comparison of the main features of the three sets of samples we analysed, for the STIX 2.1 standard."
Sentence 63,More details about commonalities and differences of the three malware versions will be reported in Section 3.
Sentence 64,"
Features
Malware Versions
Description
Name
Penquin
Penquin_2.0
Penquin_x64
Estimated Date of build
-
-
After mid-2016
The date of build that we estimate
First Seen ITW
November 2014
December 2014
December 2017
Date that the malware instance or family was first seen."
