Number,Content
Sentence 1,"may 19, 2022 • 27 min read
rise in xorddos: a deeper look at the stealthy ddos malware targeting linux devices
microsoft 365 defender research team
share
updated september 12, 2022: new information has been added to the initial access and payload analysis sections in this blog, including details on a rootkit component that we found while investigating a xorddos sample we saw in june 2022.

in the last six months, we observed a 254% increase in activity from a linux trojan called xorddos."
Sentence 2,"first discovered in 2014 by the research group malwaremustdie, xorddos was named after its denial-of-service-related activities on linux endpoints and servers as well as its usage of xor-based encryption for its communications."
Sentence 3,"xorddos depicts the trend of malware increasingly targeting linux-based operating systems, which are commonly deployed on cloud infrastructures and internet of things (iot) devices."
Sentence 4,"by compromising iot and other internet-connected devices, xorddos amasses botnets that can be used to carry out distributed denial-of-service (ddos) attacks."
Sentence 5,"using a botnet to perform ddos attacks can potentially create significant disruptions, such as the 2.4 tbps ddos attack microsoft mitigated in august 2021. ddos attacks in and of themselves can be highly problematic for numerous reasons, but such attacks can also be used as cover to hide further malicious activities, like deploying malware and infiltrating target systems."
Sentence 6,"botnets can also be used to compromise other devices, and xorddos is known for using secure shell (ssh) brute force attacks to gain remote control on target devices."
Sentence 7,"ssh is one of the most common protocols in it infrastructures and enables encrypted communications over insecure networks for remote system administration purposes, making it an attractive vector for attackers."
Sentence 8,"once xorddos identifies valid ssh credentials, it uses root privileges to run a script that downloads and installs xorddos on the target device."
Sentence 9,xorddos uses evasion and persistence mechanisms that allow its operations to remain robust and stealthy.
Sentence 10,"its evasion capabilities include obfuscating the malware’s activities, evading rule-based detection mechanisms and hash-based malicious file lookup, as well as using anti-forensic techniques to break process tree-based analysis."
Sentence 11,we observed in recent campaigns that xorddos hides malicious activities from analysis by overwriting sensitive files with a null byte.
Sentence 12,it also includes various persistence mechanisms to support different linux distributions.
Sentence 13,a diagram depicting a typical attack flow for xorddos malware.
Sentence 14,the attacker communicates with a bot to ssh brute force a target device and download xorddos.
Sentence 15,the malware then performs several techniques for evasion and persistence before connecting with the attacker's c2 server to send data and receive commands.
Sentence 16,"figure 1. a typical attack vector for xorddos malware
"
Sentence 17,"
xorddos may further illustrate another trend observed in various platforms, in which malware is used to deliver other dangerous threats."
Sentence 18,"we found that devices first infected with xorddos were later infected with additional malware such as the tsunami backdoor, which further deploys the xmrig coin miner."
Sentence 19,"while we did not observe xorddos directly installing and distributing secondary payloads like tsunami, it’s possible that the trojan is leveraged as a vector for follow-on activities."
Sentence 20,"microsoft defender for endpoint protects against xorddos by detecting and remediating the trojan’s multi-stage, modular attacks throughout its entire attack chain and any potential follow-on activities on endpoints."
Sentence 21,"in this blog post, we detail our in-depth analysis of xorddos to help defenders understand its techniques and protect their networks from this stealthy malware."
Sentence 22,"this blog post covers the following topics:

initial access
xorddos payload analysis
detection evasion capabilities
persistence mechanisms
argument-based code-flow
malicious activity threads
ddos attack thread pool
defending against linux platform threats
detection details
hunting queries
indicators
initial access
xorddos propagates primarily via ssh brute force."
Sentence 23,it uses a malicious shell script to try various root credential combinations across thousands of servers until finding a match on a target linux device.
Sentence 24,"as a result, we see many failed sign-in attempts on devices successfully infected by the malware:

line chart depicting the increasing amount of failed sign-in attempts by a device infected by xorddos."
Sentence 25,"figure 2. failed sign-in attempts on a device affected by xorddos
"
Sentence 26,"
our analysis determined two of xorddos’ methods for initial access."
Sentence 27,the first method involves copying a malicious elf file to temporary file storage /dev/shm and then running it.
Sentence 28,"files written at /dev/shm are deleted during system restart, thus concealing the source of infection during forensic analysis."
Sentence 29,"the second method involves running a bash script that performs the following activities via the command line:

iterates the following folders to find a writable directory:
/bin
/home
/root
/tmp
/usr
/etc
if a writable directory is found, changes the working directory to the discovered writable directory."
Sentence 30,uses the curl command to download the elf file payload from the remote location hxxp://ipv4pii_777789ffaa5b68638cdaea8ecfa10b24b326ed7d/1[.
Sentence 31,]txt and saves the file as  ygljglkjgfg0.
Sentence 32,changes the file mode to “executable”.
Sentence 33,runs the elf file payload.
Sentence 34,moves and renames the wget binary to evade rule-based detections triggered by malicious usage of the wget binary.
Sentence 35,"in this case, it renames the wget binary to good and moves the file to the following locations:
mv /usr/bin/wget /usr/bin/good
mv /bin/wget /bin/good
attempts to download the elf file payload for a second time, now only using the file good and not the wget binary."
Sentence 36,"after running the elf file, uses an anti-forensic technique that hides its past activity by overwriting the content of the following sensitive files with a newline character:
sensitive file	description
/root/.bash_history	contains the commands that were run earlier
/var/log/wtmp	contains login related record for users
/var/log/btmp	contains record of failed login attempt
/var/log/lastlog	contains the recent login information for users
/var/log/secure	contains information related to security such as logs for authentication failure, sudo logins, and authorization privileges
/var/log/boot.log	contains information related to system boot and message logged via system startup processes
/var/log/cron	contains information related to cron job launch, success and failure error logs
/var/log/dmesg	contains information related to kernel ring buffer messages, hardware devices, drivers, etc."
Sentence 37,"/var/log/firewalld	contains logs related to firewall activities
/var/log/maillog	contains information related to a mail server running on the system
/var/log/messages	contains generic system activity messages
/var/log/spooler	contains messages from usenet
/var/log/syslog	contains generic system activity messages
/var/log/yum.log	contains the package logs related to installation\remove\update activities done via yum utility
screenshot of the remote bash script command used for initial access
figure 3. remote bash script command used for initial access
"
Sentence 38,"
whichever initial access method is used, the result is the same: the running of a malicious elf file, which is the xorddos malware."
Sentence 39,"in the next section, we do a deep dive into the xorddos payload."
Sentence 40,other xorddos variants that we recently saw in our investigations use this bash script installation method to either download or build its rootkit remotely.
Sentence 41,this installation method differentiates itself by matching the kernel build of the target device with the rootkit available on the attacker’s command and control (c2) server.
Sentence 42,a xorddos variant's attack chain where the malware checks if the rootkit that matches to the linux os version exists on its c2 server for download and installation on the affected device.
Sentence 43,"figure 4. xorddos variant attack flow
"
Sentence 44,"
after enumerating the target device, the script communicates with the attacker’s c2 server, and checks if a rootkit that matches the kernel build of the target device exists on the server."
Sentence 45,"if it finds an existing rootkit that matches with the target device, the script downloads the rootkit."
Sentence 46,"the following steps initiate the matching and downloading of the xorddos malware and rootkit:

the bash script gets the target device’s kernel-related information using the following sequence of commands and sends it to the attacker’s server:
lsmod with tail to get the list of loaded linux kernel modules
modinfo extracts the vermagic number, a string containing information such as the kernel version number and cpu type used by the kernel module to load into kernel space."
Sentence 47,the vermagic number is gathered from the listed kernel modules.
Sentence 48,the vermagic string is sent to the attacker’s server in encoded form.
Sentence 49,command section screenshot where vermagic string in the rootkit is seen.
Sentence 50,"figure 5. screenshot of the ‘modinfo’ command section that contains the ‘vermagic’ string in the rootkit
"
Sentence 51,"
if the rootkit binary specific to the kernel build exists on the server, it is downloaded along with the xorddos elf as a compressed .tar file."
Sentence 52,the .tar file is further uncompressed in a new directory named after the string obtained by encoding the md5 hash of the vermagic string and created under the location /tmp on the target device.
Sentence 53,"after the .tar file is uncompressed, the xorddos elf malware installs the xorddos rootkit."
Sentence 54,"if the kernel build of the target device does not match any of the rootkits on the attacker’s server, the bash script initiates the following steps to build and compile the rootkit remotely:

the bash script prepares archived linux kernel headers in the /tmp directory."
Sentence 55,linux kernel headers are defining c-language public kernel apis and data structures to enable compilation of 3rd party kernel modules.
Sentence 56,the bash script downloads and launches the elf binary uploader in /tmp.
Sentence 57,this binary uses an http post request to upload the archived kernel headers to the attacker’s server.
Sentence 58,the elf binary removes the uploader component from /tmp to minimize xorddos’ footprint.
Sentence 59,the uploaded archived kernel headers are used on the c2 server to build and compile the rootkit component.
Sentence 60,"thus, the newly built rootkit component becomes available for download from the c2 server, also making it available for other future infections."
Sentence 61,"the bash script then initiates the prior set of steps to download and install the xorddos elf malware, which installs the rootkit into the target device."
Sentence 62,"xorddos payload analysis
the xorddos payload we analyzed for this research is a 32-bit elf file that was not stripped, meaning it contained debug symbols that detailed the malware’s dedicated code for each of its activities."
Sentence 63,"the inclusion of debug symbols makes it easier to debug and reverse engineer non-stripped binaries, as compared to stripped binaries that discard these symbols."
Sentence 64,"in this case, the non-stripped binary includes the following source-code file names associated with the symbol table entries as part of the .strtab section in the elf file:

crtstuff.c
autorun.c
crc32.c
encrypt.c
execpacket.c
buildnet.c
hide.c
http.c
kill.c
main.c
proc.c
socket.c
tcp.c
thread.c
findip.c
dns.c
the above list of source-code file names indicate that the binary is programmed in c/c++ and that its code is modular."
Sentence 65,"detection evasion capabilities
xorddos contains modules with specific functionalities to evade detection, as detailed below."
Sentence 66,"daemon processes

a daemon process is a process that runs in the background rather than under the control of users and detaches itself from the controlling terminal, terminating only when the system is shut down."
Sentence 67,"similar to some linux malware families, the xorddos trojan uses daemon processes, as detailed below, to break process tree-based analysis:

the malware calls the subroutine daemon(__nochdir, __noclose) to set itself as a background daemon process, which internally calls fork() and setsid()."
Sentence 68,the fork() api creates a new child process with the same process group-id as the calling process.
