text,type,weight
/boot,file,1
/boot/auqrvglpdz,file,2
/boot/awroivjpkx,file,2
/boot/bkrlffbdxs,file,2
/boot/bsthdzgvmt,file,2
/boot/bsuztxmack,file,2
/boot/bthcxsfqan,file,2
/boot/btiipgrbod,file,2
/boot/bxzcujmwuj,file,2
/boot/culylmxbnn,file,2
/boot/cuzvqbtvfd,file,2
/boot/dczbbqscrr,file,2
/boot/devawlqrit,file,2
/boot/dgbfmcdgie,file,2
/boot/eirlnrbbue,file,2
/boot/fgqxqatvys,file,2
/boot/frdsmulhvu,file,2
/boot/ftrnncnlir,file,2
/boot/fykepenmvn,file,2
/boot/fzmicupinj,file,2
/boot/gvqambdbei,file,2
/boot/gzouwclwnr,file,2
/boot/hbzgcgpgrl,file,2
/boot/hlgpkoezsl,file,2
/boot/hucenabudx,file,2
/boot/iphpevdezt,file,2
/boot/iswqwsprgu,file,2
/boot/ixfnusqrgg,file,2
/boot/jpyqhyfzey,file,2
/boot/kfiegjyafw,file,2
/boot/kfsglskbdb,file,2
/boot/kkxlhyzfmp,file,2
/boot/ksatflruxo,file,2
/boot/ksxexbvwow,file,2
/boot/kyjfilcrnq,file,2
/boot/lgwpwkxyat,file,2
/boot/ljmsrriafj,file,2
/boot/lwhpfsdftn,file,2
/boot/lwiovnycak,file,2
/boot/lxwrjfjxtp,file,2
/boot/lydfnrjaxp,file,2
/boot/mfpmkpexoo,file,2
/boot/mmyypjufxq,file,2
/boot/nkoyupuxpx,file,2
/boot/ogyujgrviy,file,2
/boot/pxqgyrrbzu,file,2
/boot/pyaqircmpc,file,2
/boot/pydamssrzt,file,2
/boot/pzjfoxtpmb,file,2
/boot/qizzmavgpl,file,2
/boot/qnztnkzxje,file,2
/boot/qrwzvycybx,file,2
/boot/rjvpbnmhxl,file,2
/boot/rsztkcqmag,file,2
/boot/surblktlmj,file,2
/boot/tljpweugni,file,2
/boot/vxcezwunnx,file,2
/boot/xcyyuwgxmx,file,2
/boot/yekbvdwwsw,file,2
/boot/yterrxdnqm,file,2
/boot/zdmysrquou,file,2
/boot/zqghiflwfw,file,2
/etc/cron.hourly/cron.sh,file,2
/etc/crontab,file,2
/etc/init.d/kyjfilcrnq,file,2
/etc/rc.d/rc1.d/S90kyjfilcrnq,file,2
/etc/rc.d/rc2.d/S90kyjfilcrnq,file,2
/etc/rc.d/rc3.d/S90kyjfilcrnq,file,2
/etc/rc.d/rc4.d/S90kyjfilcrnq,file,2
/etc/rc.d/rc5.d/S90kyjfilcrnq,file,2
/etc/rc1.d/S90kyjfilcrnq,file,2
/etc/rc2.d/S90kyjfilcrnq,file,2
/etc/rc3.d/S90kyjfilcrnq,file,2
/etc/rc4.d/S90kyjfilcrnq,file,2
/etc/rc5.d/S90kyjfilcrnq,file,2
/lib,file,1
/lib/udev,file,1
/lib/udev/udev,file,2
/proc/1521/exe,file,1
/proc/rs_dev,file,2
/proc/self/exe,file,1
/proc/stat,file,1
/var,file,1
/var/run,file,1
/var/run/sftp.pid,file,1
0.0.0.0:80,net,2
0.0.0.0:8005,net,2
103.240.141.50:8005,net,2
103.25.9.228:53,net,2
103.25.9.245:8005,net,2
66.102.253.30:8005,net,2
8.8.8.8:53,net,2
uname,other,1
