text,type,weight
/boot,file,1
/boot/bgwsfecuwh,file,2
/boot/bkopojlfsh,file,2
/boot/btezehnylk,file,2
/boot/bwtfvdrdma,file,2
/boot/cdhougjxef,file,2
/boot/ckqraqhxix,file,2
/boot/cmbiopurlb,file,2
/boot/cxzpmtkzxk,file,2
/boot/czsdkwiykz,file,2
/boot/dntqapxvrw,file,2
/boot/dudmzrawgx,file,2
/boot/efergdovor,file,2
/boot/emuezheolq,file,2
/boot/ewsiyznvak,file,2
/boot/fawerudqwu,file,2
/boot/fhsvxgvpmp,file,2
/boot/fvmcmymavz,file,2
/boot/garriwwlsj,file,2
/boot/gferbymhrk,file,2
/boot/gikicsdiyu,file,2
/boot/hvyigusnrl,file,2
/boot/ibzanuwzyw,file,2
/boot/ifqrnzcyzh,file,2
/boot/immgccszra,file,2
/boot/itghglcqfh,file,2
/boot/jegvxmxypr,file,2
/boot/jgkegbdtxe,file,2
/boot/jitgfbcayl,file,2
/boot/jjhlxtfhgy,file,2
/boot/jmpskkmcns,file,2
/boot/juwuxfdddq,file,2
/boot/lhyyklratp,file,2
/boot/megudmvevu,file,2
/boot/mjggzylqbr,file,2
/boot/mvumjofhnz,file,2
/boot/nrrzldzltt,file,2
/boot/ofrzvubixl,file,2
/boot/oifooogxqz,file,2
/boot/oifyztxxcy,file,2
/boot/olvqxbqjnn,file,2
/boot/osrvutglza,file,2
/boot/pdylqykphk,file,2
/boot/puadmqbkrz,file,2
/boot/puczyckdjc,file,2
/boot/qvahufgtuk,file,2
/boot/reumzkfirb,file,2
/boot/rtzbdwwevb,file,2
/boot/siaksvdxji,file,2
/boot/sslmyfkjsh,file,2
/boot/uohtoqwwkj,file,2
/boot/usslmglzqw,file,2
/boot/wlfzqwriki,file,2
/boot/xcivtbedca,file,2
/boot/xkykncxiss,file,2
/boot/xxrhzzmgdj,file,2
/boot/yspedmmafg,file,2
/boot/yvkrgemuxx,file,2
/boot/ywccrtujgr,file,2
/boot/zezzprdkgx,file,2
/boot/zoetyelqfq,file,2
/boot/zxucinyhyz,file,2
/etc/cron.hourly/cron.sh,file,2
/etc/crontab,file,2
/etc/init.d/puadmqbkrz,file,2
/etc/rc.d/rc1.d/S90puadmqbkrz,file,2
/etc/rc.d/rc2.d/S90puadmqbkrz,file,2
/etc/rc.d/rc3.d/S90puadmqbkrz,file,2
/etc/rc.d/rc4.d/S90puadmqbkrz,file,2
/etc/rc.d/rc5.d/S90puadmqbkrz,file,2
/etc/rc1.d/S90puadmqbkrz,file,2
/etc/rc2.d/S90puadmqbkrz,file,2
/etc/rc3.d/S90puadmqbkrz,file,2
/etc/rc4.d/S90puadmqbkrz,file,2
/etc/rc5.d/S90puadmqbkrz,file,2
/lib,file,1
/lib/udev,file,1
/lib/udev/udev,file,2
/proc/1507/exe,file,1
/proc/rs_dev,file,2
/proc/self/exe,file,1
/proc/stat,file,1
/var,file,1
/var/run,file,1
/var/run/sftp.pid,file,1
0.0.0.0:80,net,2
0.0.0.0:8005,net,2
103.240.141.50:8005,net,2
103.25.9.228:53,net,2
103.25.9.245:8005,net,2
66.102.253.30:8005,net,2
8.8.8.8:53,net,2
uname,other,1
