text,type,weight
/bin,file,1
/bin/akyvhbgoqv,file,1
/bin/arzalymtlw,file,1
/bin/bddnemwuom,file,1
/bin/brldyojugp,file,1
/bin/ddknvwvkck,file,1
/bin/dnkejwlscl,file,1
/bin/dnpqschlsj,file,1
/bin/dscprqgttd,file,1
/bin/efzzlawwqc,file,1
/bin/fxnqypewsp,file,1
/bin/hgiazdmqau,file,1
/bin/hqbpqkngxr,file,1
/bin/hwhnbruqpg,file,1
/bin/hyqzsujsxg,file,1
/bin/iyrplavsdq,file,1
/bin/khsmwpofol,file,1
/bin/ksiykkrgtz,file,1
/bin/laikmxkast,file,1
/bin/lykimcovjo,file,1
/bin/lzgsqhnafo,file,1
/bin/mzmxxrdfyc,file,1
/bin/nkhrggyvqp,file,1
/bin/nmolmudbez,file,1
/bin/nmsxraznxb,file,1
/bin/nxbklkzcva,file,1
/bin/nyukklyrhb,file,1
/bin/nzvagvauqw,file,1
/bin/ofxjpdvjzr,file,1
/bin/onzcmptego,file,1
/bin/ordiwmwhig,file,1
/bin/orzyfjgjzc,file,1
/bin/oxjjkgritl,file,1
/bin/pdorjuztbn,file,1
/bin/pmlgwtugbh,file,1
/bin/puvvrlhvzb,file,1
/bin/qkzdsredds,file,1
/bin/rkcncuaisz,file,1
/bin/rmjuikvvnj,file,1
/bin/rvtejhfyoh,file,1
/bin/rwxsiartin,file,1
/bin/tcecavhzdv,file,1
/bin/tcyfcgkcir,file,1
/bin/tvbpghggfr,file,1
/bin/uakgbaxaco,file,1
/bin/uorowlfywp,file,1
/bin/uwpopnqwrw,file,1
/bin/vaivajvzdi,file,1
/bin/vjuzuwmfyt,file,1
/bin/vtaeewpssy,file,1
/bin/xfbnsoimgv,file,1
/bin/xgtmloubto,file,1
/bin/ykokmzthvh,file,1
/bin/yxqahtnarj,file,1
/bin/yyiyjljuoy,file,1
/bin/yysogqxbbz,file,1
/bin/zfpewndaew,file,1
/bin/zgyujjwgcn,file,1
/bin/zqncnsluxd,file,1
/bin/zsayfkkppo,file,1
/bin/zxmgaxgoud,file,1
/etc/cron.hourly/gcc4.sh,file,2
/etc/crontab,file,2
/etc/init.d/szpwjccxbz,file,2
/etc/rc.d/rc1.d/S90szpwjccxbz,file,2
/etc/rc.d/rc2.d/S90szpwjccxbz,file,2
/etc/rc.d/rc3.d/S90szpwjccxbz,file,2
/etc/rc.d/rc4.d/S90szpwjccxbz,file,2
/etc/rc.d/rc5.d/S90szpwjccxbz,file,2
/etc/rc1.d/S90szpwjccxbz,file,2
/etc/rc2.d/S90szpwjccxbz,file,2
/etc/rc3.d/S90szpwjccxbz,file,2
/etc/rc4.d/S90szpwjccxbz,file,2
/etc/rc5.d/S90szpwjccxbz,file,2
/lib,file,1
/lib/libudev4.so,file,2
/proc/1513/exe,file,1
/proc/self/exe,file,1
