text,type,weight
/bin,file,1
/bin/avjuvqsrah,file,1
/bin/bueedmnrjv,file,1
/bin/cgjkrlhwle,file,1
/bin/cjtxvhcdwy,file,1
/bin/dmrcgbaprc,file,1
/bin/dxylnxqxbv,file,1
/bin/eleebbmdqh,file,1
/bin/epniefkbhz,file,1
/bin/fzjzcyrtro,file,1
/bin/gafbdrqkev,file,1
/bin/grqhvoguqb,file,1
/bin/gsxmqcynfk,file,1
/bin/gtngyvqpyl,file,1
/bin/gxkkivmjpd,file,1
/bin/ikmqyemupd,file,1
/bin/kiejbzxvdx,file,1
/bin/ljkvvqwikg,file,1
/bin/mebqnybkzr,file,1
/bin/mrkrgujysf,file,1
/bin/ncgfeqfria,file,1
/bin/nfbmiepwsk,file,1
/bin/nlawilxfld,file,1
/bin/nqompjvasm,file,1
/bin/obzxfkjmlr,file,1
/bin/ohllknmogr,file,1
/bin/ojbezksded,file,1
/bin/oncaovsaim,file,1
/bin/opjufgsrvu,file,1
/bin/opsljmgqrn,file,1
/bin/osbldicohf,file,1
/bin/owbydsacpv,file,1
/bin/ozufzrramx,file,1
/bin/peomnovgpy,file,1
/bin/pezvekexon,file,1
/bin/qeovazartk,file,1
/bin/qgdfeiefpd,file,1
/bin/qxlphuefkc,file,1
/bin/rdcciljilc,file,1
/bin/rddgxmbhwf,file,1
/bin/ruzvomkppn,file,1
/bin/rvyzadwess,file,1
/bin/rxsyjqdbft,file,1
/bin/shbysypwrw,file,1
/bin/sjnjurgfao,file,1
/bin/sqopwksoeh,file,1
/bin/szfhjmrmhi,file,1
/bin/tgwsupotvn,file,1
/bin/tnxdgvmgyd,file,1
/bin/uddhkfvlbb,file,1
/bin/uierctxfmx,file,1
/bin/uqbtvxcpyj,file,1
/bin/uqivyoflhw,file,1
/bin/vegeocxfnh,file,1
/bin/wjddveecoh,file,1
/bin/wqpoposvvg,file,1
/bin/xbdkdwqmwc,file,1
/bin/yhjkukddyt,file,1
/bin/yxxusxytqj,file,1
/bin/zafgiaztiz,file,1
/bin/zjagjxqsdn,file,1
/etc/cron.hourly/gcc4.sh,file,2
/etc/crontab,file,2
/etc/init.d/bcytppakzr,file,2
/etc/rc.d/rc1.d/S90bcytppakzr,file,2
/etc/rc.d/rc2.d/S90bcytppakzr,file,2
/etc/rc.d/rc3.d/S90bcytppakzr,file,2
/etc/rc.d/rc4.d/S90bcytppakzr,file,2
/etc/rc.d/rc5.d/S90bcytppakzr,file,2
/etc/rc1.d/S90bcytppakzr,file,2
/etc/rc2.d/S90bcytppakzr,file,2
