text,type,weight
/bin,file,1
/bin/aaznxxxuss,file,1
/bin/bsobbrdogo,file,1
/bin/bzxmmwmupw,file,1
/bin/cjuekoehkd,file,1
/bin/cnexfmcujj,file,1
/bin/cqxuwcpwsq,file,1
/bin/doglfkfhwc,file,1
/bin/efviybtwbl,file,1
/bin/elextvpugf,file,1
/bin/espwtrvnfr,file,1
/bin/evggfvmsaz,file,1
/bin/ezbfoqlgft,file,1
/bin/fgjmgmszxx,file,1
/bin/fxvrbcimur,file,1
/bin/gequtqynzz,file,1
/bin/gmeewnpsxh,file,1
/bin/gormepxpfc,file,1
/bin/grmgksxpke,file,1
/bin/hioatxmgfc,file,1
/bin/hklproiqse,file,1
/bin/ignrhavbyr,file,1
/bin/itcininmgz,file,1
/bin/jmsmtvejqh,file,1
/bin/jnuvvayadh,file,1
/bin/juknrecazh,file,1
/bin/jvgdheberq,file,1
/bin/kftsbxiusr,file,1
/bin/kpolxubucc,file,1
/bin/kqreyamdmc,file,1
/bin/maghnpbmzr,file,1
/bin/mrxlvaiojo,file,1
/bin/munqfnylrb,file,1
/bin/mvtkqughvm,file,1
/bin/nerhccbtef,file,1
/bin/nxqgxznimf,file,1
/bin/oajpgtxfxa,file,1
/bin/ocezhwraxu,file,1
/bin/ocjssabhcy,file,1
/bin/ofvugpyhfm,file,1
/bin/owhqfonnde,file,1
/bin/pjghosimvy,file,1
/bin/qrfifgnhrw,file,1
/bin/qudpchaknx,file,1
/bin/rjrwmrxbdp,file,1
/bin/rtttdewfkd,file,1
/bin/rvqaxubczb,file,1
/bin/sphzqhwgys,file,1
/bin/sxedhstsoq,file,1
/bin/syqcdgtysl,file,1
/bin/uliegpsnrl,file,1
/bin/utxmezwykx,file,1
/bin/vawoluzqde,file,1
/bin/vnbhptpqva,file,1
/bin/vssugmktmv,file,1
/bin/xjfxlbohlj,file,1
/bin/xqtdrhntyn,file,1
/bin/xrcdlyatgt,file,1
/bin/xxkioqnwhv,file,1
/bin/zsagjbugte,file,1
/bin/zsknthujfp,file,1
/etc/cron.hourly/gcc4.sh,file,2
/etc/crontab,file,2
/etc/init.d/jbcocmyinu,file,2
/etc/rc.d/rc1.d/S90jbcocmyinu,file,2
/etc/rc.d/rc2.d/S90jbcocmyinu,file,2
/etc/rc.d/rc3.d/S90jbcocmyinu,file,2
/etc/rc.d/rc4.d/S90jbcocmyinu,file,2
/etc/rc.d/rc5.d/S90jbcocmyinu,file,2
/etc/rc1.d/S90jbcocmyinu,file,2
/etc/rc2.d/S90jbcocmyinu,file,2
/etc/rc3.d/S90jbcocmyinu,file,2
/etc/rc4.d/S90jbcocmyinu,file,2
/etc/rc5.d/S90jbcocmyinu,file,2
/lib,file,1
/lib/libudev4.so,file,2
/proc/1515/exe,file,1
/proc/self/exe,file,1
/proc/stat,file,1
/tmp,file,1
/tmp/aaznxxxuss,file,1
/tmp/bsobbrdogo,file,1
/tmp/bzxmmwmupw,file,1
/tmp/cjuekoehkd,file,1
/tmp/cnexfmcujj,file,1
/tmp/cqxuwcpwsq,file,1
/tmp/doglfkfhwc,file,1
/tmp/efviybtwbl,file,1
/tmp/elextvpugf,file,1
/tmp/espwtrvnfr,file,1
/tmp/evggfvmsaz,file,1
/tmp/ezbfoqlgft,file,1
/tmp/fgjmgmszxx,file,1
/tmp/fxvrbcimur,file,1
/tmp/gequtqynzz,file,1
/tmp/gmeewnpsxh,file,1
/tmp/gormepxpfc,file,1
/tmp/grmgksxpke,file,1
/tmp/hioatxmgfc,file,1
/tmp/hklproiqse,file,1
/tmp/ignrhavbyr,file,1
/tmp/itcininmgz,file,1
/tmp/jmsmtvejqh,file,1
/tmp/jnuvvayadh,file,1
/tmp/juknrecazh,file,1
/tmp/jvgdheberq,file,1
/tmp/kftsbxiusr,file,1
/tmp/kpolxubucc,file,1
/tmp/kqreyamdmc,file,1
/tmp/maghnpbmzr,file,1
/tmp/mrxlvaiojo,file,1
/tmp/munqfnylrb,file,1
/tmp/mvtkqughvm,file,1
/tmp/nerhccbtef,file,1
/tmp/nxqgxznimf,file,1
/tmp/oajpgtxfxa,file,1
/tmp/ocezhwraxu,file,1
/tmp/ocjssabhcy,file,1
/tmp/ofvugpyhfm,file,1
/tmp/owhqfonnde,file,1
/tmp/pjghosimvy,file,1
/tmp/qrfifgnhrw,file,1
/tmp/qudpchaknx,file,1
/tmp/rjrwmrxbdp,file,1
/tmp/rtttdewfkd,file,1
/tmp/rvqaxubczb,file,1
/tmp/sphzqhwgys,file,1
/tmp/sxedhstsoq,file,1
/tmp/syqcdgtysl,file,1
/tmp/uliegpsnrl,file,1
/tmp/utxmezwykx,file,1
/tmp/vawoluzqde,file,1
/tmp/vnbhptpqva,file,1
/tmp/vssugmktmv,file,1
/tmp/xjfxlbohlj,file,1
/tmp/xqtdrhntyn,file,1
/tmp/xrcdlyatgt,file,1
/tmp/xxkioqnwhv,file,1
/tmp/zsagjbugte,file,1
/tmp/zsknthujfp,file,1
/usr,file,1
/usr/bin,file,1
/usr/bin/aaznxxxuss,file,2
/usr/bin/bsobbrdogo,file,2
/usr/bin/bzxmmwmupw,file,2
/usr/bin/cjuekoehkd,file,2
/usr/bin/cnexfmcujj,file,2
/usr/bin/cqxuwcpwsq,file,2
/usr/bin/doglfkfhwc,file,2
/usr/bin/efviybtwbl,file,2
/usr/bin/elextvpugf,file,2
/usr/bin/espwtrvnfr,file,2
/usr/bin/evggfvmsaz,file,2
/usr/bin/ezbfoqlgft,file,2
/usr/bin/fgjmgmszxx,file,2
/usr/bin/fxvrbcimur,file,2
/usr/bin/gequtqynzz,file,2
/usr/bin/gmeewnpsxh,file,2
/usr/bin/gormepxpfc,file,2
/usr/bin/grmgksxpke,file,2
/usr/bin/hioatxmgfc,file,2
/usr/bin/hklproiqse,file,2
/usr/bin/ignrhavbyr,file,2
/usr/bin/itcininmgz,file,2
/usr/bin/jbcocmyinu,file,2
/usr/bin/jmsmtvejqh,file,2
/usr/bin/jnuvvayadh,file,2
/usr/bin/juknrecazh,file,2
/usr/bin/jvgdheberq,file,2
/usr/bin/kftsbxiusr,file,2
/usr/bin/kpolxubucc,file,2
/usr/bin/kqreyamdmc,file,2
/usr/bin/maghnpbmzr,file,2
/usr/bin/mrxlvaiojo,file,2
/usr/bin/munqfnylrb,file,2
/usr/bin/mvtkqughvm,file,2
/usr/bin/nerhccbtef,file,2
/usr/bin/nxqgxznimf,file,2
/usr/bin/oajpgtxfxa,file,2
/usr/bin/ocezhwraxu,file,2
/usr/bin/ocjssabhcy,file,2
/usr/bin/ofvugpyhfm,file,2
/usr/bin/owhqfonnde,file,2
/usr/bin/pjghosimvy,file,2
/usr/bin/qrfifgnhrw,file,2
/usr/bin/qudpchaknx,file,2
/usr/bin/rjrwmrxbdp,file,2
/usr/bin/rtttdewfkd,file,2
/usr/bin/rvqaxubczb,file,2
/usr/bin/sphzqhwgys,file,2
/usr/bin/sxedhstsoq,file,2
/usr/bin/syqcdgtysl,file,2
/usr/bin/uliegpsnrl,file,2
/usr/bin/utxmezwykx,file,2
/usr/bin/vawoluzqde,file,2
/usr/bin/vnbhptpqva,file,2
/usr/bin/vssugmktmv,file,2
/usr/bin/xjfxlbohlj,file,2
/usr/bin/xqtdrhntyn,file,2
