text,type,weight
/boot,file,1
/boot/aimxscnxph,file,2
/boot/anzzkrxtdb,file,2
/boot/beqminucub,file,2
/boot/bhwbhqbqcj,file,2
/boot/bxcaontbyd,file,2
/boot/cevpdbojwi,file,2
/boot/cewvunlnrt,file,2
/boot/clwwlucgcu,file,2
/boot/dfrzfbszjr,file,2
/boot/dgnuwuzkav,file,2
/boot/dmfjoovnsp,file,2
/boot/dmgswaaogb,file,2
/boot/eadmgdqqll,file,2
/boot/eoadrowgro,file,2
/boot/fjageacmzv,file,2
/boot/gfwueldjhr,file,2
/boot/glwwlcevzg,file,2
/boot/gmrlwfutfh,file,2
/boot/gpdyrppoaa,file,2
/boot/hcgpxutbvl,file,2
/boot/htubwhzuam,file,2
/boot/hxmnftetny,file,2
/boot/idmeqsmuvu,file,2
/boot/imihpbnzqx,file,2
/boot/inqmdgbqpj,file,2
/boot/isvlapcaov,file,2
/boot/jaknexrnua,file,2
/boot/jxwjfshhbn,file,2
/boot/khfzoaqmeq,file,2
/boot/liujwsfxvl,file,2
/boot/llcyhjqifi,file,2
/boot/lpnbavgxsd,file,2
/boot/lygqkidnym,file,2
/boot/meacedomlu,file,2
/boot/mhdlvccxud,file,2
/boot/nfbotptylp,file,2
/boot/ngeeubiawh,file,2
/boot/onnlgjmmvf,file,2
/boot/pggnvrrfzu,file,2
/boot/quldfjrbvr,file,2
/boot/rjxjswqdih,file,2
/boot/rvldlazbti,file,2
/boot/shsrkaqotd,file,2
/boot/slzdmhnkjt,file,2
/boot/swdbotoqgx,file,2
/boot/tbtfndegvj,file,2
/boot/thnkikvwoa,file,2
/boot/tzupyyvzbi,file,2
/boot/uejahngahe,file,2
/boot/urhcrucaps,file,2
/boot/vehgwmhaxb,file,2
/boot/vvokhmxyct,file,2
/boot/wgfxuvpbmn,file,2
/boot/woudbeqeca,file,2
/boot/wpmqqqhutv,file,2
/boot/xigwgsmnlj,file,2
/boot/xpesmqrgjl,file,2
/boot/xqhhrulqkd,file,2
/boot/yxiwevsvmw,file,2
/boot/zesexvptsn,file,2
/boot/zjphtmyhym,file,2
/etc/cron.hourly/cron.sh,file,2
/etc/crontab,file,2
/etc/init.d/glwwlcevzg,file,2
/etc/rc.d/rc1.d/S90glwwlcevzg,file,2
/etc/rc.d/rc2.d/S90glwwlcevzg,file,2
/etc/rc.d/rc3.d/S90glwwlcevzg,file,2
/etc/rc.d/rc4.d/S90glwwlcevzg,file,2
/etc/rc.d/rc5.d/S90glwwlcevzg,file,2
/etc/rc1.d/S90glwwlcevzg,file,2
/etc/rc2.d/S90glwwlcevzg,file,2
/etc/rc3.d/S90glwwlcevzg,file,2
/etc/rc4.d/S90glwwlcevzg,file,2
/etc/rc5.d/S90glwwlcevzg,file,2
/lib,file,1
/lib/udev,file,1
/lib/udev/udev,file,2
/proc/1529/exe,file,1
/proc/rs_dev,file,2
/proc/self/exe,file,1
/proc/stat,file,1
/var,file,1
/var/run,file,1
/var/run/sftp.pid,file,1
0.0.0.0:80,net,2
0.0.0.0:8005,net,2
103.240.141.50:8005,net,2
103.25.9.228:53,net,2
103.25.9.245:8005,net,2
66.102.253.30:8005,net,2
8.8.8.8:53,net,2
uname,other,1
