report,regex,matched word,sentence number,sentence
Xorddos-Cdnetworks,UID,"guide,",5,"in many ways it is and in this guide, we will provide an analysis of xor.ddos and how to counteract it."
Xorddos-Intezer,"permission:{0,1}[0-9]{0,4}","permission,",36,"the file’s data used in both functions are: path, name, type, user, permission, size, time."
Xorddos-Intezer,UID,uid,41,figure 3: similarity between pwnlnx and redxor of the uid and gid used with “lchown” function call
Xorddos-Intezer,GID,gid,41,figure 3: similarity between pwnlnx and redxor of the uid and gid used with “lchown” function call
Xorddos-Intezer,/etc/rc,/etc/rc2.d/s99po1kitd-update,65,"the following files are created after executing the malware on boot:
/usr/syno/etc/rc.d/s99po1kitd-update.sh
/etc/init.d/po1kitd-update
/etc/rc2.d/s99po1kitd-update
the malware checks if the rootkit is active by creating a file and removing it."
Xorddos-Intezer,/etc/init.d/,/etc/init.d/po1kitd-update,65,"the following files are created after executing the malware on boot:
/usr/syno/etc/rc.d/s99po1kitd-update.sh
/etc/init.d/po1kitd-update
/etc/rc2.d/s99po1kitd-update
the malware checks if the rootkit is active by creating a file and removing it."
Xorddos-Intezer,/proc/,/proc/meminfo,110,"table 2: data collected by the malware and sent back to the c2 server
url key	description	comment
hostip	ip	hardcoded to 127.0.0.1
softtype		hardcoded to “linux”
pscaddr	mac address	
hostname	machine name	
hosttar	username	possibly “host target”
hostos	distribution	extracted from /etc/issue or /etc/redhat-release
hostcpu	clock speed	/proc/cpuinfo
hostmem	amount of memory	/proc/meminfo
hostpack		hardcoded to “linux”
lkmtag	is rootkit enabled	
kernel	kernel version	extracted from unamefigure 12 shows the communication between redxor and the c2."
Xorddos-Intezer,"\d{1,3}\.\d{1,3}\.\d{1,3}\.\d{1,3}",127.0.0.1,110,"table 2: data collected by the malware and sent back to the c2 server
url key	description	comment
hostip	ip	hardcoded to 127.0.0.1
softtype		hardcoded to “linux”
pscaddr	mac address	
hostname	machine name	
hosttar	username	possibly “host target”
hostos	distribution	extracted from /etc/issue or /etc/redhat-release
hostcpu	clock speed	/proc/cpuinfo
hostmem	amount of memory	/proc/meminfo
hostpack		hardcoded to “linux”
lkmtag	is rootkit enabled	
kernel	kernel version	extracted from unamefigure 12 shows the communication between redxor and the c2."
Xorddos-Intezer,bin/,“/bin/sh”.,125,"if a shell is requested via the command code 3000, the malware creates a new thread executing “/bin/sh”."
Xorddos-Intezer,bin/,pty;pty.spawn(‘/bin/sh’)”,126,"in the new spawned shell, the malware executes python -c “import pty;pty.spawn(‘/bin/sh’)” to get a pseudo-terminal (pty) interface."
Xorddos-Intezer,"\d{1,3}\.\d{1,3}\.\d{1,3}\.\d{1,3}",34.92.228.216,148,"network
update.cloudjscdn.com 158.247.208.230 34.92.228.216
process name
po1kitd-update-k"
Xorddos-Microsoft,bin/,/bin/good,35,"in this case, it renames the wget binary to good and moves the file to the following locations:
mv /usr/bin/wget /usr/bin/good
mv /bin/wget /bin/good
attempts to download the elf file payload for a second time, now only using the file good and not the wget binary."
Xorddos-Microsoft,bin/,/bin/,85,"encrypted strings	decoded value
m7a4nq_/na	/usr/bin/
m [(n3	/bin/
m6_6n3	/tmp/
m4s4nac/n&zv\x1aa/tb	/var/run/gcc.pid
m.[$n__#4%\c\x1ab]0	/lib/libudev.so
m.[$n3	/lib/
m4s4nac/na	/var/run/
!#ff3ve.-7\x17v[_	cat resolv.conf
<encrypted_remote_url>	hxxp://aa.hostasa[."
