report,regex,matched word,sentence number,sentence
Xorddos-Intezer,UID(\$|\.|$),uid,41,figure 3: similarity between pwnlnx and redxor of the uid and gid used with “lchown” function call
Xorddos-Intezer,GID(\$|\.|$),gid,41,figure 3: similarity between pwnlnx and redxor of the uid and gid used with “lchown” function call
Xorddos-Intezer,/etc/rc,/etc/rc2.d/s99po1kitd-update,65,"the following files are created after executing the malware on boot:
/usr/syno/etc/rc.d/s99po1kitd-update.sh
/etc/init.d/po1kitd-update
/etc/rc2.d/s99po1kitd-update
the malware checks if the rootkit is active by creating a file and removing it."
Xorddos-Intezer,/etc/init.d/,/etc/init.d/po1kitd-update,65,"the following files are created after executing the malware on boot:
/usr/syno/etc/rc.d/s99po1kitd-update.sh
/etc/init.d/po1kitd-update
/etc/rc2.d/s99po1kitd-update
the malware checks if the rootkit is active by creating a file and removing it."
Xorddos-Intezer,/proc/,/proc/meminfo,110,"table 2: data collected by the malware and sent back to the c2 server
url key	description	comment
hostip	ip	hardcoded to 127.0.0.1
softtype		hardcoded to “linux”
pscaddr	mac address	
hostname	machine name	
hosttar	username	possibly “host target”
hostos	distribution	extracted from /etc/issue or /etc/redhat-release
hostcpu	clock speed	/proc/cpuinfo
hostmem	amount of memory	/proc/meminfo
hostpack		hardcoded to “linux”
lkmtag	is rootkit enabled	
kernel	kernel version	extracted from unamefigure 12 shows the communication between redxor and the c2."
Xorddos-Intezer,"\d{1,3}\.\d{1,3}\.\d{1,3}\.\d{1,3}",127.0.0.1,110,"table 2: data collected by the malware and sent back to the c2 server
url key	description	comment
hostip	ip	hardcoded to 127.0.0.1
softtype		hardcoded to “linux”
pscaddr	mac address	
hostname	machine name	
hosttar	username	possibly “host target”
hostos	distribution	extracted from /etc/issue or /etc/redhat-release
hostcpu	clock speed	/proc/cpuinfo
hostmem	amount of memory	/proc/meminfo
hostpack		hardcoded to “linux”
lkmtag	is rootkit enabled	
kernel	kernel version	extracted from unamefigure 12 shows the communication between redxor and the c2."
Xorddos-Intezer,"\d{1,3}\.\d{1,3}\.\d{1,3}\.\d{1,3}",34.92.228.216,148,"network
update.cloudjscdn.com 158.247.208.230 34.92.228.216
process name
po1kitd-update-k"
Xorddos-Microsoft,/var/,/var/log/dmesg,36,"after running the elf file, uses an anti-forensic technique that hides its past activity by overwriting the content of the following sensitive files with a newline character:
sensitive file	description
/root/.bash_history	contains the commands that were run earlier
/var/log/wtmp	contains login related record for users
/var/log/btmp	contains record of failed login attempt
/var/log/lastlog	contains the recent login information for users
/var/log/secure	contains information related to security such as logs for authentication failure, sudo logins, and authorization privileges
/var/log/boot.log	contains information related to system boot and message logged via system startup processes
/var/log/cron	contains information related to cron job launch, success and failure error logs
/var/log/dmesg	contains information related to kernel ring buffer messages, hardware devices, drivers, etc."
Xorddos-Microsoft,/var/,/var/log/yum.log,37,"/var/log/firewalld	contains logs related to firewall activities
/var/log/maillog	contains information related to a mail server running on the system
/var/log/messages	contains generic system activity messages
/var/log/spooler	contains messages from usenet
/var/log/syslog	contains generic system activity messages
/var/log/yum.log	contains the package logs related to installation\remove\update activities done via yum utility
screenshot of the remote bash script command used for initial access
figure 3. remote bash script command used for initial access"
Xorddos-Microsoft,/run/,/var/run/,85,"encrypted strings	decoded value
m7a4nq_/na	/usr/bin/
m [(n3	/bin/
m6_6n3	/tmp/
m4s4nac/n&zv\x1aa/tb	/var/run/gcc.pid
m.[$n__#4%\c\x1ab]0	/lib/libudev.so
m.[$n3	/lib/
m4s4nac/na	/var/run/
!#ff3ve.-7\x17v[_	cat resolv.conf
<encrypted_remote_url>	hxxp://aa.hostasa[."
