report,baseline,sentence number,sentence
Dofloo-MalwareMustDie,/etc,38,"1
2
3
4
5
6
7
8
9
10
11
.text:0x0a760  stmfd   sp!, {r4-r8,lr}
.text:0x0a764  sub  sp, sp, #0x208
.text:0x0a768  add  r7, sp, #0x108
.text:0x0a76c  mov  r4, r0
.text:0x0a770  mov  r8, r1
.text:0x0a774  mov  r0, r7
.text:0x0a778  mov  r1, #0x100
.text:0x0a77c  bl   sub_0x026fb0
.text:0x0a780  ldr  r0,  <-- chattr -i /etc/crontab
.text:0x0a784  bl   sub_0x0e3e0
.text:0x0a788  ldr  r0, <-- chmod +w /etc/crontab

adding the autostart entry in it:

1
2
3
4
5
6
7
8
9
10
.text:0x0a7dc ; xref: sub_0x0a760
.text:0x0a7dc  ldr  r1, <-- sed -i '/%s/d' /etc/crontab
.text:0x0a7e0  mov  r2, r5
.text:0x0a7e4  mov  r0, r6
   :
.text:0x0a800  ldr  r1, <-- echo '*/1 * * * * root %s/%s %s' >> /etc/crontab
.text:0x0a804  str  r8, [sp,#0x108+var_108]
.text:0x0a808  bl   sub_0x0182dc
.text:0x0a80c  mov  r0, r6
.text:0x0a810  bl   sub_0x0e3e0

create the file: /etc/.mysys, which later on found as the self copy attempt."
Dofloo-MalwareMustDie,/etc/.,38,"1
2
3
4
5
6
7
8
9
10
11
.text:0x0a760  stmfd   sp!, {r4-r8,lr}
.text:0x0a764  sub  sp, sp, #0x208
.text:0x0a768  add  r7, sp, #0x108
.text:0x0a76c  mov  r4, r0
.text:0x0a770  mov  r8, r1
.text:0x0a774  mov  r0, r7
.text:0x0a778  mov  r1, #0x100
.text:0x0a77c  bl   sub_0x026fb0
.text:0x0a780  ldr  r0,  <-- chattr -i /etc/crontab
.text:0x0a784  bl   sub_0x0e3e0
.text:0x0a788  ldr  r0, <-- chmod +w /etc/crontab

adding the autostart entry in it:

1
2
3
4
5
6
7
8
9
10
.text:0x0a7dc ; xref: sub_0x0a760
.text:0x0a7dc  ldr  r1, <-- sed -i '/%s/d' /etc/crontab
.text:0x0a7e0  mov  r2, r5
.text:0x0a7e4  mov  r0, r6
   :
.text:0x0a800  ldr  r1, <-- echo '*/1 * * * * root %s/%s %s' >> /etc/crontab
.text:0x0a804  str  r8, [sp,#0x108+var_108]
.text:0x0a808  bl   sub_0x0182dc
.text:0x0a80c  mov  r0, r6
.text:0x0a810  bl   sub_0x0e3e0

create the file: /etc/.mysys, which later on found as the self copy attempt."
Dofloo-MalwareMustDie,/etc,40,".text:0x0a840  mov  r1, #0x42
.text:0x0a844  sub  sp, sp, #4
.text:0x0a848  ldr  r0, <-- /etc/.mysys
.text:0x0a84c  bl   sub_0x0e350
.text:0x0a850  cmp  r0, #0
.text:0x0a854  mov  r1, #6
.text:0x0a858  bgt  loc_0x0a86c

2. initiation of the service... which lead to cnc information :-)

we'll see 3 thread will be spawned, which using /dev/null as value, this is typical mo for most types of aes.ddos'ers we saw."
Dofloo-MalwareMustDie,/etc/.,40,".text:0x0a840  mov  r1, #0x42
.text:0x0a844  sub  sp, sp, #4
.text:0x0a848  ldr  r0, <-- /etc/.mysys
.text:0x0a84c  bl   sub_0x0e350
.text:0x0a850  cmp  r0, #0
.text:0x0a854  mov  r1, #6
.text:0x0a858  bgt  loc_0x0a86c

2. initiation of the service... which lead to cnc information :-)

we'll see 3 thread will be spawned, which using /dev/null as value, this is typical mo for most types of aes.ddos'ers we saw."
Dofloo-MalwareMustDie,nul,40,".text:0x0a840  mov  r1, #0x42
.text:0x0a844  sub  sp, sp, #4
.text:0x0a848  ldr  r0, <-- /etc/.mysys
.text:0x0a84c  bl   sub_0x0e350
.text:0x0a850  cmp  r0, #0
.text:0x0a854  mov  r1, #6
.text:0x0a858  bgt  loc_0x0a86c

2. initiation of the service... which lead to cnc information :-)

we'll see 3 thread will be spawned, which using /dev/null as value, this is typical mo for most types of aes.ddos'ers we saw."
Dofloo-MalwareMustDie,nul,41,"1
2
3
4
5
6
7
8
.text:0x082e0  ldr  r0, <-- /dev/null
.text:0x082e4  bl   sub_0x0e350 ; 
.text:0x082e8  mov  r1, #2
.text:0x082ec  ldr  r0, <-- /dev/null
.text:0x082f0  bl   sub_0x0e350
.text:0x082f4  mov  r1, #2
.text:0x082f8  ldr  r0, <-- /dev/null
.text:0x082fc  bl   sub_0x0e350

..following with efforts to start the service:

1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
.text:0x0831c  ldr  r0, [r5]
.text:0x08320  ldr  r1, <-- mt
.text:0x08324  bl   sub_0x0a760
.text:0x08328  mov  r0, #1
.text:0x0832c  mov  r1, r0
.text:0x08330  bl   sub_0x01614c
.text:0x08334  ldr  r0, <-- reg ro = int server...
.text:0x08338  bl   sub_0x018f2c
.text:0x0833c  mov  r1, r4
.text:0x08340  mov  r3, r4
.text:0x08344  ldr  r2, =sub_0x08a60
.text:0x08348  ldr  r0, =unk_0x0d0990
.text:0x0834c  bl   sub_0x0b33c
.text:0x08350  mov  r1, r4
.text:0x08354  mov  r3, r4
.text:0x08358  ldr  r2, =sub_0x088d8
.text:0x0835c  ldr  r0, =unk_0x0d0988
.text:0x08360  bl   sub_0x0b33c
.text:0x08364  mov  r1, r4
.text:0x08368  mov  r3, r4
.text:0x0836c  ldr  r2, =sub_0x08598
.text:0x08370  ldr  r0, =unk_0x09097c
.text:0x08374  bl   sub_0x0b33c
.text:0x08378  mov  r1, r4
.text:0x0837c  mov  r3, r4

to connect to something."
Dofloo-Securityaffairs,48080,7,the malware also connects to 23.224.59.34:48080 to send and receive remote shell commands from the attacker.
Dofloo-Securityaffairs,/etc,10,"trend micro researchers also discovered that the latest variant of the aesddos bot can modify files i.e., /etc/rc.local and /etc/rc.d/rc.local, as an autostart technique by appending the {malware path}/{malware file name} reboot command."
Dofloo-Securityaffairs,/etc/rc.d/rc.local,10,"trend micro researchers also discovered that the latest variant of the aesddos bot can modify files i.e., /etc/rc.local and /etc/rc.d/rc.local, as an autostart technique by appending the {malware path}/{malware file name} reboot command."
Dofloo-Securityaffairs,/etc/rc.local,10,"trend micro researchers also discovered that the latest variant of the aesddos bot can modify files i.e., /etc/rc.local and /etc/rc.d/rc.local, as an autostart technique by appending the {malware path}/{malware file name} reboot command."
