text,type
/bin/chmod,File
/bin/mv,File
/bin/rm,File
/bin/sed,File
/dev/urandom,File
/etc,File
/etc/.,File
/etc//localtime,File
/etc//tmp,File
/etc/5700e4b1c6498619a0e2562321363bd0.bin,File
/etc/host.conf,File
/etc/hosts,File
/etc/init.d/boot.local,File
/etc/lsb-release,File
/etc/mtab,File
/etc/nsswitch.conf,File
/etc/rc.d/rc.local,File
/etc/rc.local,File
/etc/resolv.conf,File
/etc/selinux/config,File
/prober,File
/prober/5700e4b1c6498619a0e2562321363bd0.bin,File
/proc/cpuinfo,File
/proc/net/dev,File
/proc/self/exe,File
/proc/stat,File
/proc/sys/kernel/version,File
/sbin/chmod,File
/sbin/mv,File
/sbin/rm,File
/sbin/sed,File
/selinux,File
/sys/devices/system/cpu/online,File
/sys/fs/selinux,File
/sys/kernel/mm/transparent_hugepage/hpage_pmd_size,File
/tmp/Unknown,File
/usr,File
/usr/bin,File
/usr/bin,File
/usr/bin/Modules/Setup,File
/usr/bin/Modules/Setup.dist,File
/usr/bin/Modules/Setup.local,File
/usr/bin/chmod,File
/usr/bin/gettext,File
/usr/bin/gettext/__init__.abi3.so,File
/usr/bin/gettext/__init__.cpython-36m-x86_64-linux-gnu.so,File
/usr/bin/gettext/__init__.py,File
/usr/bin/gettext/__init__.pyc,File
/usr/bin/gettext/__init__.so,File
/usr/bin/lib/python3.6/lib-dynload,File
/usr/bin/lib/python3.6/os.py,File
/usr/bin/lib/python3.6/os.pyc,File
/usr/bin/locale,File
/usr/bin/locale/__init__.abi3.so,File
/usr/bin/locale/__init__.cpython-36m-x86_64-linux-gnu.so,File
/usr/bin/locale/__init__.py,File
/usr/bin/locale/__init__.pyc,File
/usr/bin/locale/__init__.so,File
/usr/bin/lsb_release,File
/usr/bin/lsb_release/__init__.abi3.so,File
/usr/bin/lsb_release/__init__.cpython-36m-x86_64-linux-gnu.so,File
/usr/bin/lsb_release/__init__.py,File
/usr/bin/lsb_release/__init__.pyc,File
/usr/bin/lsb_release/__init__.so,File
/usr/bin/mv,File
/usr/bin/pybuilddir.txt,File
/usr/bin/python3,File
/usr/bin/python3,File
/usr/bin/python3.6,File
/usr/bin/python3.6,File
/usr/bin/pyvenv.cfg,File
/usr/bin/rm,File
/usr/bin/sed,File
/usr/lib,File
/usr/lib,File
/usr/lib/python3.6,File
/usr/lib/python3.6/config-3.6m-x86_64-linux-gnu,File
/usr/local/bin/chmod,File
/usr/local/bin/mv,File
/usr/local/bin/rm,File
/usr/local/bin/sed,File
/usr/local/lib/python3.6/dist-packages,File
/usr/local/sbin/chmod,File
/usr/local/sbin/mv,File
/usr/local/sbin/rm,File
/usr/local/sbin/sed,File
/usr/pyvenv.cfg,File
/usr/sbin/chmod,File
/usr/sbin/mv,File
/usr/sbin/rm,File
/usr/sbin/sed,File
/usr/share/locale-langpack/en.UTF-8/LC_MESSAGES/messages.mo,File
/usr/share/locale-langpack/en/LC_MESSAGES/messages.mo,File
/usr/share/locale-langpack/en_US.UTF-8/LC_MESSAGES/messages.mo,File
/usr/share/locale-langpack/en_US/LC_MESSAGES/messages.mo,File
/usr/share/locale/en.UTF-8/LC_MESSAGES/messages.mo,File
/usr/share/locale/en/LC_MESSAGES/messages.mo,File
/usr/share/locale/en_US.UTF-8/LC_MESSAGES/messages.mo,File
/usr/share/locale/en_US/LC_MESSAGES/messages.mo,File
/var/log/ZohoAssist,File
/var/log/ZohoAssist/UpgraderTiming,File
/var/log/ZohoAssist/service.log,File
/var/log/ZohoAssist/urs_crash.dmp,File
2,File
Unknown,File
malware,File
nul,File
stdin,File
sysinfo,File
uname,File
Memory Address,Memory
0.0.0.0:1020,Net
114.114.114.114:53,Net
127.0.0.53:53,Net
154.19.204.221:48080,Net
154.91.161.81:48080,Net
156.96.155.251:48080,Net
183.131.83.38:50050,Net
20.205.41.8:48080,Net
216.224.120.213:48080,Net
218.60.25.91:10210,Net
23.236.66.13:50050,Net
42.194.9.81:48080,Net
49.235.91.21:50050,Net
8.8.8.8:53,Net
1020,Net
53,Net
10210,Net
48080,Net
50050,Net
NIC,Net
NO_SOCKET,Net
2044*1024 bytes,Other
8192*1024 bytes,Other
ID,Other
Permission:000,Other
Permission:022,Other
Permission:0700,Other
Pipe 0 : read end from Pipe 1,Other
Pipe 1 : write end to Pipe 0,Other
RLIM_INFINITY bytes,Other
Sleep Duration,Other
Timestamp,Other
status:0,Other
status:1,Other
status:2,Other
/usr/bin/arch,Process
/usr/bin/lsb_release,Process
/usr/local/ZohoAssist/Service/ZohoAssistUnattended,Process
1493,Process
1494,Process
1495,Process
1496,Process
1515,Process
1516,Process
1517,Process
1520,Process
1521,Process
1522,Process
1523,Process
1524,Process
1525,Process
1526,Process
1527,Process
1528,Process
1529,Process
1530,Process
1531,Process
1532,Process
1533,Process
1534,Process
1535,Process
1536,Process
1538,Process
1540,Process
1541,Process
1542,Process
1543,Process
NO_PID,Process
arch,Process
chmod,Process
mv,Process
rm,Process
sed,Process
sh,Process
