EntityType,ActionType,Source,Syscall,EnVerb,Sentence
DEVICE,DEVICE,man,io_cancel(),cancel,cancel an outstanding asynchronous I/O operation
DEVICE,DEVICE,man,io_destroy(),destroy,destroy an asynchronous I/O context
DEVICE,DEVICE,man,io_getevents(),read,read asynchronous I/O events from the completion queue
DEVICE,DEVICE,man,io_setup(),create,create an asynchronous I/O context
DEVICE,DEVICE,man,io_submit(),submit,submit asynchronous I/O blocks for processing
DEVICE,DEVICE,man,ioctl(),control,control device
DEVICE,DEVICE,man,ioctl(),manipulate,The ioctl() function manipulates the underlying device parameters of special files.
DEVICE,DEVICE,man,ioperm(),set,set port input/output permissions
DEVICE,DEVICE,man,iopl(),change,change I/O privilege level
DEVICE,DEVICE,man,pciconfig_iobase(),handle,pci device information handling
DEVICE,DEVICE,man,pciconfig_read(),handle,pci device information handling
DEVICE,DEVICE,man,pciconfig_write(),handle,pci device information handling
DEVICE,DEVICE,man,swapoff(),start,start/stop swapping to file/device
DEVICE,DEVICE,man,swapon(),start,start/stop swapping to file/device
DEVICE,INFO_GET,man,get_kernel_syms(),exported,retrieve exported kernel and module symbols
DEVICE,INFO_GET,man,getcpu(),determine,determine CPU and NUMA node on which the calling thread is running
DEVICE,INFO_GET,man,getpriority(),get,get/set program scheduling priority
DEVICE,INFO_GET,man,getrusage(),get,get resource usage
DEVICE,INFO_GET,man,ipc(),call,System V IPC system calls
DEVICE,INFO_GET,man,kexec_file_load(),load,load a new kernel for later execution
DEVICE,INFO_GET,man,kexec_load(),load,load a new kernel for later execution
DEVICE,INFO_GET,man,madvise(),give,give advice about use of memory
DEVICE,INFO_GET,man,msgget(),get,get a System V message queue identifier
DEVICE,INFO_GET,man,oldolduname(),get,get name and information about current kernel
DEVICE,INFO_GET,man,olduname(),get,get name and information about current kernel
DEVICE,INFO_GET,man,request_key(),request,request a key from the kernel's key management facility
DEVICE,INFO_GET,man,sched_get_priority_max(),get,get static priority range
DEVICE,INFO_GET,man,sched_get_priority_min(),get,get static priority range
DEVICE,INFO_GET,man,semget(),get,get a System V semaphore set identifier
DEVICE,INFO_GET,man,syslog(),read,read and/or clear kernel message ring buffer; set console_loglevel
DEVICE,INFO_GET,man,syslog(),clear,read and/or clear kernel message ring buffer; set console_loglevel
DEVICE,INFO_GET,man,syslog(),set,read and/or clear kernel message ring buffer; set console_loglevel
DEVICE,INFO_GET,man,ustat(),get,get filesystem statistics
DEVICE,INFO_SET,man,_sysctl(),read,read/write system parameters
DEVICE,INFO_SET,man,add_key(),add,add a key to the kernel's key management facility
DEVICE,INFO_SET,man,keyctl(),manipulate,manipulate the kernel's key management facility
DEVICE,INFO_SET,man,perf_event_open(),set,set up performance monitoring
DEVICE,INFO_SET,man,setdomainname(),set,get/set NIS domain name
DEVICE,INFO_SET,man,sethostname(),set,get/set hostname
DEVICE,INFO_SET,man,setpriority(),set,get/set program scheduling priority
DEVICE,INFO_SET,man,setrlimit(),set,get/set resource limits
DEVICE,INFO_SET,man,shmctl(),shared,System V shared memory control
FILE,ACCESS,man,access(),check,check real user's permissions for a file
FILE,ACCESS,man,access(),access,access() checks whether the calling process can access the file pathname.
FILE,ACCESS,man,faccessat(),check,check user's permissions for a file
FILE,CLOSE,man,close(),close,close a file descriptor
FILE,CLOSE,man,close(),free,the resources associated with the open file description are freed
FILE,CREATE_OPEN,man,creat(),create,open and possibly create a file
FILE,CREATE_OPEN,man,epoll_create(),open,open an epoll file descriptor
FILE,CREATE_OPEN,man,epoll_create1(),open,open an epoll file descriptor
FILE,CREATE_OPEN,man,flock(),apply,apply or remove an advisory lock on an open file
FILE,CREATE_OPEN,man,link(),make,make a new name for a file
FILE,CREATE_OPEN,man,link(),create,link() creates a new link (also known as a hard link) to an existing file.
FILE,CREATE_OPEN,Xorddos.Micro,link(),extract,Screenshot of the randomly-named files the XorDdos rootkit extracts to the /usr/bin folder.
FILE,CREATE_OPEN,Dofloo.Tend,link(),add,This Backdoor adds the following processes: sed -i -e '/exit/d' /etc/rc.local
FILE,CREATE_OPEN,Tsunami.Aquasec2,link(),drop,The file k.sh that was dropped and executed on the attacked server
FILE,CREATE_OPEN,man,linkat(),create ,create a file link relative to directory file descriptors
FILE,CREATE_OPEN,man,memfd_create(),create,create an anonymous file
FILE,CREATE_OPEN,man,mkdir(),create ,create a directory
FILE,CREATE_OPEN,Miria.IsSans,mkdir(),mount,big-ip mounts the /usr partition read-only.
FILE,CREATE_OPEN,man,mkdirat(),create,create a directory
FILE,CREATE_OPEN,man,mknod(),create,create a special or ordinary file
FILE,CREATE_OPEN,man,mknodat(),create,create a special or ordinary file
FILE,CREATE_OPEN,man,mmap(),map,map or unmap files or devices into memory
FILE,CREATE_OPEN,man,mmap(),create,mmap() creates a new mapping in the virtual address space of the calling process.
FILE,CREATE_OPEN,man,mmap2(),map,map files or devices into memory
FILE,CREATE_OPEN,man,name_to_handle_at(),obtain,obtain handle for a pathname and open file via a handle
FILE,CREATE_OPEN,man,name_to_handle_at(),open,obtain handle for a pathname and open file via a handle
FILE,CREATE_OPEN,man,open(),open,open and possibly create a file or device
FILE,CREATE_OPEN,man,open(),create,open and possibly create a file or device
FILE,CREATE_OPEN,Xorddos.Micro,open(),extract,Screenshot of the randomly-named files the XorDdos rootkit extracts to the /usr/bin folder.
FILE,CREATE_OPEN,Dofloo.Syscall,open(),add,Persistence is achieved by the malware by adding to /etc/rc.local and the /etc/init.d/boot.local files (in the auto_boot function);
FILE,CREATE_OPEN,Xorddos.Micro,open(),drop,The malware drops an init script at the location /etc/init.d.
FILE,CREATE_OPEN,Xorddos.Micro,open(),mount,one reason for the daemon process to change the directory to the root partition (“/“)is because running the process from the mounted file system prevents unmounting unless the process is stopped.
FILE,CREATE_OPEN,man,open_by_handle_at(),obtain,obtain handle for a pathname and open file via a handle
FILE,CREATE_OPEN,man,open_by_handle_at(),open,obtain handle for a pathname and open file via a handle
FILE,CREATE_OPEN,man,openat(),open,open a file relative to a directory file descriptor
FILE,CREATE_OPEN,Miria.IsSans,openat(),mount,big-ip mounts the /usr partition read-only.
FILE,CREATE_OPEN,man,symlink(),make,make a new name for a file
FILE,CREATE_OPEN,man,symlink(),create ,symlink() creates a symbolic link named newpath which contains the string oldpath.
FILE,CREATE_OPEN,Xorddos.Micro,symlink(),extract,Screenshot of the randomly-named files the XorDdos rootkit extracts to the /usr/bin folder.
FILE,CREATE_OPEN,Dofloo.Tend,symlink(),add,This Backdoor adds the following processes: sed -i -e '/exit/d' /etc/rc.local
FILE,CREATE_OPEN,Tsunami.Aquasec3,symlink(),drop,The file k.sh that was dropped and executed on the attacked server
FILE,CREATE_OPEN,man,symlinkat(),create ,create a symbolic link relative to a directory file descriptor
FILE,CREATE_OPEN,man,umask(),set,set file mode creation mask
FILE,DELETE,man,fremovexattr(),remove,remove an extended attribute
FILE,DELETE,man,munmap(),ummap,unmap files or devices into memory
FILE,DELETE,man,remove(),remove,remove a file or directory
FILE,DELETE,None,remove(),drop,drop the file from the victim machine
FILE,DELETE,Darlloz.Trend,rm(),delete,This worm deletes the following files
FILE,DELETE,man,rm(),remove,removes each specified file
FILE,DELETE,None,rm(),drop,drops each specified file
FILE,DELETE,man,rmdir(),delete,delete a directory
FILE,DELETE,None,rmdir(),drop,drop the file from the victim machine
FILE,DELETE,man,unlink(),delete,delete a name and possibly the file it refers to
FILE,DELETE,man,unlinkat(),remove,remove a directory entry relative to a directory file descriptor
FILE,DELETE,None,unlinkat(),drop,drop the file from the victim machine
FILE,DIR,man,getcwd(),get,get current working directory
FILE,DIR,man,getdents(),get,get directory entries
FILE,FD_DUP,man,dup(),duplicate,duplicate a file descriptor
FILE,FD_DUP,man,dup(),create,These system calls create a copy of the file descriptor oldfd
FILE,FD_DUP,man,dup(),share,share file offset and file status flags
FILE,FD_DUP,man,dup2(),duplicate,duplicate a file descriptor
FILE,FD_DUP,man,dup2(),create,These system calls create a copy of the file descriptor oldfd
FILE,FD_DUP,man,dup2(),share,share file offset and file status flags
FILE,FD_DUP,man,dup3(),duplicate,duplicate a file descriptor
FILE,FD_DUP,man,eventfd(),create,create a file descriptor for event notification
FILE,FD_DUP,man,eventfd2(),create,create a file descriptor for event notification
FILE,FD_DUP,man,signalfd(),create,create a file descriptor for accepting signals
FILE,FD_DUP,man,userfaultfd(),create,create a file descriptor for handling page faults in user space
FILE,FD_DUP,man,userfaultfd(),handle,create a file descriptor for handling page faults in user space
FILE,FD_OTHER,man,epoll_pwait(),wait,wait for an I/O event on an epoll file descriptor
FILE,FD_OTHER,man,epoll_wait(),wait,wait for an I/O event on an epoll file descriptor
FILE,FD_OTHER,man,fcntl(),manipulate,manipulate file descriptor
FILE,FD_OTHER,man,fcntl(),find,find the lowest numbered available file descriptor
FILE,FD_OTHER,man,fcntl(),get,get a new file descriptor or the file status flags 
FILE,FD_OTHER,man,fcntl(),set,set or clear a file segment lock
FILE,FD_OTHER,man,fcntl64(),manipulate,manipulate file descriptor
FILE,FD_OTHER,man,fcntl64(),find,find the lowest numbered available file descriptor
FILE,FD_OTHER,man,fcntl64(),get,get a new file descriptor or the file status flags 
FILE,FD_OTHER,man,fcntl64(),set,set or clear a file segment lock
FILE,FD_OTHER,man,futimesat(),change,change timestamps of a file relative to a directory file descriptor
FILE,FD_OTHER,man,sendfile(),transfer,transfer data between file descriptors
FILE,FD_OTHER,man,sendfile64(),transfer,transfer data between file descriptors
FILE,FD_OTHER,man,signalfd4(),create,create a file descriptor for accepting signals
FILE,FD_OTHER,man,timerfd_create(),notify,timers that notify via file descriptors
FILE,FD_OTHER,man,timerfd_settime(),notify,timers that notify via file descriptors
FILE,FILE_READ,man,fgetxattr(),retrieve,retrieve an extended attribute value
FILE,FILE_READ,man,flistxattr(),list,list extended attribute names
FILE,FILE_READ,man,getdents64(),get,get directory entries
FILE,FILE_READ,man,getxattr(),retrieve,retrieve an extended attribute value
FILE,FILE_READ,man,lgetxattr(),retrieve,retrieve an extended attribute value
FILE,FILE_READ,man,llistxattr(),list,list extended attribute names
FILE,FILE_READ,man,pread64(),read,read from or write to a file descriptor at a given offset
FILE,FILE_READ,man,preadv(),read,read or write data into multiple buffers
FILE,FILE_READ,man,preadv2(),read,read or write data into multiple buffers
FILE,FILE_READ,man,read(),read,read from a file descriptor
FILE,FILE_READ,Dofloo.Security,read(),gather,"Once the malware has infected a system, it can gather system information, including model ID and CPU description, speed, family, model, and type."
FILE,FILE_READ,Xorddos.Micro,read(),fetch,"The user mode malware calls the function getself(), which invokes readlink() to fetch the location of the malware file image on disk."
FILE,FILE_READ,Xorddos.Intezer,read(),look,"As shown in Figure 6, the malware looks up its current path and moves the binary to the created folder. It hides the file by naming it “.po1kitd-update-k”."
FILE,FILE_READ,Dofloo.Bleep,read(),see,campaigns started spreading to the cloud following the drop in activity seen by ransomware operations after the end of 2017.
FILE,FILE_READ,Miria.Trend,read(),use,Exploits - takes advantage of a software vulnerability or security flaw and can be used to remotely access a network and gain elevated privileges
FILE,FILE_READ,Xorddos.Micro,read(),extract,Screenshot of the randomly-named files the XorDdos rootkit extracts to the /usr/bin folder.
FILE,FILE_READ,man,readahead(),initiate,initiate file readahead into page cache
FILE,FILE_READ,man,readdir(),read,read directory entry
FILE,FILE_READ,man,readlink(),read,read value of a symbolic link
FILE,FILE_READ,man,readlink(),place,readlink() places the contents of the symbolic link path in the buffer buf
FILE,FILE_READ,Dofloo.Trend,readlink(),gather,This Backdoor gathers the following data: CPU information Memory statistics IP address of infected machine Reads the following information from /proc:
FILE,FILE_READ,Xorddos.Micro,readlink(),fetch,it calls the readlink API with the first parameter as /proc/self/exe to fetch its full process path.
FILE,FILE_READ,Tsunami.Aquasec,readlink(),look,The attackers are looking for more vulnerable machines on the same network as the infected machine.
FILE,FILE_READ,Dofloo.Syscall,readlink(),see,however before it overwrites this file it first checks to see if it has already done so.
FILE,FILE_READ,Dofloo.Mal,readlink(),use,"how this malware use socket to connect an IP, for example, since the code is too long. But to be noted, since ARM architecture has different structure than Intel, and ARM is designed for the embedded systems, you will see many different method for the detail operation that is involving with the system calls."
FILE,FILE_READ,Xorddos.Intezer,readlink(),extract,hostos	Distribution	Extracted from /etc/issue or /etc/redhat-release
FILE,FILE_READ,man,readlinkat(),read,read value of a symbolic link
FILE,FILE_READ,man,readv(),read,read or write data into multiple buffers
FILE,FILE_READ,man,setxattr(),set,set an extended attribute value
FILE,FILE_READ,man,sysfs(),get,get filesystem type information
FILE,OTHER,man,_llseek(),offset,reposition read/write file offset
FILE,OTHER,man,acct(),switch,switch process accounting on or off
FILE,OTHER,man,chroot(),change,change root directory
FILE,OTHER,man,copy_file_range(),copy,Copy a range of data from one file to another
FILE,OTHER,man,fanotify_init(),create,create and initialize fanotify group
FILE,OTHER,man,fanotify_init(),initialize,create and initialize fanotify group
FILE,OTHER,man,fdatasync(),synchronize,synchronize a file's in
FILE,OTHER,man,fsync(),synchronize,synchronize a file's in
FILE,OTHER,man,inotify_add_watch(),add,add a watch to an initialized inotify instance
FILE,OTHER,man,inotify_init(),initialize,initialize an inotify instance
FILE,OTHER,man,inotify_init1(),initialize,initialize an inotify instance
FILE,OTHER,man,inotify_rm_watch(),remove,remove an existing watch from an inotify instance
FILE,OTHER,man,listxattr(),extended,list extended attribute names
FILE,OTHER,man,lookup_dcookie(),return,return a directory entry's path
FILE,OTHER,man,lseek(),reposition,reposition read/write file offset
FILE,OTHER,man,modify_ldt(),get,get or set a per
FILE,OTHER,man,msync(),synchronize,synchronize a file with a memory map
FILE,OTHER,man,remap_file_pages(),create,create a nonlinear file mapping
FILE,OTHER,man,sync_file_range(),sync,sync a file segment with disk
FILE,OTHER,man,sync_file_range2(),sync,sync a file segment with disk
FILE,OTHER,man,syncfs(),commit,commit filesystem caches to disk
FILE,OTHER,man,tee(),duplicate,duplicating pipe content
FILE,OTHER,man,timerfd_gettime(),notify,timers that notify via file descriptors
FILE,STATUS,man,fstat(),get,get file status
FILE,STATUS,man,fstat64(),get,get file status
FILE,STATUS,man,fstatat64(),get,get file status
FILE,STATUS,man,fstatfs(),get,get filesystem statistics
FILE,STATUS,man,fstatfs64(),get,get filesystem statistics
FILE,STATUS,man,lstat(),get,get file status
FILE,STATUS,man,lstat64(),get,get file status
FILE,STATUS,man,newfstatat(),get,get file status
FILE,STATUS,man,oldfstat(),get,get file status
FILE,STATUS,man,oldlstat(),get,get file status
FILE,STATUS,man,oldstat(),get,get file status
FILE,STATUS,man,stat(),get,get file status
FILE,STATUS,man,stat64(),get,get file status
FILE,STATUS,man,statfs(),get,get file system statistics
FILE,STATUS,man,statfs64(),get,get filesystem statistics
FILE,STATUS,man,statx(),get,get file status (extended)
FILE,UPDATE,man,chdir(),change,changes the current working directory
FILE,UPDATE,man,chmod(),change,change permissions of a file
FILE,UPDATE,Xorddos.Micro,chmod(),modify,A rootkit is a kernel module that hides the presence of malicious code by modifying kernel data structures.
FILE,UPDATE,Xorddos.Micro,chmod(),set,"Provides a root privilege by setting a new set of credentials and assigning its UID, GID to “0”"
FILE,UPDATE,man,chown(),change,change ownership of a file
FILE,UPDATE,man,chown32(),change,change ownership of a file
FILE,UPDATE,man,fanotify_mark(),add,"add, remove, or modify an fanotify mark on a filesystem object"
FILE,UPDATE,man,fchdir(),change,change working directory
FILE,UPDATE,man,fchmod(),change,change permissions of a file
FILE,UPDATE,Xorddos.Micro,fchmod(),modify,A rootkit is a kernel module that hides the presence of malicious code by modifying kernel data structures.
FILE,UPDATE,Xorddos.Micro,fchmod(),set,"Provides a root privilege by setting a new set of credentials and assigning its UID, GID to “0”"
FILE,UPDATE,man,fchmodat(),change,change permissions of a file
FILE,UPDATE,man,fchown(),change,change ownership of a file
FILE,UPDATE,man,fchown32(),change,change ownership of a file
FILE,UPDATE,man,fchownat(),change,change ownership of a file
FILE,UPDATE,man,fsetxattr(),set,set an extended attribute value
FILE,UPDATE,man,ftruncate(),truncate,truncate a file to a specified length
FILE,UPDATE,man,ftruncate64(),truncate,truncate a file to a specified length
FILE,UPDATE,man,lchmod(),change,change permissions of a file
FILE,UPDATE,Xorddos.Micro,lchmod(),modify,A rootkit is a kernel module that hides the presence of malicious code by modifying kernel data structures.
FILE,UPDATE,Xorddos.Micro,lchmod(),set,"Provides a root privilege by setting a new set of credentials and assigning its UID, GID to “0”"
FILE,UPDATE,man,lchown(),change,change ownership of a file
FILE,UPDATE,man,lchown32(),change,change ownership of a file
FILE,UPDATE,man,lremovexattr(),remove,remove an extended attribute
FILE,UPDATE,man,lsetxattr(),set,set an extended attribute value
FILE,UPDATE,man,pivot_root(),change,change the root mount
FILE,UPDATE,man,pwrite64(),read,read from or write to a file descriptor at a given offset
FILE,UPDATE,man,pwritev(),read,read or write data into multiple buffers
FILE,UPDATE,man,pwritev2(),read,read or write data into multiple buffers
FILE,UPDATE,man,removexattr(),remove,remove an extended attribute
FILE,UPDATE,man,rename(),change,change the name or location of a file
FILE,UPDATE,man,rename(),rename,"rename() renames a file, moving it between directories if required."
FILE,UPDATE,Xorddos.Trend2,rename(),update,Figure 3. Code snippet showing XORDDoS’ capability to download and update files.
FILE,UPDATE,Dofloo.Syscall,rename(),format,"A string is formatted and the sed program is called which writes to the file in question (there are several string operations, such as sed -i -e '2 i%s/%s' /etc/rc.local is formatted for example)."
FILE,UPDATE,Dofloo.Security,rename(),modify,"Trend Micro researchers also discovered that the latest variant of the AESDDoS bot can modify files i.e., /etc/rc.local and /etc/rc.d/rc.local"
FILE,UPDATE,Dofloo.Bleep,rename(),overwrite,allowing attackers to overwrite the host runc binary and gain root-level code execution privileges.
FILE,UPDATE,man,renameat(),change,change the name or location of a file
FILE,UPDATE,man,renameat2(),change,change the name or location of a file
FILE,UPDATE,man,sync(),commit,commit filesystem caches to disk
FILE,UPDATE,man,truncate(),truncate,truncate a file to a specified length
FILE,UPDATE,man,truncate64(),truncate,truncate a file to a specified length
FILE,UPDATE,man,utime(),change,change file last access and modification times
FILE,UPDATE,man,utimensat(),change,change file timestamps with nanosecond precision
FILE,UPDATE,man,utimes(),change,change file last access and modification times
FILE,UPDATE,man,write(),write,write to a file descriptor
