Syscall,Sentence,FirstLine,Synonym,SynonymSentence,Obj_type
shutdown(),shut down part of a full-duplex connection,"<shut down,part of a full-duplex connection>","<,>",,NET
recvmmsg(),receive multiple messages on a socket,"<receive,multiple messages>","<,>",,NET
sendmmsg(),send multiple messages on a socket,"<send,multiple messages>","<transmit,multiple messages>",transmit multiple messages on a socket using a single system call.,NET
pipe2(),create pipe,"<create,pipe>","<,>",,PROC
mq_unlink(),remove a message queue,"<remove,a message queue>","<,>",,NET
socketpair(),create a pair of connected sockets,"<create,a pair of connected sockets>","<,>",,NET
mq_timedsend(),send a message to a message queue,"<send,a message to a message queue>","<,>",,NET
mq_open(),open a message queue,"<open,a message queue>","<create,a new POSIX message>",creates a new POSIX message queue or opens an existing queue.,NET
accept4(),accept a connection on a socket,"<accept,a connection on a socket>","<creates,a new connected socket>","creates a new connected socket, and returns a new file descriptor referring to that socket.",NET
mq_timedreceive(),receive a message from a message queue,"<receive,a message from a message queue>","<,>",,NET
getpeername(),get name of connected peer socket,"<get,name of connected peer socket>","<,>",,NET
accept(),accept a connection on a socket,"<accept,a connection on a socket>","<creates,a new connected socket>","creates a new connected socket, and returns a new file descriptor referring to that socket.",NET
listen(),listen for connections on a socket,"<listen for,connections on a socket>","<,>",,NET
mq_getsetattr(),get/set message queue attributes,"<get,message queue attributes>","<retrieve, attributes of the message queue>",retrieve attributes of the message queue referred to by the message queue descriptor,NET
mq_getsetattr(),get/set message queue attributes,"<set,message queue attributes>","<modify, attributes of the message queue>",modify attributes of the message queue referred to by the message queue descriptor,NET
mq_notify(),register for notification when a message is available,"<register for,notification>","<unregister for,delivery of an asynchronous notification>",register or unregister for delivery of an asynchronous notification,NET
oldolduname(),get name and information about current kernel,"<get,name and information>","<,>",,PROC
olduname(),get name and information about current kernel,"<get,name and information>","<,>",,PROC
madvise(),give advice about use of memory,"<give,advice>","<,>",,MEM
request_key(),request a key from the kernel's key management facility,"<request,a key>","<find,a key> | <search for,a matching key>",find a key of the given type with a description (name) that matches the specified description. | recursively searches for a matching key in all of the keyrings attached to the calling process.,PROC
sched_get_priority_max(),get static priority range,"<get,static priority range>","<,>",,PROC
kexec_load(),load a new kernel for later execution,"<load,a new kernel>","<,>",,PROC
setuid(),set user identity,"<set,user identity>","<,>",,ID
geteuid32(),get user identity,"<get,user identity>","<,>",,ID
ustat(),get filesystem statistics,"<get,filesystem statistics>","<,>",,FILE
keyctl(),manipulate the kernel's key management facility,"<manipulate,the kernel's key management facility>","<,>",,PROC
setreuid32(),set real and/or effective user ID,"<set,real and/or effective user ID>","<,>",,ID
times(),get process times,"<get,process times>","<,>",,TIME
get_kernel_syms(),retrieve exported kernel and module symbols,"<retrieve,exported kernel and module symbols>","<,>",,PROC
_sysctl(),read system parameters,"<read,system parameters>","<,>",,PROC
_sysctl(),write system parameters,"<write,system parameters>","<,>",,PROC
getpgid(),get process group,"<get,process group>","<,>",,ID
getegid32(),get group identity,"<get,group identity>","<,>",,ID
getuid32(),get user identity,"<get,user identity>","<,>",,ID
getpgrp(),get process group,"<get,process group>","<retrieve,the calling process's PGID>",retrieving the calling process's PGID,ID
setpgid(),set process group,"<set,process group>","<,>",,ID
gettid(),get thread identification,"<get,thread identification>","<,>",,ID
stime(),set time,"<set,time>","<,>",,TIME
setregid(),set real and/or effective group ID,"<set,real and/or effective group ID>","<,>",,ID
perf_event_open(),set up performance monitoring,"<set up,performance monitoring>","<create,a file descriptor>",creates a file descriptor that allows measuring performance information,FILE
setgid32(),set group identity,"<set,group identity>","<,>",,ID
getsid(),get session ID,"<get,session ID>","<,>",,ID
shmctl(),System V shared memory control,"<share,memory control>","<,>",,ID
getrusage(),get resource usage,"<get,resource usage>","<,>",,RESOURCE_BYTE
