EntityType,ActionType,Source,Syscall,EnVerb,Sentence
DEVICE,DEVICE,man,io_cancel(),cancel,
DEVICE,DEVICE,man,io_destroy(),destroy,
DEVICE,DEVICE,man,io_getevents(),read,
DEVICE,DEVICE,man,io_setup(),create,
DEVICE,DEVICE,man,io_submit(),submit,
DEVICE,DEVICE,man,ioctl(),control,
DEVICE,DEVICE,man,ioctl(),manipulate,
DEVICE,DEVICE,man,ioperm(),set,
DEVICE,DEVICE,man,iopl(),change,
DEVICE,DEVICE,man,pciconfig_iobase(),handle,
DEVICE,DEVICE,man,pciconfig_read(),handle,
DEVICE,DEVICE,man,pciconfig_read(),read,
DEVICE,DEVICE,man,pciconfig_write(),write,
DEVICE,DEVICE,man,pciconfig_write(),handle,
DEVICE,DEVICE,man,swapoff(),stop,
DEVICE,DEVICE,man,swapon(),set,
DEVICE,DEVICE,man,swapon(),start,
FILE,ACCESS,man,access(),access,
FILE,ACCESS,man,access(),check,
FILE,ACCESS,man,faccessat(),check,
FILE,ACCESS,man,ulimit(),set,
FILE,ACCESS,man,ulimit(),get,
FILE,CLOSE,man,close(),close,
FILE,CLOSE,man,close(),free,
FILE,CREATE_OPEN,man,creat(),create,
FILE,CREATE_OPEN,man,epoll_create(),open,
FILE,CREATE_OPEN,man,epoll_create(),create,
FILE,CREATE_OPEN,man,epoll_create1(),open,
FILE,CREATE_OPEN,man,epoll_create1(),create,
FILE,CREATE_OPEN,man,flock(),apply,
FILE,CREATE_OPEN,man,flock(),remove,
FILE,CREATE_OPEN,man,link(),make,
FILE,CREATE_OPEN,man,link(),create,
FILE,CREATE_OPEN,man,linkat(),create,
FILE,CREATE_OPEN,man,memfd_create(),create,
FILE,CREATE_OPEN,man,mkdir(),create,
FILE,CREATE_OPEN,man,mkdirat(),create,
FILE,CREATE_OPEN,man,mknod(),create,
FILE,CREATE_OPEN,man,mknodat(),creates,
FILE,CREATE_OPEN,man,mknodat(),create,
FILE,CREATE_OPEN,man,mmap(),map,
FILE,CREATE_OPEN,man,mmap(),create,
FILE,CREATE_OPEN,man,mmap(),unmap,
FILE,CREATE_OPEN,man,mmap2(),map,
FILE,CREATE_OPEN,man,mount(),attach,
FILE,CREATE_OPEN,man,mount(),mount,
FILE,CREATE_OPEN,man,name_to_handle_at(),open,
FILE,CREATE_OPEN,man,name_to_handle_at(),obtain,
FILE,CREATE_OPEN,man,open(),open,
FILE,CREATE_OPEN,man,open(),create,
FILE,CREATE_OPEN,man,open_by_handle_at(),open,
FILE,CREATE_OPEN,man,open_by_handle_at(),obtain,
FILE,CREATE_OPEN,man,openat(),open,
FILE,CREATE_OPEN,man,symlink(),make,
FILE,CREATE_OPEN,man,symlink(),create,
FILE,CREATE_OPEN,man,symlinkat(),create,
FILE,CREATE_OPEN,man,umask(),set,
FILE,DELETE,man,fremovexattr(),remove,
FILE,DELETE,man,munmap(),unmap,
FILE,DELETE,man,remove(),delete,
FILE,DELETE,man,remove(),remove,
FILE,DELETE,man,rmdir(),delete,
FILE,DELETE,man,umount(),remove,
FILE,DELETE,man,umount(),unmount,
FILE,DELETE,man,umount2(),remove,
FILE,DELETE,man,umount2(),unmount,
FILE,DELETE,man,unlink(),delete,
FILE,DELETE,man,unlinkat(),remove,
FILE,DIR,man,getcwd(),get,
FILE,DIR,man,getdents(),get,
FILE,FD_DUP,man,dup(),duplicate,
FILE,FD_DUP,man,dup(),allocate,
FILE,FD_DUP,man,dup(),create,
FILE,FD_DUP,man,dup(),share,
FILE,FD_DUP,man,dup2(),duplicate,
FILE,FD_DUP,man,dup2(),allocate,
FILE,FD_DUP,man,dup2(),create,
FILE,FD_DUP,man,dup2(),share,
FILE,FD_DUP,man,dup3(),duplicate,
FILE,FD_DUP,man,dup3(),allocate,
