EntityType,ActionType,Source,Syscall,EnVerb,Sentence
DEVICE,DEVICE,man,io_cancel(),cancel,
DEVICE,DEVICE,man,io_destroy(),destroy,
DEVICE,DEVICE,man,io_getevents(),read,
DEVICE,DEVICE,man,io_setup(),create,
DEVICE,DEVICE,man,io_submit(),submit,
DEVICE,DEVICE,man,ioctl(),control,
DEVICE,DEVICE,man,ioctl(),manipulate,
DEVICE,DEVICE,man,ioperm(),set,
DEVICE,DEVICE,man,iopl(),change,
DEVICE,DEVICE,man,pciconfig_iobase(),handle,
DEVICE,DEVICE,man,pciconfig_read(),handle,
DEVICE,DEVICE,man,pciconfig_read(),read,
DEVICE,DEVICE,man,pciconfig_write(),write,
DEVICE,DEVICE,man,pciconfig_write(),handle,
DEVICE,DEVICE,man,swapoff(),stop,
DEVICE,DEVICE,man,swapon(),set,
DEVICE,DEVICE,man,swapon(),start,
FILE,ACCESS,man,access(),access,
FILE,ACCESS,man,access(),check,
FILE,ACCESS,man,faccessat(),check,
FILE,ACCESS,man,ulimit(),set,
FILE,ACCESS,man,ulimit(),get,
FILE,CLOSE,man,close(),close,
FILE,CLOSE,man,close(),free,
FILE,CREATE_OPEN,man,creat(),create,
FILE,CREATE_OPEN,man,epoll_create(),open,
FILE,CREATE_OPEN,man,epoll_create(),create,
FILE,CREATE_OPEN,man,epoll_create1(),open,
FILE,CREATE_OPEN,man,epoll_create1(),create,
FILE,CREATE_OPEN,man,flock(),apply,
FILE,CREATE_OPEN,man,flock(),remove,
FILE,CREATE_OPEN,man,link(),make,
FILE,CREATE_OPEN,man,link(),create,
FILE,CREATE_OPEN,Xorddos.Micro,link(),extract,Screenshot of the randomly-named files the XorDdos rootkit extracts to the /usr/bin folder.
FILE,CREATE_OPEN,Dofloo.Tend,link(),add,This Backdoor adds the following processes: sed -i -e '/exit/d' /etc/rc.local
FILE,CREATE_OPEN,Tsunami.Aquasec2,link(),drop,The file k.sh that was dropped and executed on the attacked server
FILE,CREATE_OPEN,man,linkat(),create,
FILE,CREATE_OPEN,man,memfd_create(),create,
FILE,CREATE_OPEN,man,mkdir(),create,
FILE,CREATE_OPEN,Miria.IsSans,mkdir(),mount,big-ip mounts the /usr partition read-only.
FILE,CREATE_OPEN,man,mkdirat(),create,
FILE,CREATE_OPEN,man,mknod(),create,
FILE,CREATE_OPEN,man,mknodat(),creates,
FILE,CREATE_OPEN,man,mknodat(),create,
FILE,CREATE_OPEN,man,mmap(),map,
FILE,CREATE_OPEN,man,mmap(),create,
FILE,CREATE_OPEN,man,mmap(),unmap,
FILE,CREATE_OPEN,man,mmap2(),map,
FILE,CREATE_OPEN,man,mount(),attach,
FILE,CREATE_OPEN,man,mount(),mount,
FILE,CREATE_OPEN,man,name_to_handle_at(),open,
FILE,CREATE_OPEN,man,name_to_handle_at(),obtain,
FILE,CREATE_OPEN,man,open(),open,
FILE,CREATE_OPEN,man,open(),create,
FILE,CREATE_OPEN,Xorddos.Micro,open(),extract,Screenshot of the randomly-named files the XorDdos rootkit extracts to the /usr/bin folder.
FILE,CREATE_OPEN,Dofloo.Syscall,open(),add,Persistence is achieved by the malware by adding to /etc/rc.local and the /etc/init.d/boot.local files (in the auto_boot function);
FILE,CREATE_OPEN,Xorddos.Micro,open(),drop,The malware drops an init script at the location /etc/init.d.
FILE,CREATE_OPEN,Xorddos.Micro,open(),mount,one reason for the daemon process to change the directory to the root partition (“/“)is because running the process from the mounted file system prevents unmounting unless the process is stopped.
FILE,CREATE_OPEN,man,open_by_handle_at(),open,
FILE,CREATE_OPEN,man,open_by_handle_at(),obtain,
FILE,CREATE_OPEN,man,openat(),open,
FILE,CREATE_OPEN,Miria.IsSans,openat(),mount,big-ip mounts the /usr partition read-only.
FILE,CREATE_OPEN,man,symlink(),make,
