report,word,verb,objectType,prettyReg,match,label,asgSyscall,sentence
Darlloz-Giac.csv,8.8.4.4,gather,NET,ip_addr,0,0,,"[0%9]\{1,3\}'+|+sort+|+uniq+–u+8.8.8.8 8.8.4.4 8.8.8.8 127.0.0.1 61.132.X.X 202.102.X.X 202.102.X.X 202.102.X.X (Truncated)   Although the strings information may be altered, the information gathered indicates this file may be used to conduct some type of DOS (Denial of Service) or other network_based attacks."
Darlloz-Giac.csv,67.174.125.223),,NET,ip_addr,0,0,,"CVE-2014-6271: Known as “Shellshock” or “BASH Bug” Sample (sample from 67.174.125.223)   In 2014, a critical vulnerability was discovered in the GNU Project’s Bourne_Again Shell (BASH) and assigned CVE_2014_6271 (NIST, 2014)."
Darlloz-Giac.csv,“uname,,INFO,uname(.|$),0,0,,"Figure 7 shows the URL encoded string used to exploit CVE_2012_1823 as well as the HTTP headers used by Zollard including the User_agent string “Mozilla/5.0+(compatible;+Zollard;+Linux)”    Figure'7:''HTTP'POST'method'with'the'CVEE2012E1823'(Imperva,'2014)'and'HTTP'Headers'matching'the'exploit'attempt'in'Figure'2' Figure 8 also reveals something of interest: the “uname –m” command is used to determine if the system is 32 or 64 bit."
Darlloz-Icc17.csv,/var/run/,,FILE,/var/run/.*,0,0,,Zollard link  /var/run/  folder  classification efficiency.
Darlloz-Icc17.csv,/var/run/,,FILE,/run/.*,0,0,,Zollard link  /var/run/  folder  classification efficiency.
Darlloz-Icc17.csv,iptables,use,PROC,^iptables$,0,0,,Then will use iptables [21] to drop packets which destination port 23 and port 32764.
Darlloz-Icc17.csv,iptables,,PROC,^iptables$,0,0,,( iptables -D INPUT -p tcp --dport 23 -j DROP.
Darlloz-Trendmicro.csv,/var/run/.lightpid,terminate/remove,FILE,/var/run/.*,1,1,rm(), It terminates and deletes the following processes and files:  /var/run/.lightpid /var/run/.aidrapid /var/run/lightpid    
Darlloz-Trendmicro.csv,/var/run/ppc,,FILE,/run/.*,0,0,, This worm deletes the following files:  /var/run/.lightscan /var/run/lightscan /var/run/mipsel /var/run/mips /var/run/sh /var/run/arm /var/run/ppc /var/run/m /var/run/mi /var/run/s /var/run/a /var/run/p /var/run/msx /var/run/mx /var/run/sx /var/run/ax /var/run/px /var/run/32 /var/run/sel /var/run/pid /var/run/gcc /var/run/dev /var/run/psx /var/run/mpl /var/run/mps /var/run/sph /var/run/arml /var/run/mips.l /var/run/mipsell /var/run/ppcl /var/run/shl /bin/pp /bin/mi /bin/mii /var/tmp/dreams.install.sh /var/tmp/ep2.ppc /usr/bin/wget /usr/bin/-wget Propagation 
Darlloz-Trendmicro.csv,/bin/mii,,FILE,/.*bin/mii,0,0,, This worm deletes the following files:  /var/run/.lightscan /var/run/lightscan /var/run/mipsel /var/run/mips /var/run/sh /var/run/arm /var/run/ppc /var/run/m /var/run/mi /var/run/s /var/run/a /var/run/p /var/run/msx /var/run/mx /var/run/sx /var/run/ax /var/run/px /var/run/32 /var/run/sel /var/run/pid /var/run/gcc /var/run/dev /var/run/psx /var/run/mpl /var/run/mps /var/run/sph /var/run/arml /var/run/mips.l /var/run/mipsell /var/run/ppcl /var/run/shl /bin/pp /bin/mi /bin/mii /var/tmp/dreams.install.sh /var/tmp/ep2.ppc /usr/bin/wget /usr/bin/-wget Propagation 
Darlloz-Trendmicro.csv,/usr/bin/-wget,,FILE,/.*bin/-wget,0,0,, This worm deletes the following files:  /var/run/.lightscan /var/run/lightscan /var/run/mipsel /var/run/mips /var/run/sh /var/run/arm /var/run/ppc /var/run/m /var/run/mi /var/run/s /var/run/a /var/run/p /var/run/msx /var/run/mx /var/run/sx /var/run/ax /var/run/px /var/run/32 /var/run/sel /var/run/pid /var/run/gcc /var/run/dev /var/run/psx /var/run/mpl /var/run/mps /var/run/sph /var/run/arml /var/run/mips.l /var/run/mipsell /var/run/ppcl /var/run/shl /bin/pp /bin/mi /bin/mii /var/tmp/dreams.install.sh /var/tmp/ep2.ppc /usr/bin/wget /usr/bin/-wget Propagation 
Darlloz-Trendmicro.csv,/var/run/.zollard/,create,FILE,/var/run/.*,1,1,open(), It creates the following folders:  /var/run/.zollard/ Other System Modifications 
Darlloz-Trendmicro.csv,/var/run/.lightpid,terminate/remove,FILE,/run/.*,1,1,rm(), It terminates and deletes the following processes and files:  /var/run/.lightpid /var/run/.aidrapid /var/run/lightpid    
Darlloz-Trendmicro.csv,/usr/bin/wget,,FILE,/.*bin/wget,0,0,, This worm deletes the following files:  /var/run/.lightscan /var/run/lightscan /var/run/mipsel /var/run/mips /var/run/sh /var/run/arm /var/run/ppc /var/run/m /var/run/mi /var/run/s /var/run/a /var/run/p /var/run/msx /var/run/mx /var/run/sx /var/run/ax /var/run/px /var/run/32 /var/run/sel /var/run/pid /var/run/gcc /var/run/dev /var/run/psx /var/run/mpl /var/run/mps /var/run/sph /var/run/arml /var/run/mips.l /var/run/mipsell /var/run/ppcl /var/run/shl /bin/pp /bin/mi /bin/mii /var/tmp/dreams.install.sh /var/tmp/ep2.ppc /usr/bin/wget /usr/bin/-wget Propagation 
Darlloz-Trendmicro.csv,/var/tmp/dreams.install.sh,,FILE,/var/tmp/.*,0,0,, This worm deletes the following files:  /var/run/.lightscan /var/run/lightscan /var/run/mipsel /var/run/mips /var/run/sh /var/run/arm /var/run/ppc /var/run/m /var/run/mi /var/run/s /var/run/a /var/run/p /var/run/msx /var/run/mx /var/run/sx /var/run/ax /var/run/px /var/run/32 /var/run/sel /var/run/pid /var/run/gcc /var/run/dev /var/run/psx /var/run/mpl /var/run/mps /var/run/sph /var/run/arml /var/run/mips.l /var/run/mipsell /var/run/ppcl /var/run/shl /bin/pp /bin/mi /bin/mii /var/tmp/dreams.install.sh /var/tmp/ep2.ppc /usr/bin/wget /usr/bin/-wget Propagation 
Darlloz-Trendmicro.csv,var/run/.zollard/,step,FILE,/run/.*,0,0,,var/run/.zollard/ Step 3  Restore this file from backup only Microsoft-related files will be restored.
Darlloz-Trendmicro.csv,/var/run/.lightscan,delete,FILE,/var/run/.*,0,0,, This worm deletes the following files:  /var/run/.lightscan /var/run/lightscan /var/run/mipsel /var/run/mips /var/run/sh /var/run/arm /var/run/ppc /var/run/m /var/run/mi /var/run/s /var/run/a /var/run/p /var/run/msx /var/run/mx /var/run/sx /var/run/ax /var/run/px /var/run/32 /var/run/sel /var/run/pid /var/run/gcc /var/run/dev /var/run/psx /var/run/mpl /var/run/mps /var/run/sph /var/run/arml /var/run/mips.l /var/run/mipsell /var/run/ppcl /var/run/shl /bin/pp /bin/mi /bin/mii /var/tmp/dreams.install.sh /var/tmp/ep2.ppc /usr/bin/wget /usr/bin/-wget Propagation 
Darlloz-Trendmicro.csv,/var/run/.zollard/,create,FILE,/run/.*,1,1,open(), It creates the following folders:  /var/run/.zollard/ Other System Modifications 
Darlloz-Trendmicro.csv,/bin/pp,,FILE,/.*bin/pp,0,0,, This worm deletes the following files:  /var/run/.lightscan /var/run/lightscan /var/run/mipsel /var/run/mips /var/run/sh /var/run/arm /var/run/ppc /var/run/m /var/run/mi /var/run/s /var/run/a /var/run/p /var/run/msx /var/run/mx /var/run/sx /var/run/ax /var/run/px /var/run/32 /var/run/sel /var/run/pid /var/run/gcc /var/run/dev /var/run/psx /var/run/mpl /var/run/mps /var/run/sph /var/run/arml /var/run/mips.l /var/run/mipsell /var/run/ppcl /var/run/shl /bin/pp /bin/mi /bin/mii /var/tmp/dreams.install.sh /var/tmp/ep2.ppc /usr/bin/wget /usr/bin/-wget Propagation 
Darlloz-Trendmicro.csv,/bin/mi,,FILE,/.*bin/mi,0,0,, This worm deletes the following files:  /var/run/.lightscan /var/run/lightscan /var/run/mipsel /var/run/mips /var/run/sh /var/run/arm /var/run/ppc /var/run/m /var/run/mi /var/run/s /var/run/a /var/run/p /var/run/msx /var/run/mx /var/run/sx /var/run/ax /var/run/px /var/run/32 /var/run/sel /var/run/pid /var/run/gcc /var/run/dev /var/run/psx /var/run/mpl /var/run/mps /var/run/sph /var/run/arml /var/run/mips.l /var/run/mipsell /var/run/ppcl /var/run/shl /bin/pp /bin/mi /bin/mii /var/tmp/dreams.install.sh /var/tmp/ep2.ppc /usr/bin/wget /usr/bin/-wget Propagation 
