report,word,verb,objectType,prettyReg,match,label,asgSyscall,sentence
Gafgyt-fortinet.csv,8.8.8.8,execute,NET,ip_addr,0,0,,After the Gafgyt bot executes it establishes a connection to IP address 8.8.8.8 on port 53 in order to track the internet activity of its targeted victim.
Gafgyt-fortinet.csv,"112.212.0.0/15,112.214.0.0/16,210.213.0.0/16",be,NET,ip_addr,0,0,,"The first argument indicates the number of running threads for the script, and the second indicates the IP ranges to scan, which are:  122.3.0.0/16, 122.52.0.0/15, 122.54.0.0/16, 124.83.0.0/16, 124.105.0.0/16, 124.106.0.0/15, 112.200.0.0/13, 112.208.0.0/14, 112.212.0.0/15,112.214.0.0/16,210.213.0.0/16  The third argument is used to specify an IP instead of the string “LUCKY.” It indicates the end of the range to scan, and the last parameter is an index to a list of strings in “user:password.” {(admin, 1234) (root,root) (guest,guest) (telnet,telnet)} are used to log in to the SSH service."
Gafgyt-fortinet.csv,"122.3.0.0/16,",,NET,ip_addr,0,0,,"The first argument indicates the number of running threads for the script, and the second indicates the IP ranges to scan, which are:  122.3.0.0/16, 122.52.0.0/15, 122.54.0.0/16, 124.83.0.0/16, 124.105.0.0/16, 124.106.0.0/15, 112.200.0.0/13, 112.208.0.0/14, 112.212.0.0/15,112.214.0.0/16,210.213.0.0/16  The third argument is used to specify an IP instead of the string “LUCKY.” It indicates the end of the range to scan, and the last parameter is an index to a list of strings in “user:password.” {(admin, 1234) (root,root) (guest,guest) (telnet,telnet)} are used to log in to the SSH service."
Gafgyt-nozominetworks.csv,PID,issue,ID,^PID.*,0,0,," Another way this functionality is implemented is by issuing a kill -9 PID command, as shown in Figure 10:  Fig 10 botkill command Figure 10."
Gafgyt-nozominetworks.csv,62.197.136.231,,NET,ip_addr,0,0,, IoCs 62.197.136.231 80.76.51.244 2b1cc052f78141d91e1bc40db25418359a05c4ad28d2cd55f6e503e4f78c1010 05e586d03dfb2c4a79372d46f2f4a8a91bf24d303017a0ce9f223263b28752a5
Gafgyt-sectrio.csv,pid,check/get,ID,^PID.*,1,1,getpid() getppid()," Fig 3: Malware checking machine time, IP and pid of itself."
Gafgyt-sectrio.csv,176.32.37.93,trim,NET,ip_addr,0,0,,"STD 176.32.37.93 7777 50\n” then malware trims the first part of the command which tells malware to perform specific type of attack, then trim the IP from the command which tells malware to perform attack on which victim then there is the packet size of each packet send to perform DDoS attack."
Gafgyt-sectrio.csv,176.32.37.93,,NET,ip_addr,0,0,,STD 176.32.37.93 7777 50\n” command from the C&C.
Gafgyt-sectrio.csv,(/proc/net/route),,FILE,/proc/net/route,0,0,," From above image (Figure 4) malware checks for the internet connection, get IP of the machine and open the system routing table (/proc/net/route) to get the list of active network interfaces with their relative configuration."
Gafgyt-securityscorecard.csv,PID,store,ID,^PID.*,0,0,,"An example of such a command is shown below: In a function called listFork, the binary creates a child process using the fork method and stores its PID in a variabile called “pids”: Now we’ll describe the functions that are used in the main commands: ftcp, vseattack1, rand_hex, udppac2, udppac, jailv1, icmpattack, rtcp, sendJUNK, tcpFl00d, ovhl7, udpfl00d, and kickv2."
Gafgyt-securityscorecard.csv,“/proc/net/route”:,,FILE,/proc/net/route,0,0,, The process opens the kernel routing table from “/proc/net/route”:
Gafgyt-securityscorecard.csv,45.61.186.4,establish/initiate,NET,ip_addr,1,1,connect(),It will establish a connection with the C2 server 45.61.186.4 on port 13561 (see figure 21).
Gafgyt-securityscorecard.csv,45.61.186.4:13561,,NET,ip_addr+port,0,0,, Indicators of Compromise C2 server 45.61.186.4:13561
Gafgyt-securityscorecard.csv,“8.8.8.8”,,NET,ip_addr,0,0,," In the function called util_local_addr, the binary creates a datagram socket and performs a connection to the Google DNS server “8.8.8.8” in order to obtain the device’s IP address (see figure 51)."
Gafgyt-unit42-2.csv,0xDEADBEEF,use,MEM,mem_addr,0,0,,"]183.53.120	Two different keys used – 0xBAADF00D, 0xDEADBEEF (or the equivalent of a byte-wise XOR with 0x22)	No 2: Okane	All exploits in Table 1	Mirai	hxxp://46[."
Gafgyt-unit42-2.csv,"0xBAADF00D,",,MEM,mem_addr,0,0,,"]183.53.120	Two different keys used – 0xBAADF00D, 0xDEADBEEF (or the equivalent of a byte-wise XOR with 0x22)	No 2: Okane	All exploits in Table 1	Mirai	hxxp://46[."
Gafgyt-unit42-2.csv,0xBAADF00D,make,MEM,mem_addr,0,0,,"Differentiating features of the campaign:  Two different encryption schemes: Aside from using the standard XOR encryption scheme seen in all Mirai variants, in this case using the table key 0xBAADF00D samples make use of a second key for the encryption of certain config strings."
Gafgyt-unit42-2.csv,46.243.189.101,screenshot,NET,ip_addr,0,0,, Figure 4: Screenshot from open directory at payload server 46.243.189.101
Gafgyt-unit42-2.csv,http://46.243.189.101/gang/.,locate,NET,ip_addr,0,0,, The payload source in this attack was located at http://46.243.189.101/gang/.
Gafgyt-unit42-2.csv,46.243.189.101.,,NET,ip_addr,0,0,, CAMPAIGN 2: Okane Samples from this campaign were served from the IP 46.243.189.101.
Gafgyt-unit42.csv,185.10.68.127.,,NET,ip_addr,0,0,,"For part of the month of August 2018, that same domain resolved to a different IP address 185.10.68.127."
Gafgyt-unit42.csv,0xdeadf00d.,,MEM,mem_addr,0,0,,"They use l.ocalhost.host:47883 as C2, and the same encryption scheme as Mirai with the key 0xdeadf00d."
