,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,D0 Dofloo-BleepingComputer,D0 Dofloo-BleepingComputer,D0 Dofloo-BleepingComputer,D0 Dofloo-BleepingComputer,D0 Dofloo-BleepingComputer,D0 Dofloo-BleepingComputer,D0 Dofloo-BleepingComputer,D0 Dofloo-BleepingComputer,D0 Dofloo-BleepingComputer,D0 Dofloo-BleepingComputer,D0 Dofloo-BleepingComputer,D0 Dofloo-BleepingComputer,D1 Dofloo-MalwareMustDie,D1 Dofloo-MalwareMustDie,D1 Dofloo-MalwareMustDie,D1 Dofloo-MalwareMustDie,D1 Dofloo-MalwareMustDie,D1 Dofloo-MalwareMustDie,D1 Dofloo-MalwareMustDie,D1 Dofloo-MalwareMustDie,D1 Dofloo-MalwareMustDie,D1 Dofloo-MalwareMustDie,D1 Dofloo-MalwareMustDie,D1 Dofloo-MalwareMustDie,D2 Dofloo-Securityaffairs,D2 Dofloo-Securityaffairs,D2 Dofloo-Securityaffairs,D2 Dofloo-Securityaffairs,D2 Dofloo-Securityaffairs,D2 Dofloo-Securityaffairs,D2 Dofloo-Securityaffairs,D2 Dofloo-Securityaffairs,D2 Dofloo-Securityaffairs,D2 Dofloo-Securityaffairs,D2 Dofloo-Securityaffairs,D2 Dofloo-Securityaffairs,D3 Dofloo-SyscallParty,D3 Dofloo-SyscallParty,D3 Dofloo-SyscallParty,D3 Dofloo-SyscallParty,D3 Dofloo-SyscallParty,D3 Dofloo-SyscallParty,D3 Dofloo-SyscallParty,D3 Dofloo-SyscallParty,D3 Dofloo-SyscallParty,D3 Dofloo-SyscallParty,D3 Dofloo-SyscallParty,D3 Dofloo-SyscallParty,D4 Dofloo-Trendmicro,D4 Dofloo-Trendmicro,D4 Dofloo-Trendmicro,D4 Dofloo-Trendmicro,D4 Dofloo-Trendmicro,D4 Dofloo-Trendmicro,D4 Dofloo-Trendmicro,D4 Dofloo-Trendmicro,D4 Dofloo-Trendmicro,D4 Dofloo-Trendmicro,D4 Dofloo-Trendmicro,D4 Dofloo-Trendmicro
1,S004,S121,S26d,S392,S44d,S52f,S54a,S570,S60f,S74e,S9a3,Sbd6,S004,S121,S26d,S392,S44d,S52f,S54a,S570,S60f,S74e,S9a3,Sbd6,S004,S121,S26d,S392,S44d,S52f,S54a,S570,S60f,S74e,S9a3,Sbd6,S004,S121,S26d,S392,S44d,S52f,S54a,S570,S60f,S74e,S9a3,Sbd6,S004,S121,S26d,S392,S44d,S52f,S54a,S570,S60f,S74e,S9a3,Sbd6
2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1000,0.1000,0.1000,0.1000,0.1000,0.0833,0.1000,0.0833,0.0769,0.0769,0.1000,0.1000,0.2000,0.2000,0.2000,0.2000,0.2000,0.1667,0.2000,0.1667,0.1538,0.1538,0.2000,0.2000,0.3000,0.3000,0.3000,0.3000,0.3000,0.2500,0.3000,0.2500,0.2308,0.2308,0.3000,0.3000,0.3500,0.3500,0.3500,0.3500,0.3500,0.2500,0.3500,0.2917,0.2692,0.2692,0.3500,0.3500
3,0/20,0/20,0/20,0/20,0/20,0/12,0/20,0/24,0/26,0/26,0/20,0/20,2/20,2/20,2/20,2/20,2/20,1/12,2/20,2/24,2/26,2/26,2/20,2/20,4/20,4/20,4/20,4/20,4/20,2/12,4/20,4/24,4/26,4/26,4/20,4/20,6/20,6/20,6/20,6/20,6/20,3/12,6/20,6/24,6/26,6/26,6/20,6/20,7/20,7/20,7/20,7/20,7/20,3/12,7/20,7/24,7/26,7/26,7/20,7/20
4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.5000,0.0000,0.5000,0.4000,0.2500,0.2500,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.0000,0.5000,0.4000,0.2500,0.2500,0.5000,0.5000,0.7500,0.7500,0.7500,0.7500,0.7500,0.0000,0.7500,0.6000,0.3750,0.3750,0.7500,0.7500
5,0/4,0/4,0/4,0/4,0/4,0/1,0/4,0/5,0/8,0/8,0/4,0/4,0/4,0/4,0/4,0/4,0/4,0/1,0/4,0/5,0/8,0/8,0/4,0/4,2/4,2/4,2/4,2/4,2/4,0/1,2/4,2/5,2/8,2/8,2/4,2/4,2/4,2/4,2/4,2/4,2/4,0/1,2/4,2/5,2/8,2/8,2/4,2/4,3/4,3/4,3/4,3/4,3/4,0/1,3/4,3/5,3/8,3/8,3/4,3/4
6,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0789,0.0789,0.0789,0.0789,0.0789,0.1739,0.0789,0.0652,0.1020,0.1020,0.0789,0.0789,0.0789,0.0789,0.0789,0.0789,0.0789,0.0000,0.0789,0.0652,0.0612,0.0612,0.0789,0.0789,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,0/38,0/38,0/38,0/38,0/38,0/23,0/38,0/46,0/49,0/49,0/38,0/38,0/38,0/38,0/38,0/38,0/38,0/23,0/38,0/46,0/49,0/49,0/38,0/38,3/38,3/38,3/38,3/38,3/38,4/23,3/38,3/46,5/49,5/49,3/38,3/38,3/38,3/38,3/38,3/38,3/38,0/23,3/38,3/46,3/49,3/49,3/38,3/38,0/38,0/38,0/38,0/38,0/38,0/23,0/38,0/46,0/49,0/49,0/38,0/38
8,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3333,0.3333,0.3333,0.3333,0.3333,0.0000,0.3333,0.1667,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.0000,0.3333,0.1667,0.3333,0.3333,0.3333,0.3333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,0/3,0/3,0/3,0/3,0/3,0/0,0/3,0/6,0/3,0/3,0/3,0/3,0/3,0/3,0/3,0/3,0/3,0/0,0/3,0/6,0/3,0/3,0/3,0/3,1/3,1/3,1/3,1/3,1/3,0/0,1/3,1/6,1/3,1/3,1/3,1/3,1/3,1/3,1/3,1/3,1/3,0/0,1/3,1/6,1/3,1/3,1/3,1/3,0/3,0/3,0/3,0/3,0/3,0/0,0/3,0/6,0/3,0/3,0/3,0/3
