report,word,verb,objectType,prettyReg,match,label,asgSyscall,sentence
BPFDoor-CrowdStrike.csv,/var/run/lvm/vm,file_49,FILE,/var/run/.*,0,0,, Indicator	Platform	Purpose /run/lock/kdumpflush /run/lock/kdumpcab /var/lock/kdumpcab /var/lock/kdumpcache /dev/shm/kdmtmpflush /dev/shm/kdevtmpfls /dev/shm/ff	Linux	JustForFun implant pathnames (temporary – running process) /etc/avahi/avahi.conf /etc/cups/cups /etc/cups/cups.conf /etc/gofer/gofor.conf /etc/gss/gss.conf /etc/jvm/jvm.conf /etc/ntp/ntpd /etc/opt/opt.conf /etc/pm/pm.conf /etc/pulp/agent.conf /etc/ssl/ssl.conf /etc/sysconfig/kdumplog /etc/sysconfig/nfs.conf /etc/sysconfig/pcscd.conf /etc/xdg/xdg.conf /usr/java/jdk1.8.0_181-amd64/.java/init.d/jexecd /usr/local/mysql/bin/myisambug /lib64/libcaac.so.1	Linux	JustForFun implant pathnames (persistent – on disk) /lib/librbtinfo.so.1 /usr/lib/autofs/mountd /opt/VRTSvcs/bin/IP/online_Agent	Solaris	JustForFun implant pathnames /run/lock/lvv /run/lock/lvm/lv /var/run/lvm/vm /dev/shm/sem	Linux	JustForFun CLI utility pathnames /tmp/getuid.so /usr/lib/secure/getuid.so	Solaris	CVE-2019-3010 exploitation-related files (not unique to DecisiveArchitect) /usr/local/bin/GetADUsers.py /usr/local/bin/GetNPUsers.py /usr/local/bin/GetUserSPNs.py /usr/local/bin/atexec.py /usr/local/bin/dcomexec.py /usr/local/bin/dpapi.py /usr/local/bin/esentutl.py /usr/local/bin/getArch.py /usr/local/bin/getPac.py /usr/local/bin/getST.py /usr/local/bin/getTGT.py /usr/local/bin/goldenPac.py /usr/local/bin/ifmap.py /usr/local/bin/karmaSMB.py /usr/local/bin/lookupsid.py /usr/local/bin/mimikatz.py /usr/local/bin/mqtt_check.py /usr/local/bin/mssqlclient.py /usr/local/bin/mssqlinstance.py /usr/local/bin/netview.py /usr/local/bin/nmapAnswerMachine.py /usr/local/bin/ntfs-read.py /usr/local/bin/ntlmrelayx.py /usr/local/bin/opdump.py /usr/local/bin/ping.py /usr/local/bin/ping6.py /usr/local/bin/psexec.py /usr/local/bin/raiseChild.py /usr/local/bin/rdp_check.py /usr/local/bin/reg.py /usr/local/bin/registry-read.py /usr/local/bin/rpcdump.py /usr/local/bin/sambaPipe.py /usr/local/bin/samrdump.py /usr/local/bin/secretsdump.py /usr/local/bin/services.py /usr/local/bin/smbclient.py /usr/local/bin/smbexec.py /usr/local/bin/smbrelayx.py /usr/local/bin/smbserver.py /usr/local/bin/sniff.py /usr/local/bin/sniffer.py /usr/local/bin/split.py /usr/local/bin/ticketer.py /usr/local/bin/wmiexec.py /usr/local/bin/wmipersist.py /usr/local/bin/wmiquery.py	Linux	Impacket post-exploitation framework scripts (not unique to DecisiveArchitect) /usr/local/bin/ldapdomaindump /usr/local/bin/ldd2bloodhound	Linux	ldapdomaindump binaries used for Active Directory reconnaissance (not unique to DecisiveArchitect) c:\users\use.bat c:\users\one.ps1	Windows	Unknown scripts
BPFDoor-CrowdStrike.csv,https[:]//github.com/0xdea/exploits/blob/master/solaris/raptor_xscreensaver,endnote,MEM,"0x[0-9a-zA-Z]{1,16} (mem)",0,0,, Endnotes https[:]//github.com/0xdea/exploits/blob/master/solaris/raptor_xscreensaver Indicators of Compromise (IOCs)
BPFDoor-Qualys.csv,/var/run/xinetd.lock,file_7,FILE,/var/run/.*,0,0,, Filenames /dev/shm/kdmtmpflush /dev/shm/kdumpflush /dev/shm/kdumpdb /var/run/xinetd.lock /var/run/kdevrund.pid /var/run/haldrund.pid /var/run/syslogd.reboot
BPFDoor-Qualys.csv,/var/run/syslogd.reboot,,FILE,/var/run/.*,0,0,, Filenames /dev/shm/kdmtmpflush /dev/shm/kdumpflush /dev/shm/kdumpdb /var/run/xinetd.lock /var/run/kdevrund.pid /var/run/haldrund.pid /var/run/syslogd.reboot
BPFDoor-Qualys.csv,/var/run/haldrund.pid,create,FILE,/var/run/.*,1,1,open(), PID File The implant creates a zero-byte PID file at /var/run/haldrund.pid (Fig
BPFDoor-Qualys.csv,PID,create,ID,^PID.*,0,0,, PID File The implant creates a zero-byte PID file at /var/run/haldrund.pid (Fig
BPFDoor-Qualys.csv,PID,figure/get,ID,^PID.*,1,1,getppid() getpid(),Figure 11: Creation of PID file by BPFdoor
BPFDoor-deepinstinct.csv,“/var/run/initd.lock”,get,FILE,/var/run/.*,0,0,,"BPFdoor Technical Analysis When executed, the BPFdoor sample will attempt to create and get a lock on a runtime file at “/var/run/initd.lock” and will exit if it fails using that file as a makeshift mutex"
BPFDoor-deepinstinct.csv,/var/run/initd.lock,employ/create,FILE,/var/run/.*,1,1,open(),IOCs afa8a32ec29a31f152ba20a30eb483520fe50f2dce6c9aa9135d88f7c9c511d7 – BPFDoor ELF SHA256 /var/run/initd.lock – BPFDoor mutex” MITRE ATT&CK: Tactic	Technique	Description	Observable Command and Control Defense Evasion Persistence T1205 - Traffic Signaling Attacker employs “magic” values to trigger response
BPFDoor-exatrack.csv,/var/run/xinetd.lock,•,FILE,/var/run/.*,0,0,,• /var/run/xinetd.lock • /var/run/kdevrund.pid • /var/run/haldrund.pid • /var/run/syslogd.reboot  IOCs - Hashes • 07ecb1f2d9ffbd20a46cd36cd06b022db3cc8e45b1ecab62cd11f9ca7a26ab6d • a002f27f1abb599f24e727c811efa36d2d523e586a82134e9b3e8454dde6a089 • 8b84336e73c6a6d154e685d3729dfa4e08e4a3f136f0b2e7c6e5970df9145e95 • 76bf736b25d5c9aaf6a84edd4e615796fffc338a893b49c120c0b4941ce37925 • 96e906128095dead57fdc9ce8688bb889166b67c9a1b8fdb93d7cff7f3836bb9 • 599ae527f10ddb4625687748b7d3734ee51673b664f2e5d0346e64f85e185683 • 2e0aa3da45a0360d051359e1a038beff8551b957698f21756cfc6ed5539e4bdb • f47de978da1dbfc5e0f195745e3368d3ceef034e964817c66ba01396a1953d72 • 3347ddcc909c573a27c157f55d0444954e2b4b749bc65607a9f0319217954ac5 • 54a4b3c2ac34f1913634ab9be5f85cde19445d01260bb15bcd1d52ebcc85af2c (Variant with embedded configuration) • fa0defdabd9fd43fe2ef1ec33574ea1af1290bd3d763fdb2bed443f2bd996d73 (2018 variant) • 591198c234416c6ccbcea6967963ca2ca0f17050be7eed1602198308d9127c78 (unstripped variant) • dc8346bf443b7b453f062740d8ae8d8d7ce879672810f4296158f90359dcae3a (Solaris Variant)  IOCs - Yara rule rule Linux_TricephalicImplant {  meta:  author = Exatrack  description = Detect Linux passive backdoors  tlp = WHITE  source = Exatrack  strings:  $str_message_01 = hald-addon-acpi: listening on acpi kernel interface /proc/acpi/event  $str_message__02 = /var/run/haldrund.pid  $str_message_03 = /bin/rm -f /dev/shm/%s;/bin/cp %s /dev/shm/%s && /bin/chmod 755 /dev/shm/%s && /dev/shm/%s --init && /bin/rm -f /dev/shm/%s // in the stack  $str_message_04 = Cant fork pty  $str_hald_05 = /sbin/iptables -t nat -D PREROUTING -p tcp -s %s --dport %d -j REDIRECT --to-ports %d  $str_command_01 = /sbin/iptables -t nat -A PREROUTING -p tcp -s %s --dport %d -j REDIRECT --to-ports %d  $str_command_02 = /sbin/iptables -I INPUT -p tcp -s %s -j ACCEPT  $str_command_03 = /bin/rm -f /dev/shm/%s  $str_command_04 = /bin/cp %s /dev/shm/%s  $str_command_05 = /bin/chmod 755 /dev/shm/%s  $str_command_06 = /dev/shm/%s --init  $str_server_01 = [+] Spawn shell ok.  $str_server_02 = [+] Monitor packet send
