report,word,verb,objectType,prettyReg,match,label,asgSyscall,sentence
Dofloo-MalwareMustDie.csv,0x0002f120,"r1,r2,r10,r11,lr",MEM,0x[0-9a-zA-Z]{8} (mem),0,0,,"1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 ;-- entry0: 0x0002f118  adr     r12, off_2f104 0x0002f11c  ldmia   r12, {r1,r2,r10,r11,lr} 0x0002f120  add     r10, r10, r12 0x0002f124  add     r11, r11, r12 0x0002f128  mov     r0, r2 0x0002f12c  sub     r9, r12, r1 0x0002f130  add     r1, r1, #0x1000 0x0002f134  mov     r3, #0 0x0002f138  stmfd   sp!, {r0-r3,lr} 0x0002f13c  mov     r2, #7 0x0002f140  ldr     r3, [r12,#0x10] 0x0002f144  mov     r5, #0 0x0002f148  mov     r4, 0xffffffff 0x0002f14c  orr     r3, r3, #0x10 0x0002f150  mov     r7, #0xc0 0x0002f154  svc     0 0x0002f158  cmn     r0, #0x1000 0x0002f15c  bcs     loc_0x02fbd0   [...]  ..following the registers value and in r1 we will find the value that can tell what is happening:  1 2 3 4 5 0x0002fbd0  mov  r2, #0x1e 0x0002fbd4  adr  r1, aprot_execprot_ ; PROT_EXEC|PROT_WRITE failed.\n 0x0002fbd8  mov  r0, #2 0x0002fbdc  mov  r7, #4 0x0002fbe0  svc  0 This value may ring your bells too :)."
Dofloo-MalwareMustDie.csv,0x0002FBF0,look/change,MEM,0x[0-9a-zA-Z]{8} (mem),1,1,brk(),"I look from its DCB data from where it was called and clarifying the answer:  1 2 3 4 5 6 7 8 9 10 11 0x0002FBF0 aProt_execProt_ DCB PROT_EXEC|PROT_WRITE failed.,0xA,0 0x0002FC0E                 DCB 0xA,0 0x0002FC10 aInfoThisFileIs DCB 0x24,Info: This file is packed with the UPX executable packer http:/ 0x0002FC10                 DCB /upx.sf.net ,0x24,0xA,0 0x0002FC5F aIdUpx3_91Copyr DCB 0x24,Id: UPX 3.91 Copyright (C) 1996-2013 the UPX Team."
Dofloo-MalwareMustDie.csv,0x0002FC5F,eserve,MEM,0x[0-9a-zA-Z]{8} (mem),0,0,,All Rights R 0x0002FC5F                 DCB eserved.
Dofloo-MalwareMustDie.csv,0x0002fbd0,find/set,MEM,0x[0-9a-zA-Z]{8} (mem),1,1,set_robust_list() set_thread_area() mprotect() arch_prctl() set_tid_address(),"1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 ;-- entry0: 0x0002f118  adr     r12, off_2f104 0x0002f11c  ldmia   r12, {r1,r2,r10,r11,lr} 0x0002f120  add     r10, r10, r12 0x0002f124  add     r11, r11, r12 0x0002f128  mov     r0, r2 0x0002f12c  sub     r9, r12, r1 0x0002f130  add     r1, r1, #0x1000 0x0002f134  mov     r3, #0 0x0002f138  stmfd   sp!, {r0-r3,lr} 0x0002f13c  mov     r2, #7 0x0002f140  ldr     r3, [r12,#0x10] 0x0002f144  mov     r5, #0 0x0002f148  mov     r4, 0xffffffff 0x0002f14c  orr     r3, r3, #0x10 0x0002f150  mov     r7, #0xc0 0x0002f154  svc     0 0x0002f158  cmn     r0, #0x1000 0x0002f15c  bcs     loc_0x02fbd0   [...]  ..following the registers value and in r1 we will find the value that can tell what is happening:  1 2 3 4 5 0x0002fbd0  mov  r2, #0x1e 0x0002fbd4  adr  r1, aprot_execprot_ ; PROT_EXEC|PROT_WRITE failed.\n 0x0002fbd8  mov  r0, #2 0x0002fbdc  mov  r7, #4 0x0002fbe0  svc  0 This value may ring your bells too :)."
Dofloo-MalwareMustDie.csv,0x00008000,LOAD,MEM,0x[0-9a-zA-Z]{8} (mem),0,0,,"So as you can see it was served from Sept 10th and is having 4 downloads (including me, one time)  The file looks like this:  1 2 3 4 5 6 $ ls -alF 1 -rwxr--r--  1 mmd  mmd  165,176 Sep 10 10:21 1 $ md5 1 MD5 (1) = 0bb68bd65d94f61b7b20117b99d8526c $ file 1 1: ELF 32-bit LSB executable, ARM, version 1 (GNU/Linux), statically linked, stripped  Well, we know is an ARM binary, but I need more information, so I check the ELF composition:  1 2 3 4 5 6 7 8 9 10 11 12 13 14 15   Entry point address:  0x2f118   Start of program headers: 52 (bytes into file)   Start of section headers: 0 (bytes into file)   Flags: 0x4000002, has entry point, Version4 EABI   Size of this header: 52 (bytes)   Size of program headers: 32 (bytes)   Number of program headers: 2   Size of section headers: 40 (bytes)   Number of section headers: 0   Section header string table index: 0   Program Headers:   Type     Offset   VirtAddr   PhysAddr   FileSiz MemSiz  Flg Align   LOAD     0x000000 0x00008000 0x00008000 0x282b1 0x282b1 R E 0x8000   LOAD     0x000c24 0x000d0c24 0x000d0c24 0x00000 0x00000 RW  0x8000 Now it's time for calculating the data, we know the size and we see the each LOAD headers size which is just unfit, further, I don't see any section (either dynamic or static) nor relocation data that I can expect from an ARM ELF (they should have more symbols), which is strange."
Dofloo-MalwareMustDie.csv,0x0002FC0E,,MEM,0x[0-9a-zA-Z]{8} (mem),0,0,,"I look from its DCB data from where it was called and clarifying the answer:  1 2 3 4 5 6 7 8 9 10 11 0x0002FBF0 aProt_execProt_ DCB PROT_EXEC|PROT_WRITE failed.,0xA,0 0x0002FC0E                 DCB 0xA,0 0x0002FC10 aInfoThisFileIs DCB 0x24,Info: This file is packed with the UPX executable packer http:/ 0x0002FC10                 DCB /upx.sf.net ,0x24,0xA,0 0x0002FC5F aIdUpx3_91Copyr DCB 0x24,Id: UPX 3.91 Copyright (C) 1996-2013 the UPX Team."
Dofloo-MalwareMustDie.csv,0x0002FC10,pack,MEM,0x[0-9a-zA-Z]{8} (mem),0,0,,"I look from its DCB data from where it was called and clarifying the answer:  1 2 3 4 5 6 7 8 9 10 11 0x0002FBF0 aProt_execProt_ DCB PROT_EXEC|PROT_WRITE failed.,0xA,0 0x0002FC0E                 DCB 0xA,0 0x0002FC10 aInfoThisFileIs DCB 0x24,Info: This file is packed with the UPX executable packer http:/ 0x0002FC10                 DCB /upx.sf.net ,0x24,0xA,0 0x0002FC5F aIdUpx3_91Copyr DCB 0x24,Id: UPX 3.91 Copyright (C) 1996-2013 the UPX Team."
Dofloo-MalwareMustDie.csv,0x0002FCAB,go,MEM,0x[0-9a-zA-Z]{8} (mem),0,0,,",0x24,0xA,0 0x0002FCAB                 DCB 0x0 ;; here goes the table.. 0x0002FCAC                 DCD 0x9A8, 0x5F9, 0x500E, 0x6C00031A, 0x942C5302, 0x18D063CB 0x0002FCAC                 DCD 0x49382EE, 0xD185E779, 0x57399E2E, 0xD24C892F, 0x1003EA02 0x0002FCAC                 DCD 0x6A5A70C9, 0x2F701D6A, 0x6D0D9A7, 0xD2EC6754, 0x95ECE49 [...]                      [...]  Oh, silly me.. it is a UPX, but, is it common and not modded one?"
Dofloo-MalwareMustDie.csv,0x0002f118,add,MEM,0x[0-9a-zA-Z]{8} (mem),0,0,,"1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 ;-- entry0: 0x0002f118  adr     r12, off_2f104 0x0002f11c  ldmia   r12, {r1,r2,r10,r11,lr} 0x0002f120  add     r10, r10, r12 0x0002f124  add     r11, r11, r12 0x0002f128  mov     r0, r2 0x0002f12c  sub     r9, r12, r1 0x0002f130  add     r1, r1, #0x1000 0x0002f134  mov     r3, #0 0x0002f138  stmfd   sp!, {r0-r3,lr} 0x0002f13c  mov     r2, #7 0x0002f140  ldr     r3, [r12,#0x10] 0x0002f144  mov     r5, #0 0x0002f148  mov     r4, 0xffffffff 0x0002f14c  orr     r3, r3, #0x10 0x0002f150  mov     r7, #0xc0 0x0002f154  svc     0 0x0002f158  cmn     r0, #0x1000 0x0002f15c  bcs     loc_0x02fbd0   [...]  ..following the registers value and in r1 we will find the value that can tell what is happening:  1 2 3 4 5 0x0002fbd0  mov  r2, #0x1e 0x0002fbd4  adr  r1, aprot_execprot_ ; PROT_EXEC|PROT_WRITE failed.\n 0x0002fbd8  mov  r0, #2 0x0002fbdc  mov  r7, #4 0x0002fbe0  svc  0 This value may ring your bells too :)."
Dofloo-MalwareMustDie.csv,0x0002f144,svc,MEM,0x[0-9a-zA-Z]{8} (mem),0,0,,"1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 ;-- entry0: 0x0002f118  adr     r12, off_2f104 0x0002f11c  ldmia   r12, {r1,r2,r10,r11,lr} 0x0002f120  add     r10, r10, r12 0x0002f124  add     r11, r11, r12 0x0002f128  mov     r0, r2 0x0002f12c  sub     r9, r12, r1 0x0002f130  add     r1, r1, #0x1000 0x0002f134  mov     r3, #0 0x0002f138  stmfd   sp!, {r0-r3,lr} 0x0002f13c  mov     r2, #7 0x0002f140  ldr     r3, [r12,#0x10] 0x0002f144  mov     r5, #0 0x0002f148  mov     r4, 0xffffffff 0x0002f14c  orr     r3, r3, #0x10 0x0002f150  mov     r7, #0xc0 0x0002f154  svc     0 0x0002f158  cmn     r0, #0x1000 0x0002f15c  bcs     loc_0x02fbd0   [...]  ..following the registers value and in r1 we will find the value that can tell what is happening:  1 2 3 4 5 0x0002fbd0  mov  r2, #0x1e 0x0002fbd4  adr  r1, aprot_execprot_ ; PROT_EXEC|PROT_WRITE failed.\n 0x0002fbd8  mov  r0, #2 0x0002fbdc  mov  r7, #4 0x0002fbe0  svc  0 This value may ring your bells too :)."
