report,word,verb,objectType,prettyReg,match,label,asgSyscall,sentence
Gafgyt-fortinet.csv,"112.208.0.0/14,",,NET,ip_addr/ip_addr:port/port,0,0,,"The first argument indicates the number of running threads for the script, and the second indicates the IP ranges to scan, which are:  122.3.0.0/16, 122.52.0.0/15, 122.54.0.0/16, 124.83.0.0/16, 124.105.0.0/16, 124.106.0.0/15, 112.200.0.0/13, 112.208.0.0/14, 112.212.0.0/15,112.214.0.0/16,210.213.0.0/16  The third argument is used to specify an IP instead of the string “LUCKY.” It indicates the end of the range to scan, and the last parameter is an index to a list of strings in “user:password.” {(admin, 1234) (root,root) (guest,guest) (telnet,telnet)} are used to log in to the SSH service"
Gafgyt-fortinet.csv,"122.3.0.0/16,",be,NET,ip_addr/ip_addr:port/port,0,0,,"The first argument indicates the number of running threads for the script, and the second indicates the IP ranges to scan, which are:  122.3.0.0/16, 122.52.0.0/15, 122.54.0.0/16, 124.83.0.0/16, 124.105.0.0/16, 124.106.0.0/15, 112.200.0.0/13, 112.208.0.0/14, 112.212.0.0/15,112.214.0.0/16,210.213.0.0/16  The third argument is used to specify an IP instead of the string “LUCKY.” It indicates the end of the range to scan, and the last parameter is an index to a list of strings in “user:password.” {(admin, 1234) (root,root) (guest,guest) (telnet,telnet)} are used to log in to the SSH service"
Gafgyt-fortinet.csv,8.8.8.8,execute,NET,ip_addr/ip_addr:port/port,0,0,,After the Gafgyt bot executes it establishes a connection to IP address 8.8.8.8 on port 53 in order to track the internet activity of its targeted victim
Gafgyt-nozominetworks.csv,PID,issue,ID,^PID.*,0,0,," Another way this functionality is implemented is by issuing a kill -9 PID command, as shown in Figure 10:  Fig 10 botkill command Figure 10"
Gafgyt-nozominetworks.csv,62.197.136.231,,NET,ip_addr/ip_addr:port/port,0,0,, IoCs 62.197.136.231 80.76.51.244 2b1cc052f78141d91e1bc40db25418359a05c4ad28d2cd55f6e503e4f78c1010 05e586d03dfb2c4a79372d46f2f4a8a91bf24d303017a0ce9f223263b28752a5
Gafgyt-sectrio.csv,(/proc/net/route),open/use,FILE,/proc/net/route,1,1,open() read()," From above image (Figure 4) malware checks for the internet connection, get IP of the machine and open the system routing table (/proc/net/route) to get the list of active network interfaces with their relative configuration"
Gafgyt-sectrio.csv,pid,check/get,ID,^PID.*,1,1,getppid() getpid()," Fig 3: Malware checking machine time, IP and pid of itself"
Gafgyt-sectrio.csv,176.32.37.93,,NET,ip_addr/ip_addr:port/port,0,0,,STD 176.32.37.93 7777 50\n” command from the C&C
Gafgyt-sectrio.csv,176.32.37.93,trim,NET,ip_addr/ip_addr:port/port,0,0,,"STD 176.32.37.93 7777 50\n” then malware trims the first part of the command which tells malware to perform specific type of attack, then trim the IP from the command which tells malware to perform attack on which victim then there is the packet size of each packet send to perform DDoS attack"
Gafgyt-securityscorecard.csv,“/proc/net/route”:,open,FILE,/proc/net/route,1,1,open(), The process opens the kernel routing table from “/proc/net/route”:
Gafgyt-securityscorecard.csv,PID,store,ID,^PID.*,0,0,,"An example of such a command is shown below: In a function called listFork, the binary creates a child process using the fork method and stores its PID in a variabile called “pids”: Now we’ll describe the functions that are used in the main commands: ftcp, vseattack1, rand_hex, udppac2, udppac, jailv1, icmpattack, rtcp, sendJUNK, tcpFl00d, ovhl7, udpfl00d, and kickv2"
Gafgyt-securityscorecard.csv,(0xF,,MEM,"0x[0-9a-zA-Z]{1,16} (mem)",0,0,, The current process name is set to “/usr/bin/apt” using the prctl function (0xF = PR_SET_NAME):
Gafgyt-securityscorecard.csv,0x2,create,MEM,"0x[0-9a-zA-Z]{1,16} (mem)",0,0,,"It creates a new socket by calling the socket method (0x2 = AF_UNIX, 0x2 = SOCK_DGRAM): Figure 7 The inet_addr function is utilized to convert the Google DNS server into binary data in network byte order: The malware performs a connection to the Google DNS server on port 53 via a function call to connect, as highlighted below:"
