report,word,verb,objectType,prettyReg,match,label,asgSyscall,sentence
XMRigMiner-intezer.newgolan.csv,185.239.242.71,file,NET,ip_addr/ip_addr:port/port,0,0,,IoCs C&C 185.239.242.71  Files Operating system  Description  File name  File type  MD5  Linux files  Dropper script  ldr.sh  Bash script  236d7925cfafc1f643babdb8e48966bf  Worm  sysrv  64bit ELF binary  UPX packed – ead2cf8ab7aef63706b40eb57d668d0a Unpacked – 750644690e51db9f695b542b463164b9  UPX packed – f4c90b41126fc17848bd0d131288bd36 Unpacked –  D8499b7b2e2aeb76387668306e982673  UPX packed – 301a0a58dd98ecbbe12c6acbd0c7bbdc Unpacked – f5859e81ff49dd66e501ec7c0f39c83e  Miner  xmr32  32bit ELF binary  9c2aa65235a939b2811f281a45ecdab0  Miner  xmr64  64bit ELF binary  078b2a96f45b493e82b44f8c5344e7e5  Windows files  Dropper script  ldr.ps1  PowerShell script  d708a5394e9448ab38201264df423c0a  Worm  sysrv.exe  32bit PE binary  UPX packed – 030231d96234f06ae09ca18d621241e5  Unpacked – 14f57bd246cc1db3131cab421fbc8dac  UPX packed – 642d73c85e6e79720a5ae7b82fc427c5 Unpacked – b1a4ec25e168156aeee8184b05777b1b  Miner  xmr32.exe  32bit PE binary  97d89d25e9589f995d374cb7d89b4433  Miner  xmr64.exe  64bit PE binary  569fcf95f3889cefd87c1b425fa37b03  1.jsp  Java Server Page  644f20b5a6e03aa054ba62d32f983adc
XMRigMiner-intezer.rockegroup.csv,/usr/local/sbin,create,FILE,/usr/local/.*,1,1,open(),Detection and Response Detect if a machine in your system has been compromised by following all of these steps: The malware creates files in the following directories: /usr/local/sbin /usr/local/bin /usr/bin /usr/libexec /tmp Check if there are suspicious files in these locations
XMRigMiner-intezer.rockegroup.csv,PID:,,ID,^PID.*,0,0,,Run the following command to get the PID: netstat -ltnp | grep -w ‘:61131’ and then: sudo kill -9 <PID> to kill the process
XMRigMiner-intezer.rockegroup.csv,PID,find/get,ID,^PID.*,1,1,getpid(),Use the command: netstat -tupln Response: Find the PID of the process and kill it
XMRigMiner-intezer.teamTNT.csv,/usr/local/lib/systemhealt.so,write,FILE,/usr/local/.*,0,0,,The shared object was written to /usr/local/lib/systemhealt.so by the setup script and directives were added to /etc/ld.so.preload to allow the shared object to be loaded with every file that is executed
XMRigMiner-intezer.teamTNT.csv,config.json,bioset,FILE,config.json,0,0,,IoCs: Pre-February Campaign Files Name SHA256 bsh.sh 125dc99b9f94d5548bb68b371cb2ff22134b60b1fef915d1ae85b025f4039be0 ash.sh 561b76684d80084bd4b924e439f7e37683f486ca94fa088f283402dc7443271c dcc96cdc7192a41fb242a680a83969e16247511816dc0f80e63b134059497ad1 hole64 da43ed194729f82db68b1d91a17cea6afde8ae81357116c35c4c129888a836bf Network Value 36.7.154.124 116.62.122.90 3.215.110.66 125.254.128.200 SSH Key ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQDIzB9hz7bNT6qtQKCMcitaaxEB9RyJEZuumE+gUMrh6hg3ccSMg9qnAlS/Lmw5SwwLJQXMB5WuhclPJsVawuP+pfsm1ZiGF2JnczEW5kBw1o5Fl/6WOV1p9MOaXHAbpi7o/5Zauu3lTktyIWuP5R9l/2pUWcFZInnaiOr1KNtCBPisNYbZ4FWAQVGwXzUWZ/ZE7SYIoOUm3EJihPPiTulegUmIzc7TzrnEn9M3U8K+LVFye+wDeSC3WNYwfjGQJA4aFsANOiz89olh77G7IaDR8LghNfVVkRjaJ6onDZwb2CZWSivkFsdYtL6690S407eqoes7wkJudo9Qxsn9wxNv February 2020 Campaign Files Name SHA256 32bit.tar.gz 40c298446a7e53c3775f67deedf5d13b7c2c601de3c744f72fda42f99c156075 64bit.tar.gz 4f2ee441b35e8e0fe99608a011b632db219bd6631bcda39899b747a0dd38b5c6 bioset da43ed194729f82db68b1d91a17cea6afde8ae81357116c35c4c129888a836bf config.json 1470c3100b976ae2d4f9a1def5d6c6715d4f050e7de5e261b5d4e4a2faf9603d cyo.sh 77334b8e3c8df468eda2ef93467d63e41dab7beb451a3bbb5637473fabc620d6 dbus-config b7225aefd8fb399a7f18639c32c59442daa5401b6164130e316092e8618f667f FullCleanUp.sh 6a1221fc82b2bf13dc8112795d3edfb7bab8df7a9d4af69b89da4ac31e0e87e5 hfile e5f48ccf07addd83986f5b6f9444d5f91cacbb5c471b815a2b68a9c02727821b hid.sh fe6e522ff266867060fa70d85be299ac5b12f2888935c5fe6e0a07d3ccaa1de2 logs.c 59aa2101b05225dd0eb7e7b456eb26357540723e3c1d8a10deca83e9715a10fb setup.sh b5ba2c86ebf85cbf700c83d7edc034717d7ee08e84fbae440a38139c15ef7a27 NarrenKappe.sh a25a73af06c43a20eb9f4f8b67357cec3c74143ccf97ce666446296a360d93fa pnscan-1.11.tar.gz 702b123a3abd518ac696c9e340e1aaf4742d271922b8b537d8595ea6486d7aa8 punk.py a66140870d0a71c7bd42b7631e4a85858e6b33e4a21be637b94d41833dee8383 rd.sh d42ee8a001de9b13496f2980de6ca22b544a5a9012e9e97374343411593c2c29 setup.sh dad3016b75e89b415e3c7e360ec2ffa31e48b667082843013bbff719add826c7 s_poor.ssh.sh 1eead4f456ed8741d1de821e2fcecb026c1cbbf3477786cc3e637eac05811f46 sysinfo.txt 53ba0436084f054c9c2c8aaf110f2c89c3c8b1fd9f1e4ca48cedfa86b7dece81 tmp.min.sh 669ace6d57c68e4a7f2fabcacfecf485a5c90bfc28a809a432e68b53f60836a4 watchdogd.tar.gz e0876231c4829e0c7be4ffe47466b57e17a15e9c1529f332f813ea532716c945 whois2.irc.sh 795a3d99c1e8e34a6228d95c4435c5ed7c866dc0e303f9788ea6fe055b1a7ac6 whois.irc 205db0ef59cad167c6132916f8f7a1d1963e740b36400419b2e5ba307e9f765c 32-bit Archive Name SHA256 watchdogd 69fea980538a12ac0791f0801fc93d8b4d16e8329793d635221a16f935e8ca07 XMRig Miner 4256402fc04e49f3da8d1bf88efdcca6a3b03f4b881777d2c32a8df364cececd 64-bit Archive Name SHA256 bioset da43ed194729f82db68b1d91a17cea6afde8ae81357116c35c4c129888a836bf config.json 285e91d3d578fcaf6665c70de457f602d572203b04c281c03b4bf9103aa5f61f do.sh 9c29d4ecf6a60e7bfc0afbaa7a669a18af163440730711367d1c715042b5f755 lo 920014ace9add87139db41eb2538b292ad136fde7ac5f683eb3b31e0fed5f808 rstart.sh 4beaf3edbd1065c0dfd02cf864effe3d1e18d0f39275f0d49cb21951a12976c3 systemd-clean 3a2aa7235f0617df430b3d556779bee2ae0af75d7c2f17f052971d3f38fad9e0 watchdogd fdf26ebad48da26be59b5784f43d1e5ee2efa93c59a717fe2ae1d82bf3f016d3 watchdogd.initd 16b26d9e4413c2f6d081ca093106935673747d5266aaa33f51c845e65b90e904 watchdogd.service 264c9b440f2fbd03000211a92a8bbb190f69c78dc087b8f757b3e8676554df57 watchdogd-stop 020ba2a9f603588dbc6498a6e230249c6952daa920a58de89d997b3fcdc4c115 XMRig Miner b6f57f8a7fba70d6660335828d2a14029c88079a8176dca2c63281a759fd84ca Network Value Comment icanhazip.com Used to determine IP teamtnt.red Main server 123.56.193.119 Exfiltration server 116.62.122.90 Old server still used by some scripts 120.26.230.68 Miner CC 80.211.206.105 Command center Wallet 89X8a5RqKMGLubB19DwVVqPxgF27C8hqpbtWMqNorpsDSu6Qw5uu4iJF8WwoLt2VQGRgALfjEqpq61awRTaBwpciDatbCNB Spring 2020 Files Name SHA256 clean.sh 6b8d828511b479e3278264eff68059f03b3b8011f9a6daaeff2af06b13ba6090 dns 6c73e45b06544fc43ce0e9164be52810884f317a710978c31462eb5b8ebc30cc dns3 07377cac8687a4cde6e29bc00314c265c7ad71a6919de91f689b58efe07770b0 dns3_32bit 3876b58d12e27361bdfebd6efc5423d79b6676ca3b9d800f87098e95c3422e84 init.sh (Trend Micro) 459190ba0173640594d9b1fa41d5ba610ecea59fd275d3ff378d4cedb044e26d init.sh (the second script) 5c488d9d6820f859cde5fb5d147cfe584a603152653d12e720b897df60c6f810 mxutzh.sh 8926672fe6ab2f9229a72e344fcb64a880a40db20f9a71ba0d92def9c14497b6 NarrenKappe.sh d791ac65b01008d2be9622095e6020d7a7930b6ce1713de5d713fc3cccfa862 setup.mytoys.sh  b60be03a7305946a5b1e2d22aa4f8e3fc93a55e1d7637bebb58bf2de19a6cf4a setup.xmrig.curl.sh  bebaac2a2b1d72aa189c98d00f4988b24c72f72ae9348c49f62d16b433b05332 sysinfo 3c907087ec77fc1678011f753ddf4531a484009f3c64563d96eff0edea0dcd29 lan.redis.pwn.sh 25b4c5a3b3bfb1adab66fe17313a9828ef4ed13ea903e603f0ae36f3aa00cab0 minion_worker.sh 2adb1a298dd4ffd1b4fe2d5f5468363e977c8962dc837dc57219362ee2fc3127 Summer 2020 Files Name SHA256 Carray.jpg 230e2a06df2cd7574ee15cb13714d77182f28d50f83a6ed58af39f1966177769 clean.jpg c55e4c67ba3cf54360a88980183767522fc05e8bf076f31399ee45efbfbd78e5 cron.jpg 9f5e14ca8c877b7dff84ffbe018c461233af975654bd5b87431920dfc24568a5 cron_set.jpg 705a22f0266c382c846ee37b8cd544db1ff19980b8a627a4a4f01c1161a71cb0 ds.jpg a386aced768146fecfe81cac214c51c7e575b2c0c27a29c683e3357706f651ba init.jpg 616c3d5b2e1c14f53f8a6cceafe723a91ad9f61b65dd22b247788329a41bc20e local.jpg b556d266b154c303bb90db005d7dd4267ed8d0e711e3fd32406c64b1fc977f9e mo.jpg 3a377e5baf2c7095db1d7577339e4eb847ded2bfec1c176251e8b8b0b76d393f mos.jpg 0742efecbd7af343213a50cc5fd5cd2f8475613cfe6fb51f4296a7ec4533940d ssh.jpg 929c3017e6391b92b2fbce654cf7f8b0d3d222f96b5b20385059b584975a298b tnt.jpg b3c94173daf8f825dcba80ecc813dd0ca36636851f9fa83901ae3b36af166d78 mo.jpg 1b7180c7e1f150ba6848e392e8482b83c638b27b37873f7f0948be991416431 mo.jpg 3a377e5baf2c7095db1d7577339e4eb847ded2bfec1c176251e8b8b0b76d393f init.jpg 616c3d5b2e1c14f53f8a6cceafe723a91ad9f61b65dd22b247788329a41bc20e cron_set.jpg 705a22f0266c382c846ee37b8cd544db1ff19980b8a627a4a4f01c1161a71cb0 ds.jpg a386aced768146fecfe81cac214c51c7e575b2c0c27a29c683e3357706f651ba mo.jpg b6e369f0eb241ffb1b63c8c5b2b8a9131a9b98125ca869165f899026ab2c64ba ssh.jpg b9036b471ade3a0ed2c3e7d7c20f0844ee15d67ddcbe3380350944e427a7bf49 cron.jpg c4cd9c12d47e5468f6f6e4b27e122f1a3d05dcae958245b59bde07d11c27328e Archives Name SHA256 01.jpg 78037e2d2e596bd450b99551535fa9c38c4e8346ab75eb424bf9e95316424fbe 21.jpg 4f115381c17ba1dedb25d35d922feda9a723e206d811ed437b75fd8116ef461b 22.jpg 4a5d3435cd4a835056b4940e1cea9a25b1619562525bd9953a120b556b305983 about.jpg a79d4f5633dbbe98842d5073b41cc25468679c46e011373587ffdbc544d1ea12 det.jpg 79a060a0efcf4a1538c58e532b984dcd927fda17ca9fd10c2ff212f9d9d76be6 mod.jpg feb0a0f5ffba9d7b7d6878a8890a6d67d3f8ef6106e4e88719a63c3351e46a06 stock.jpg 2c40b76408d59f906f60db97ea36503bfc59aed22a154f5d564d8449c300594f Binaries Name SHA256 impressum.jpg f64a828d58ac5bbdde5e982ebb0766c8969cb63b4ab642467392042f2a594295 jq.jpg bcfa215dec8fe15d4265c508c39c1ebafb7370acc95721e4e7d610b0459eb8dd kube.jpg 15dce6f833812b119de9447db49e61f5c238c4e45b0dafbe0b6af0ab50bb329a ms.jpg 72b1cbfbd87c6cd85b9dc1da48c852768003e7fb4f01d8f6904921474be199ad socat.jpg 71c81cb46dd1903f12f3aef844b0fc559f31e2f613a8ae91ffb5630bc7011ef5 tshd.jpg ba974b31c7e6715b83e9468f72fd5927d560fe80dbcba8c4466bb8ce5b93601d zgrab.jpg 1474298ed7a5c63ca8098794cd743a276807cca0e678e046160718626bb038f3 portainer b49a3f3cb4c70014e2c35c880d47bc475584b87b7dfcfa6d7341d42a16ebe443 88ZrgnVZ687Wg8ipWyapjCVRWL8yFMRaBDrxtiPSwAQrNz5ZJBRozBSJrCYffurn1Qg7Jn7WpRQSAA3C8aidaeadAn4xi4k Fall 2020 Network Value Comment 85.214.149.236 Host malicious scripts and binaries https://iplogger.org/2Xvkv5 Used to obtain the IP address of the victim Name SHA256 xmrig 3b4ff9aff08a7ca9a36ed997f94adb6b18bb757157cec4f04b53ba67e9377003 kdevtmpfsi dd603db3e2c0800d5eaa262b6b8553c68deaa486b545d4965df5dc43217cc839 xmrigCCMiner_64Bit b6f57f8a7fba70d6660335828d2a14029c88079a8176dca2c63281a759fd84ca x86_64 139f393594aabb20543543bd7d3192422b886f58e04a910637b41f14d0cad375 xmrig fdf26ebad48da26be59b5784f43d1e5ee2efa93c59a717fe2ae1d82bf3f016d3 Winter 2021 Attacking Kubernetes Network Value Comment The.borg.wtf (45.9.150.36) Host malicious scripts and binaries 147.75.47.199 Used to obtain the IP address of the victim teamtnt.red (45.9.148.108) Host malicious scripts and binaries Borg.wtf (45.9.148.108) Host malicious scripts and binaries Irc.borg.wtf (123.245.9.147) C2 server and runs IRC server Sampwn.anondns.net (13.245.9.147) C2 server and runs IRC server 164.68.106.96 C2 server and runs IRC server 62.234.121.105 C2 server and runs IRC server Files Name SHA256 TDGG 2c1528253656ac09c7473911b24b243f083e60b98a19ba1bbb050979a1f38a0f tt.sh 2cde98579162ab165623241719b2ab33ac40f0b5d0a8ba7e7067c7aebc530172 api.key b34df4b273b3bedaab531be46a0780d97b87588e93c1818158a47f7add8c7204 tmate d2fff992e40ce18ff81b9a92fa1cb93a56fb5a82c1cc428204552d8dfa1bc04f sGAU.sh 74e3ccaea4df277e1a9c458a671db74aa47630928a7825f75994756512b09d64 kshell 8e33496ea00218c07145396c6bcf3e25f4e38a1061f807d2d3653497a291348c install_monerod.bash 518a19aa2c3c9f895efa0d130e6355af5b5d7edf28e2a2d9b944aa358c23d887 setup_moneroocean_miner.sh 5923f20010cb7c1d59aab36ba41c84cd20c25c6e64aace65dc8243ea827b537b xmrig (oneroocean) a22c2a6c2fdc5f5b962d2534aaae10d4de0379c9872f07aa10c77210ca652fa9 pei.sh ee6dbbf85a3bb301a2e448c7fddaa4c1c6f234a8c75597ee766c66f52540d015 pei64 937842811b9e2eb87c4c19354a1a790315f2669eea58b63264f751de4da5438d pei32 72cff62d801c5bcb185aa299eb26f417aad843e617cf9c39c69f9dde6eb82742 xmr3.assi 12c5c5d556394aa107a433144c185a686aba3bb44389b7241d84bea766e2aea3 aws2.sh 053318adb15cf23075f737daa153b81ab8bd0f2958fa81cd85336ecdf3d7de4e t.sh e6422d97d381f255cd9e9f91f06e5e4921f070b23e4e35edd539a589b1d6aea7 x86_64.so 77456c099facd775238086e8f9420308be432d461e55e49e1b24d96a8ea585e8 xmrig 78f92857e18107872526feb1ae834edb9b7189df4a2129a4125a3dd8917f9983 xmrig.so 3de32f315fd01b7b741cfbb7dfee22c30bf7b9a5a01d7ab6690fcb42759a3e9f xmr.sh fe0f5fef4d78db808b9dc4e63eeda9f8626f8ea21b9d03cbd884e37cde9018ee ziggy 74f122fb0059977167c5ed34a7e217d9dfe8e8199020e3fe19532be108a7d607 Windows Targeting Name SHA256 sniffer.exe 42e60ce9f0b7c5260282a7006af0166cd3603a6043d833719586bd1adaece138 svchost2.exe dd0a5c62db8403263872716b8b2dfd190fcf9c742e9d13ad2c40ab41df7f2045 Wallet: 84dg9MjSkFvXkqHQuBr6ep6TfhR3pTP8DRyTMN5s8RgYMVRcnce7Day8edLkk3TqAaSHXu2N4W3A3XjKMaSx4X8Q3KQgZnh Spring 2021 Name SHA256 aws.sh 8cedd6187439f73675b076d70647ee117ec3a4184a5045499a6172ae6e6c2c39 grab_aws-data.sh a1e9cd08073e4af3256b31e4b42f3aa69be40862b3988f964e96228f91236593 init.sh 4e059d74e599757226f93ea8ddcfb794d4bcda605f0e553fbbef47b8b7c82d2b search.sh ed40bce040778e2227c869dac59f54c320944e19f77543954f40019e2f2b0c35 Summer 2021 Files Name SHA256 SSH.id_rsa.LAN.spread.sh 000f9927d2aad73a10d7034cff8308535322e629a75600addfe38202305101ba mo.sh 1b72088fc6d780da95465f80ab26ba094d89232ff30a41b1b0113c355cfffa57 SSH.id_rsa.LAN.spread.sh 3cc54142b5f88d03fb0552a655e32e94f366c9e3bb387404c6f381cfea506867 bot_u 5e1af7f4e6cf89cff44ee209399a9fab3bfd8f1ca9703fb54cee05cce2b16d4c scan.sh 6c8a2ba339141b93c67f9d79d86a469da75bfbc69f128a6ed702a6e3925d5a29 setup.scanner.root.sh 8737eb891a80302929a7d2a6ffacd51338705783f250ecbcd62d2d623f9e98fd sx.sh a383e770c319b2411ed17775a114b697fb83ab53912266462ad1607c090ca608 kbot_x86_64 a46c870d1667a3ee31d2ba8969c9024bdb521ae8aad2079b672ce8416d85e8df Domains teamtnt.red chimaera.cc
XMRigMiner-intezer.teamTNT.csv,Pidgin,MoneroGuiWallet,ID,^PID.*,0,0,,"In a shell script found by Trend Micro, the threat actor had expanded their search to the following applications and services: SSH AWS Docker S3 GitHub Shodan Google Cloud Ngrok Pidgin FileZilla HexChat MoneroGuiWallet CloudFlared Davfs2 PostgreSQL SMB"
XMRigMiner-intezer.teamTNT.csv,WinRing0x64,identify,MEM,"0x[0-9a-zA-Z]{1,16} (mem)",0,0,,"From gene analysis, this driver was identified as WinRing0x64 from OpenLibSys"
XMRigMiner-intezer.teamTNT.csv,WinRing0x64,figure/set,MEM,"0x[0-9a-zA-Z]{1,16} (mem)",1,1,set_tid_address() arch_prctl() set_robust_list() mprotect(),Figure 50: Analysis of WinRing0x64 driver installed by the XMRig Miner
XMRigMiner-intezer.teamTNT.csv,http://45.9.148.123/COVID19/init.sh,examine,NET,ip_addr/ip_addr:port/port,0,0,,"When we examined the Uniform Resource Locator (URL) http://45.9.148.123/COVID19/init.sh in VirusTotal we discovered another init.sh file, submitted on April 30, 2020, about one month before Trend Micro released their report"
