report,word,verb,objectType,prettyReg,match,label,asgSyscall,sentence
Xorddos-Intezer.csv,/etc/init.d/po1kitd-update,create,FILE,/etc/init\.d/.*,1,1,open(),The following files are created after executing the malware on boot: /usr/syno/etc/rc.d/S99po1kitd-update.sh /etc/init.d/po1kitd-update /etc/rc2.d/S99po1kitd-update The malware checks if the rootkit is active by creating a file and removing it.
Xorddos-Intezer.csv,/usr/syno/etc/rc.d/S99po1kitd-update.sh,create,FILE,/etc/rc.*\.d/.*,0,0,,The following files are created after executing the malware on boot: /usr/syno/etc/rc.d/S99po1kitd-update.sh /etc/init.d/po1kitd-update /etc/rc2.d/S99po1kitd-update The malware checks if the rootkit is active by creating a file and removing it.
Xorddos-Intezer.csv,"permission,",,FILE,Permission/Permission:[0-9]{3},0,0,,"The file’s data used in both functions are: path, name, type, user, permission, size, time."
Xorddos-Intezer.csv,GID,,ID,^GID.*,0,0,,Figure 3: Similarity between PWNLNX and RedXOR of the UID and GID used with “lchown” function call
Xorddos-Intezer.csv,UID,,ID,^UID.*,0,0,,Figure 3: Similarity between PWNLNX and RedXOR of the UID and GID used with “lchown” function call
Xorddos-Intezer.csv,0x0,add/attach,MEM,"0x[0-9a-zA-Z]{1,16} (mem)",1,1,shmat(),The data is added to a struct with the following layout: 0x0 JSESSIONID as int
Xorddos-Intezer.csv,0x8,,MEM,"0x[0-9a-zA-Z]{1,16} (mem)",0,0,,  0x8 Content-Length as long  0x10 Total-Length as long  0x18 Response body  The content length is the length of the response body but also used as the key.
Xorddos-Intezer.csv,0x18,be/set,MEM,"0x[0-9a-zA-Z]{1,16} (mem)",1,1,mprotect() set_thread_area() set_robust_list() arch_prctl() set_tid_address(),  0x8 Content-Length as long  0x10 Total-Length as long  0x18 Response body  The content length is the length of the response body but also used as the key.
Xorddos-Intezer.csv,158.247.208.230,,NET,ip_addr/ip_addr:port/port,0,0,, Network update.cloudjscdn.com 158.247.208.230 34.92.228.216 Process name po1kitd-update-k
Xorddos-Intezer.csv,127.0.0.1,hardcode/connect,NET,ip_addr/ip_addr:port/port,1,1,connect(),Table 2: Data collected by the malware and sent back to the C2 server URL key	Description	Comment hostip	IP	Hardcoded to 127.0.0.1 softtype		Hardcoded to “Linux” pscaddr	MAC address	 hostname	Machine name	 hosttar	Username	Possibly “host target” hostos	Distribution	Extracted from /etc/issue or /etc/redhat-release hostcpu	Clock speed	/proc/cpuinfo hostmem	Amount of memory	/proc/meminfo hostpack		Hardcoded to “Linux” lkmtag	Is rootkit enabled	 kernel	Kernel version	Extracted from unameFigure 12 shows the communication between RedXOR and the C2.
Xorddos-Ms.csv,/var/log/boot.log,contain/set,FILE,/boot,1,1,write(),"After running the ELF file, uses an anti-forensic technique that hides its past activity by overwriting the content of the following sensitive files with a newline character: Sensitive File	Description /root/.bash_history	Contains the commands that were run earlier /var/log/wtmp	Contains login related record for users /var/log/btmp	Contains record of failed login attempt /var/log/lastlog	Contains the recent login information for users /var/log/secure	Contains information related to security such as logs for authentication failure, sudo logins, and authorization privileges /var/log/boot.log	Contains information related to system boot and message logged via system startup processes /var/log/cron	Contains information related to cron job launch, success and failure error logs /var/log/dmesg	Contains information related to kernel ring buffer messages, hardware devices, drivers, etc."
Xorddos-Ms.csv,/etc/cron.hourly/gcc.sh.The,create,FILE,/etc/cron\..*/.*,1,1,open(), Cron script  The malware creates a cron script at the location /etc/cron.hourly/gcc.sh.The cron script passes parameters with the following content:  Screenshot of the contents of the gcc.sh script.
Xorddos-Ms.csv,/etc/cron.hourly/gcc.sh,delete,FILE,/etc/cron\..*/.*,0,0,,System command to delete the /etc/cron.hourly/gcc.sh entry from the /etc/crontab file and add a new entry
Xorddos-Ms.csv,/etc/cron.hourly/gcc.sh\',read,FILE,/etc/cron\..*/.*,0,0,,It reads system(sed -i \'/\\/etc\\/cron.hourly\\/gcc.sh/d\' /etc/crontab && echo \'*/3 * * * * root /etc/cron.hourly/gcc.sh\' >> /etc/crontab); Figure 13.
Xorddos-Ms.csv,/etc/cron.hourly/gcc.sh,drop,FILE,/etc/cron\..*/.*,0,0,, Dropped files Dropped file path	File type	SHA-256 /etc/init.d/HFLgGwYfSC.elf	Shell Script	6E506F32C6FB7B5D342D1382989AB191C6F21C2D311251D8F623814F468952CF /etc/cron.hourly/gcc.sh	Shell Script	CBB72E542E8F19240130FC9381C2351730D437D42926C6E68E056907C8456459 /lib/libudev.so	ELF	F2DF54EB827F3C733D481EBB167A5BC77C5AE39A6BDA7F340BB23B24DC9A4432 /run/gcc.pid	Text	932FEEF3AB6FCCB3502F900619B1F87E1CB44A7ADAB48F2C927ECDD67FF6830A /usr/bin/djtctpzfdq	ELF	53F062A93CF19AEAA2F8481B32118A31B658A126624ABB8A7D82237884F0A394 /usr/bin/dmpyuitfoq	ELF	798577202477C0C233D4AF51C4D8FB2F574DDB3C9D1D90325D359A84CB1BD51C /usr/bin/fdinprytpq	ELF	2B4500987D50A24BA5C118F506F2507362D6B5C63C80B1984B4AE86641779FF3 /usr/bin/jwvwvxoupv	ELF	359C41DA1CBAE573D2C99F7DA9EEB03DF135F018F6C660B4E44FBD2B4DDECD39 /usr/bin/kagbjahdic	ELF	E6C7EEE304DFC29B19012EF6D31848C0B5BB07362691E4E9633C8581F1C2D65B /usr/bin/kkldnszwvq	ELF	EF0A4C12D98DC0AD4DB86AADD641389C7219F57F15642ED35B4443DAF3FF8C1E /usr/bin/kndmhuqmah	ELF	B5FBA27A8E457C1AB6573C378171F057D151DC615D6A8D339195716FA9AC277A /usr/bin/qkxqoelrfa	ELF	D71EA3B98286D39A711B626F687F0D3FC852C3E3A05DE3F51450FB8F7BD2B0D7 /usr/bin/sykhrxsazz	ELF	9D6F115F31EE71089CC85B18852974E349C68FAD3276145DAFD0076951F32489 /usr/bin/tcnszvmpqn	ELF	360A6258DD66A3BA595A93896D9B55D22406D02E5C02100E5A18382C54E7D5CD /usr/bin/zalkpggsgh	ELF	DC2B1CEE161EBE90BE68561755D99E66F454AD80B27CEBE3D4773518AC45CBB7 /usr/bin/zvcarxfquk	ELF	175667933088FBEBCB62C8450993422CCC876495299173C646779A9E67501FF4 /tmp/bin/3200	ELF (rootkit)	C8F761D3EF7CD16EBE41042A0DAF901C2FDFFCE96C8E9E1FA0D422C6E31332EA Installer script	Bash script	8be8c950d8701ef1149c547ea3f949ea78394787ad1e19fc0eaa7bd7aeb863c2 /usr/bin/djtctpzfdq	ELF	53f062a93cf19aeaa2f8481b32118a31b658a126624abb8a7d82237884f0a394 /usr/bin/jwvwvxoupv	ELF	359c41da1cbae573d2c99f7da9eeb03df135f018f6c660b4e44fbd2b4ddecd39 /usr/bin/kkldnszwvq	ELF	ef0a4c12d98dc0ad4db86aadd641389c7219f57f15642ed35b4443daf3ff8c1e /usr/bin/zvcarxfqul	ELF (rootkit)	483451dcda78a381cc73474711bf3fcae97bd088f67b5a7e92639df52ef5ef25 /usr/bin/zvzvmpqnv	ELF (rootkit)	c8f761d3ef7cd16ebe41042a0daf901c2fdffce96c8e9e1fa0d422c6e31332ea
Xorddos-Ms.csv,"(/etc/cron.hourly/gcc.sh,",,FILE,/etc/cron\..*/.*,0,0,,"Microsoft 365 Defender timeline with an event on a suspicious shell command run by crond after it was dropped from HFLgGwYfSC.elf Hunting queries To locate malicious activity related to XorDdos activity, run the following advanced hunting queries in Microsoft 365 Defender or Microsoft Defender Security Center:  Failed sign-ins  DeviceLogonEvents | where InitiatingProcessFileName == sshd     and ActionType == LogonFailed | summarize count() by dayOfYear = datetime_part(dayOfYear, Timestamp) | sort by dayOfYear  | render linechart Creation of the XorDdos-specific dropped files  DeviceFileEvents | extend FullPath=strcat(FolderPath, FileName) | where FullPath in (/etc/cron.hourly/gcc.sh, /lib/libudev.so.6, /lib/libudev.so, /var/run/gcc.pid) Command-line of malicious process  DeviceProcessEvents | where ProcessCommandLine contains cat resolv.conf"
Xorddos-Ms.csv,/etc/cron.hourly/gcc.sh,run/write,FILE,/etc/cron\..*/.*,1,1,write(), It then creates a /etc/crontab file to run /etc/cron.hourly/gcc.sh every three minutes:  Screenshot displaying the system command to delete the /etc/cron.hourly/gcc.sh entry from /etc/crontab file and add a new entry.
Xorddos-Ms.csv,/etc/cron.hourly/gcc.sh,screenshot,FILE,/etc/cron\..*/.*,0,0,, Screenshot of a command that reads :*/3 * * * * root /etc/cron.hourly/gcc.sh Figure 14.
Xorddos-Ms.csv,/etc/crontab,create,FILE,/etc/crontab,1,1,open(), It then creates a /etc/crontab file to run /etc/cron.hourly/gcc.sh every three minutes:  Screenshot displaying the system command to delete the /etc/cron.hourly/gcc.sh entry from /etc/crontab file and add a new entry.
Xorddos-Ms.csv,/etc/crontab,read,FILE,/etc/crontab,0,0,,It reads system(sed -i \'/\\/etc\\/cron.hourly\\/gcc.sh/d\' /etc/crontab && echo \'*/3 * * * * root /etc/cron.hourly/gcc.sh\' >> /etc/crontab); Figure 13.
Xorddos-Ms.csv,/etc/crontab,delete,FILE,/etc/crontab,0,0,,System command to delete the /etc/cron.hourly/gcc.sh entry from the /etc/crontab file and add a new entry
Xorddos-Ms.csv,/etc/crontab,,FILE,/etc/crontab,0,0,,The content of the file /etc/crontab
Xorddos-Ms.csv,/etc/init.d/<file_name>,perform/add,FILE,/etc/init\.d/.*,1,1,open(),"Additionally, it performs the following tasks on a provided $pid:  Fetches the process file name corresponding to the provided $pid Deletes the file for the provided $pid Deletes the installed init services: Deletes /etc/init.d/<file_name> For runlevels 1-5, unlinks and deletes /etc/rc<runlevel>.d/S90<file_name> Performs the command chkconfig –del <file_name> Performs the command update-rc.d <file_name> remove Ends the process that was provided as an argument."
Xorddos-Ms.csv,/etc/init.d/<base_file_name>.,display,FILE,/etc/init\.d/.*,0,0,,Screenshot displaying the installation of rc.d directory's symlink scripts with /etc/init.d/<base_file_name>.
Xorddos-Ms.csv,/etc/init.d/HFLgGwYfSC.elf.,drop,FILE,/etc/init\.d/.*,0,0,,Screenshot of the content of the init script dropped at the location /etc/init.d/HFLgGwYfSC.elf.
Xorddos-Ms.csv,/etc/init.d/<base_file_name>,run/set,FILE,/etc/init\.d/.*,1,1,write(),Installation of rc.d directory’s symlink scripts with /etc/init.d/<base_file_name> Auto-start services  The malware runs a command to install startup services that automatically run XorDdos at boot.
Xorddos-Ms.csv,/etc/rc<runlevel>.d/S90<file_name>,delete,FILE,/etc/rc.*\.d/.*,1,1,rm(),"Additionally, it performs the following tasks on a provided $pid:  Fetches the process file name corresponding to the provided $pid Deletes the file for the provided $pid Deletes the installed init services: Deletes /etc/init.d/<file_name> For runlevels 1-5, unlinks and deletes /etc/rc<runlevel>.d/S90<file_name> Performs the command chkconfig –del <file_name> Performs the command update-rc.d <file_name> remove Ends the process that was provided as an argument."
Xorddos-Ms.csv,/etc/rc<run_level>.d/S90<base_file_name>,drop,FILE,/etc/rc.*\.d/.*,0,0,,The malware creates a symlink for the init script dropped at the location /etc/init.d/<base_file_name> with the directories associated with runlevels 1 through 5 at /etc/rc<run_level>.d/S90<base_file_name> and /etc/rc.d/rc<run_level>.d/S90<base_file_name>.
Xorddos-Ms.csv,/proc/rs_dev.,open,FILE,/proc/rs_dev,1,1,open(), XorDdos attempts to open /proc/rs_dev.
Xorddos-Ms.csv,/proc/rs_dev.,handle,FILE,/proc/rs_dev,0,0,,The rootkit becomes accessible to the XorDdos malware by using the device handle /proc/rs_dev.
