report,word,verb,objectType,prettyReg,match,label,asgSyscall,sentence
Dofloo-Securityaffairs.csv,"/etc/rc.d/rc.local,",modify,FILE,/etc/rc.*\.d/.*,1,1,,"Trend Micro researchers also discovered that the latest variant of the AESDDoS bot can modify files i.e., /etc/rc.local and /etc/rc.d/rc.local, as an autostart technique by appending the {malware path}/{malware file name} reboot command."
Dofloo-Securityaffairs.csv,/etc/rc.local,modify,FILE,/etc/rc\.local,1,1,rename(),"Trend Micro researchers also discovered that the latest variant of the AESDDoS bot can modify files i.e., /etc/rc.local and /etc/rc.d/rc.local, as an autostart technique by appending the {malware path}/{malware file name} reboot command."
Dofloo-Securityaffairs.csv,23.224.59.34:48080,connect,NET,ip_addr/ip_addr:port/port,1,1,send() connect(),The malware also connects to 23.224.59.34:48080 to send and receive remote shell commands from the attacker.
Dofloo-Securityaffairs.csv,23.224.59.34:48080,connect,NET,ip_addr/ip_addr:port/port,1,1,send() connect(),The malware also connects to 23.224.59.34:48080 to send and receive remote shell commands from the attacker.
Dofloo-SyscallParty.csv,/etc/init.d/boot.local,add,FILE,/etc/init\.d/.*,1,1,open(),Persistence Persistence is achieved by the malware by adding to /etc/rc.local and the /etc/init.d/boot.local files (in the auto_boot function); however before it overwrites this file it first checks to see if it has already done so.
Dofloo-SyscallParty.csv,/etc/rc.local,add,FILE,/etc/rc\.local,1,1,open(),Persistence Persistence is achieved by the malware by adding to /etc/rc.local and the /etc/init.d/boot.local files (in the auto_boot function); however before it overwrites this file it first checks to see if it has already done so.
Dofloo-SyscallParty.csv,/etc/rc.local,execute,FILE,/etc/rc\.local,1,1,,The /etc/rc.local will execute certain commands after all of the systems' services have started.
Dofloo-SyscallParty.csv,/etc/rc.local,format,FILE,/etc/rc\.local,1,1,rename()," (there are several string operations, such as sed -i -e '2 i%s/%s' /etc/rc.local is formatted for example)."
Dofloo-SyscallParty.csv,/proc/net/dev,read,FILE,/proc/net/dev,1,1,read(),The way the malware gets information regarding the network adapter is reading the /proc/net/dev file.
Dofloo-SyscallParty.csv,/proc/self/exe,read,FILE,/proc/self,1,1,readlink(),The main method then branches to function named get_executable_name which reads the symlink /proc/self/exe via readlink(..).
