rid,STobj,TrueAns,Extracted,sentence
"D1,2",23.224.59.34:48080,1,1,The malware also connects to 23.224.59.34:48080 to send and receive remote shell commands from the attacker.
"D1,2",23.224.59.34,1,1,
"D1,2",/etc/rc.local,1,1,"Trend Micro researchers also discovered that the latest variant of the AESDDoS bot can modify files i.e., /etc/rc.local and /etc/rc.d/rc.local, as an autostart technique by appending the {malware path}/{malware file name} reboot command."
"D1,2","/etc/rc.d/rc.local,",1,1,"Trend Micro researchers also discovered that the latest variant of the AESDDoS bot can modify files i.e., /etc/rc.local and /etc/rc.d/rc.local, as an autostart technique by appending the {malware path}/{malware file name} reboot command."
"D1,2",{malware path}/{malware file name},0,0,"Trend Micro researchers also discovered that the latest variant of the AESDDoS bot can modify files i.e., /etc/rc.local and /etc/rc.d/rc.local, as an autostart technique by appending the {malware path}/{malware file name} reboot command."
"D1,3",https://github.com/longld/peda,0,0,We are going to be using:  gdb-peda: https://github.com/longld/peda BinaryNinja: https://binary.ninja/ ltrace: https://linux.die.net/man/1/ltrace radare2: http://rada.re/r/  A look at the file..
"D1,3",https://binary.ninja/,0,0,We are going to be using:  gdb-peda: https://github.com/longld/peda BinaryNinja: https://binary.ninja/ ltrace: https://linux.die.net/man/1/ltrace radare2: http://rada.re/r/  A look at the file..
"D1,3",https://linux.die.net/man/1/ltrace,0,0,We are going to be using:  gdb-peda: https://github.com/longld/peda BinaryNinja: https://binary.ninja/ ltrace: https://linux.die.net/man/1/ltrace radare2: http://rada.re/r/  A look at the file..
"D1,3",http://rada.re/r/,0,0,We are going to be using:  gdb-peda: https://github.com/longld/peda BinaryNinja: https://binary.ninja/ ltrace: https://linux.die.net/man/1/ltrace radare2: http://rada.re/r/  A look at the file..
"1,3",main(..)..,0,0,"Nice, so now you're an ARM expert we can continue.. ;)  Dive into main(..).. As soon as the malware boots from the original entry-point main which is at 0x13DEC."
"D1,3",/proc/self/exe,1,1,The main method then branches to function named get_executable_name which reads the symlink /proc/self/exe via readlink(..).
"D1,3",readlink(..).,1,1,The main method then branches to function named get_executable_name which reads the symlink /proc/self/exe via readlink(..).
"D1,3",/etc/rc.local,1,1,Persistence Persistence is achieved by the malware by adding to /etc/rc.local and the /etc/init.d/boot.local files (in the auto_boot function); however before it overwrites this file it first checks to see if it has already done so.
