EntityType,ActionType,Source,Syscall,EnVerb,Sentence
FILE,FILE_READ,man,read(),read,read from a file descriptor
FILE,FILE_READ,man,readlink(),read,read value of a symbolic link
FILE,FILE_READ,man,readlink(),place,readlink() places the contents of the symbolic link path in the buffer buf
FILE,FILE_READ,Dofloo.Security,read(),gather,"Once the malware has infected a system, it can gather system information, including model ID and CPU description, speed, family, model, and type."
FILE,FILE_READ,Dofloo.Trend,readlink(),gather,This Backdoor gathers the following data: CPU information Memory statistics IP address of infected machine Reads the following information from /proc:
FILE,FILE_READ,Xorddos.Micro,read(),fetch,"The user mode malware calls the function getself(), which invokes readlink() to fetch the location of the malware file image on disk."
FILE,FILE_READ,Xorddos.Micro,readlink(),fetch,it calls the readlink API with the first parameter as /proc/self/exe to fetch its full process path.
FILE,FILE_READ,Xorddos.Intezer,read(),look,"As shown in Figure 6, the malware looks up its current path and moves the binary to the created folder. It hides the file by naming it “.po1kitd-update-k”."
FILE,FILE_READ,Tsunami.Aquasec,readlink(),look,The attackers are looking for more vulnerable machines on the same network as the infected machine.
FILE,FILE_READ,Dofloo.Bleep,read(),see,campaigns started spreading to the cloud following the drop in activity seen by ransomware operations after the end of 2017.
FILE,FILE_READ,Dofloo.Syscall,readlink(),see,however before it overwrites this file it first checks to see if it has already done so.
FILE,FILE_READ,Miria.Trend,read(),use,Exploits - takes advantage of a software vulnerability or security flaw and can be used to remotely access a network and gain elevated privileges
FILE,FILE_READ,Dofloo.Mal,readlink(),use,"how this malware use socket to connect an IP, for example, since the code is too long. But to be noted, since ARM architecture has different structure than Intel, and ARM is designed for the embedded systems, you will see many different method for the detail operation that is involving with the system calls."
FILE,FILE_READ,Xorddos.Micro,read(),extract,Screenshot of the randomly-named files the XorDdos rootkit extracts to the /usr/bin folder.
FILE,FILE_READ,Xorddos.Intezer,readlink(),extract,hostos	Distribution	Extracted from /etc/issue or /etc/redhat-release
FILE,ACCESS,man,access(),check,check real user's permissions for a file
FILE,ACCESS,man,access(),access,access() checks whether the calling process can access the file pathname.
FILE,STATUS,man,statfs(),get,get file system statistics
FILE,STATUS,man,stat(),get,get file status
FILE,STATUS,man,stat64(),get,get file status
FILE,STATUS,man,fstat(),get,get file status
FILE,STATUS,man,newfstatat(),get,get file status
FILE,STATUS,man,lstat(),get,get file status
FILE,DIR,man,getcwd(),get,get current working directory
FILE,DIR,man,getdents(),get,get directory entries
FILE,WAIT,man,poll(),wait,wait for some event on a file descriptor
FILE,WAIT,man,ppoll(),wait,wait for some event on a file descriptor
FILE,FD_DUP,man,dup(),duplicate,duplicate a file descriptor
FILE,FD_DUP,man,dup(),create,These system calls create a copy of the file descriptor oldfd
FILE,FD_DUP,man,dup(),share,share file offset and file status flags
FILE,FD_DUP,man,dup2(),duplicate,duplicate a file descriptor
FILE,FD_DUP,man,dup2(),create,These system calls create a copy of the file descriptor oldfd
FILE,FD_DUP,man,dup2(),share,share file offset and file status flags
FILE,FD_OTHER,man,fcntl64(),manipulate,manipulate file descriptor
FILE,FD_OTHER,man,fcntl64(),find,Find the lowest numbered available file descriptor
FILE,CREATE_OPEN,man,mkdir(),create ,create a directory
FILE,CREATE_OPEN,man,open(),open,open and possibly create a file or device
FILE,CREATE_OPEN,man,open(),create,open and possibly create a file or device
FILE,CREATE_OPEN,man,openat(),open,open a file relative to a directory file descriptor
FILE,CREATE_OPEN,man,mmap(),map,map or unmap files or devices into memory
FILE,CREATE_OPEN,man,mmap(),create,mmap() creates a new mapping in the virtual address space of the calling process.
FILE,CREATE_OPEN,man,mmap2(),map,map files or devices into memory
FILE,CREATE_OPEN,man,umask(),set,set file mode creation mask
FILE,CREATE_OPEN,man,link(),make,make a new name for a file
FILE,CREATE_OPEN,man,link(),create,link() creates a new link (also known as a hard link) to an existing file.
FILE,CREATE_OPEN,man,linkat(),create ,create a file link relative to directory file descriptors
FILE,CREATE_OPEN,man,symlinkat(),create ,create a symbolic link relative to a directory file descriptor
FILE,CREATE_OPEN,man,symlink(),make,make a new name for a file
FILE,CREATE_OPEN,man,symlink(),create ,symlink() creates a symbolic link named newpath which contains the string oldpath.
FILE,CREATE_OPEN,Xorddos.Micro,open(),extract,Screenshot of the randomly-named files the XorDdos rootkit extracts to the /usr/bin folder.
FILE,CREATE_OPEN,Xorddos.Micro,link(),extract,Screenshot of the randomly-named files the XorDdos rootkit extracts to the /usr/bin folder.
FILE,CREATE_OPEN,Xorddos.Micro,symlink(),extract,Screenshot of the randomly-named files the XorDdos rootkit extracts to the /usr/bin folder.
FILE,CREATE_OPEN,Dofloo.Syscall,open(),add,Persistence is achieved by the malware by adding to /etc/rc.local and the /etc/init.d/boot.local files (in the auto_boot function);
FILE,CREATE_OPEN,Dofloo.Tend,link(),add,This Backdoor adds the following processes: sed -i -e '/exit/d' /etc/rc.local
