Family,DocId,Γobj_N,Γobj,Γrsc_N,Γrsc,Φop_N,Φop,Φsys_N,Φsys,,opD,,opSysD,,,,opSys,numOfSTobj,numOfSTsys
dofloo,"D1,1",0,,0,,0,,0,,,371,,9,,,,0,0,0
dofloo,"D1,2",8,0.1159,2,0.2,7,0.0189,3,0.0189,,371,,9,,,,0.018867925,4,2
dofloo,"D1,3",9,0.1304,2,0.2,64,0.1725,3,0.1725,,371,,9,,,,0.172506739,9,5
dofloo,"D1,4",10,0.1449,6,0.6,10,0.027,0,0.027,,371,,9,,,,0.026954178,15,9
dofloo,"D1,5",12,0.1739,5,0.5,18,0.0485,3,0.0485,,371,,9,,,,0.04851752,15,6
xorddos,"D2,1",0,,0,,0,,0,,,7469,,77,,,,0,0,0
xorddos,"D2,2",0,,0,,0,,0,,,7469,,77,,,,0,0,0
xorddos,"D2,3",23,0.0282,11,0.7857,901,0.1206,0,0.1206,,7469,,77,,,,0.120631945,5,3
xorddos,"D2,4",29,0.0356,13,0.9286,963,0.1289,64,0.1289,,7469,,77,,,,0.128932923,62,23
xorddos,"D2,5",20,0.0245,11,0.7857,5,0.0007,0,0.0007,,7469,,77,,,,0.000669434,6,3
xorddos,"D2,6",18,0.0221,0,,4,0.0005,0,0.0005,,7469,,77,,,,0.000535547,2,0
Darlloz,"D3,6",0,,0,,0,,0,,,596,,1,,,,0,0,0
Darlloz,"D3,1",0,,0,,0,,0,,,596,,1,,,,0,0,0
Darlloz,"D3,2",31,0.0975,0,,0,,0,,,596,,1,,,,0,2,0
Darlloz,"D3,3",64,0.2013,0,,0,,0,,,596,,1,,,,0,2,0
Darlloz,"D3,4",73,0.2296,0,,69,0.1158,0,0.1158,,596,,1,,,,0.115771812,155,0
Darlloz,"D3,5",74,0.2327,0,,73,0.1225,0,0.1225,,596,,1,,,,0.122483221,136,0
lupper,"D8,1",0,,0,,0,,0,,,144148,,2,,,,0,0,0
lupper,"D8,2",0,,0,,0,,0,,,144148,,2,,,,0,0,0
lupper,"D8,3",0,,0,,0,,0,,,144148,,2,,,,0,0,0
lupper,"D8,4",1,0,0,,0,,0,,,144148,,2,,,,0,1,0
Gafgyt,"D4,1",2,0.0556,0,,0,,0,,,79,,0,,,,0,1,0
Gafgyt,"D4,2",8,0.2222,0,,0,,0,,,79,,0,,,,0,1,0
Gafgyt,"D4,4",12,0.3333,0,,12,0.1519,0,0.1519,,79,,0,,,,0.151898734,4,0
Gafgyt,"D4,3",9,0.25,0,,13,0.1646,0,0.1646,,79,,0,,,,0.164556962,2,0
Gafgyt,"D4,5",0,,0,,0,,0,,,79,,0,,,,0,0,0
Gafgyt,"D4,6",3,0.0833,0,,0,,0,,,79,,0,,,,0,2,0
Gafgyt,"D4,7",3,0.0833,0,,0,,0,,,79,,0,,,,0,2,0
Gafgyt,"D4,8",0,,0,,0,,0,,,79,,0,,,,0,0,0
Luabot,"D5,1",0,,0,,0,,0,,,349,,1,,,,0,0,0
Luabot,"D5,2",11,0.0381,0,,8,0.0229,0,0.0229,,349,,1,,,,0.022922636,9,0
Luabot,"D5,3",0,,0,,0,,0,,,349,,1,,,,0,0,0
Luabot,"D5,4",0,,0,,0,,0,,,349,,1,,,,0,0,0
Luabot,"D5,5",0,,0,,0,,0,,,349,,1,,,,0,0,0
Luabot,"D5,6",8,0.0277,0,,4,0.0115,0,0.0115,,349,,1,,,,0.011461318,2,0
Luabot,"D5,7",13,0.045,0,,1,0.0029,0,0.0029,,349,,1,,,,0.00286533,8,0
Luabot,"D5,8",4,0.0138,0,,0,,0,,,349,,1,,,,0,1,0
Kaiten,"D6,1",0,,0,,0,,0,,,38,,0,,,,0,0,0
Kaiten,"D6,2",2,0.1176,0,,6,0.1579,0,0.1579,,38,,0,,,,0.157894737,2,0
Kaiten,"D6,3",3,0.1765,0,,0,,0,,,38,,0,,,,0,1,0
Kaiten,"D6,4",1,0.0588,0,,0,,0,,,38,,0,,,,0,1,0
Kaiten,"D6,5",2,0.1176,2,0.3333,2,0.0526,0,0.0526,,38,,0,,,,0.052631579,2,2
Turla,"D7,1",1,0.0769,0,,0,,0,,,20,,0,,,,0,1,0
Turla,"D7,2",4,0.3077,0,,1,0.05,0,0.05,,20,,0,,,,0.05,3,0
Turla,"D7,3",3,0.2308,0,,1,0.05,0,0.05,,20,,0,,,,0.05,2,0
Turla,"D7,4",0,,0,,0,,0,,,20,,0,,,,0,0,0
BPFDoor,"D9,1",3,0.1111,0,,0,,0,,,74,,0,,,,0,6,0
BPFDoor,"D9,2",5,0.1852,0,,7,0.0946,0,0.0946,,74,,0,,,,0.094594595,12,0
BPFDoor,"D9,3",1,0.037,0,,1,0.0135,0,0.0135,,74,,0,,,,0.013513514,2,0
BPFDoor,"D9,4",3,0.1111,0,,16,0.2162,0,0.2162,,74,,0,,,,0.216216216,12,0
BPFDoor,"D9,5",1,0.037,0,,23,0.3108,0,0.3108,,74,,0,,,,0.310810811,1,0
BPFDoor,"D9,6",1,0.037,0,,1,0.0135,0,0.0135,,74,,0,,,,0.013513514,1,0
BPFDoor,"D9,7",7,0.2593,0,,4,0.0541,0,0.0541,,74,,0,,,,0.054054054,11,0
BPFDoor,"D9,8",7,0.2593,0,,9,0.1216,0,0.1216,,74,,0,,,,0.121621622,6,0
Conti,"D10,1",0,,0,,0,,0,,,11,,0,,,,0,0,0
Conti,"D10,2",1,0.1667,0,,0,,0,,,11,,0,,,,0,1,0
Conti,"D10,3",0,,0,,0,,0,,,11,,0,,,,0,0,0
ChinaZ,"D11,1",0,,0,,0,,0,,,596,,3,,,,0,0,0
ChinaZ,"D11,2",17,0.0572,0,,27,0.0453,2,0.0453,,596,,3,,,,0.045302013,5,0
Defray777,"D12,1",2,0.1111,0,,1,0.025,1,0.025,,40,,1,,,,0.025,2,0
Defray777,"D12,2",2,0.1111,0,,1,0.025,1,0.025,,40,,1,,,,0.025,2,0
Defray777,"D12,3",0,,0,,0,,0,,,40,,1,,,,0,0,0
Demonbot,"D13,1",72,0.1328,4,0.1905,2,0.0014,0,0.0014,,1436,,15,,,,0.001392758,14,1
Demonbot,"D13,2",7,0.0129,0,,0,,0,,,1436,,15,,,,0,1,0
EvilGnome,"D14,1",26,0.0005,0,,4,0.0001,2,0.0001,,58329,,4,,,,6.86E-05,7,0
FontOnLake,"D15,1",3,0.1364,0,,0,,0,,,73,,1,,,,0,2,0
FontOnLake,"D15,2",9,0.4091,0,,20,0.274,1,0.274,,73,,1,,,,0.273972603,9,0
HCRootkit,"D16,1",9,0.4091,0,,4,0.0548,1,0.0548,,73,,1,,,,0.054794521,6,0
KEYPLUG,"D17,1",0,,0,,0,,0,,,28,,0,,,,0,0,0
KEYPLUG,"D17,2",1,0.1,0,,0,,0,,,28,,0,,,,0,1,0
KEYPLUG,"D17,3",1,0.1,0,,0,,0,,,28,,0,,,,0,1,0
Lightning,"D18,1",23,1,0,,36,0.1304,0,,,0,,0.130434783,,,,0,1,
Melofee,"D19,1",81,0.0943,0,,22,0.0198,0,0.0198,,1112,,47,,,,0.019784173,11,0
Melofee,"D19,2",0,,0,,0,,0,,,1112,,47,,,,0,0,0
XMRigMiner,"D20,1",15,0.0595,0,,0,,0,0.0595,,494,,0,,,,0.05952381,1,0
XMRigMiner,"D20,2",2,0.0079,0,,2,0.004,0,0.0079,,494,,0,,,,0.007936508,2,0
XMRigMiner,"D20,3",40,0.1587,0,,13,0.0263,0,0.1587,,494,,0,,,,0.158730159,5,0
XMRigMiner,"D20,4",1,0.004,0,,1,0.002,0,0.004,,494,,0,,,,0.003968254,1,0
,,,,,,,,這欄位有問題,,,,,,,,,,,
